S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref,Organisation Chain
46.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee agency through CB at Rangalibazna FP at km 167.365 on Mainaguri Changrabandha and Jargaon Hasimara Dhupguri Section from km 0.000 to km 20.400 and km 36.100 to 106.115 of Asian Highway 48 Corridor in West Bengal ] [NHAI/13013/547/CO/23 -24/CB/Rangalibazna FP][2023_NHAI_164153_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
47.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender for Mohammad Ibrahimpur FP at km 207.900 for 2 lane with paved shoulder for the Aligarh-Moradabad Section from Km 158.895 to km 232.020 on NH-93 (New NH-509) Uttar Pradesh ] [NHAICO/23-24/CB / Mohammad Ibrahimpur FP][2023_NHAI_164160_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
48.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender for Biratiya Kalan Fee Plaza in State of Rajasthan] [NHAI/13013/547/CO/23-24/ CB/Biratiya Kalan Binawas][2023_NHAI_164152_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
49.,11-Aug-2023 05:05 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of competitive bidding through e-tender for Nuruddinpur Fee Plaza At km.40.000 on the Section Raebareilly-Jaunpur of NH-231 in the state of Uttar Pradesh] [NHAI/13013/547/CO/ 23-24/CB/Nuruddinpur FP][2023_NHAI_164299_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
50.,14-Aug-2023 12:30 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/12/A][2023_CSIR_164438_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
51.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender for Mohammad Ibrahimpur FP at km 207.900 for 2 lane with paved shoulder for the Aligarh-Moradabad Section from Km 158.895 to km 232.020 on NH-93 (New NH-509) Uttar Pradesh ] [NHAICO/23-24/CB / Mohammad Ibrahimpur FP][2023_NHAI_164160_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
52.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender for Banthadi Fee Plaza in the state of Rajasthan and upkeep/maintenance of adjacent Toilet blocks including recouping the consumable items] [NHAI/13013/547/CO/23-24/CB/ Banthadi][2023_NHAI_164145_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
53.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB for Namkhana FP at km 114.430 on Kakdwip Namkhana Section from km 111.710 to km 114.975 of NH-117 the State of West Bengal ] [NHAI/13013/547/CO/ 23-24/CB/Namkhana FP][2023_NHAI_164150_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
54.,11-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee agency through e-quotation at Lamber and Ujroo FP located at Design Km 193.760 and 204.563 of NH-1A(New NH 44) for the use of Quazigund to Banihal Section from design km189.350 to km 205.618 of nh 1A in Jammu and Kashmir] [NHAI/13013/547/CO/23- 24/CB/Lamber and Ujroo FP][2023_NHAI_164321_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
55.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender for Biratiya Kalan Fee Plaza in State of Rajasthan] [NHAI/13013/547/CO/23-24/ CB/Biratiya Kalan Binawas][2023_NHAI_164152_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
56.,11-Aug-2023 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender at Khawasa Fee Plaza at Km. 651.750 of NH7 (new NH44) for the use of 4lane of Mohgaon to Khawasa Madhya Pradesh Maharastra Border Section from 624.480 to 653.770 of NH7 in Ma] [NHAI/13013/547/CO/23-24/CB/ Khawasa ][2023_NHAI_164337_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
57.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee agency through CB at Rangalibazna FP at km 167.365 on Mainaguri Changrabandha and Jargaon Hasimara Dhupguri Section from km 0.000 to km 20.400 and km 36.100 to 106.115 of Asian Highway 48 Corridor in West Bengal ] [NHAI/13013/547/CO/23 -24/CB/Rangalibazna FP][2023_NHAI_164153_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
58.,11-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of competitive bidding through e-tender for Bolangir Fee Plaza for Widening strengthening of existing IL-DL to 2L-1.5m PS NH-57 on EPC mode in the state of Odisha] [NHAI/13013/547/CO/ 23-24/CB/Bolangir FP][2023_NHAI_164315_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
59.,11-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of competitive bidding through e-tender on Dhoki Fee Plaza at km 178.100 for End of Ane Ghat to Start of Ahmednagar Section NH-222 (New NH-61) of two Lane section in the State of Maharashtra] [NHAI/13013/547/CO/ 23-24/CB/Dhoki FP][2023_NHAI_164319_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
60.,10-Aug-2023 06:00 PM,24-Aug-2023 11:30 AM,25-Aug-2023 11:30 AM,"[Design, Drawing, Supply, Erection, Testing and Commissioning of 25 KV AC OHE system for Providing Rail Connectivity to upcoming CHP and SILO (10 MTPA) of Nigahi Project of NCL, Singrauli, M.P.] [RITES/PULKO/NCLNIGAHI-OHE/23/R][2023_RITES_164080_1]",RITES Ltd.||RPO Lucknow - RITES
61.,18-Aug-2023 06:00 PM,24-Aug-2023 12:00 PM,25-Aug-2023 12:05 PM,[DE OFC/CNTXW /PJM/MTCE/2023-2024 Dated 18.8.23] [DE OFC/CNTXW /PJM/MTCE/2023-2024 Dated 18.8.23][2023_BSNL_163663_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Pune"
62.,11-Aug-2023 06:00 PM,24-Aug-2023 12:00 PM,25-Aug-2023 12:30 PM,[SLA Based Maintenance of Optical Fiber cable ] [T-2306-236/ SLA BASED OFC MTC][2023_BSNL_164143_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||GMTD Ujjain
63.,18-Aug-2023 06:00 PM,24-Aug-2023 12:00 PM,25-Aug-2023 12:30 PM,[ EE(E)-I/Sh.N/MCD/23-24/TC-27/1 ] [ EE(E)-I/Sh.N/MCD/23-24/TC-27/1 ][2023_MCD_164884_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
64.,18-Aug-2023 06:40 PM,24-Aug-2023 12:00 PM,25-Aug-2023 12:00 PM,[Work of SITC and five year Comprehensive Annual Maintenance Contract of IP CCTV Surveillance System at PTPS Panipat] [HR-RTK-12/15(11)/3/2023-EB-RTK BA][2023_BSNL_164988_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Haryana Telecom Circle||GMTD,Sonepat"
65.,18-Aug-2023 06:00 PM,24-Aug-2023 12:00 PM,25-Aug-2023 12:30 PM,[ EE(E)-I/Sh.N/MCD/23-24/TC-28/1] [ EE(E)-I/Sh.N/MCD/23-24/TC-28/1][2023_MCD_164924_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
66.,27-Jul-2023 06:00 PM,24-Aug-2023 12:00 PM,26-Aug-2023 12:00 PM,"[Housekeeping (both underground and Hydel office-cum-Control room building), jungle cutting, garbage cleaning etc. and day to day cleaning of chemical deposit from Weep holes at access tunnel of Maithon Hydel Power Station, DVC, Maithon for 01 (one) ] [DVC/Tender/MAITHON/DAM CIRCLE-II MAITHON/HQ/00001][2023_DVC_162550_1]",Damodar Valley Corporation||Maithon - DVC||C and M
67.,18-Aug-2023 06:00 PM,24-Aug-2023 12:00 PM,25-Aug-2023 12:30 PM,[ EE(E)-I/Sh.N/MCD/23-24/TC-27/2 ] [ EE(E)-I/Sh.N/MCD/23-24/TC-27/2 ][2023_MCD_164885_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
68.,20-Jul-2023 12:30 PM,24-Aug-2023 12:30 PM,25-Aug-2023 12:30 PM,"[Request for Proposal ADVERTISING RIGHTS CONCESSION TO DESIGN, DEVELOP, OPERATE AND MARKET THE ADVERTISING OPPORTUNITY AT VSI AIRPORT PORT BLAIR] [AAI/PB/COMML/ADVT/JULY/2023][2023_AAI_161321_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI
69.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-9 ] [MCD/EE-M-IV-Sh.S/23-24/12-9][2023_MCD_164796_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
70.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-10] [MCD/EE-M-IV-Sh.S/23-24/12-10][2023_MCD_164797_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
71.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Super Microsurgery system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_29],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
72.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_31],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
73.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-4 ] [MCD/EE-M-IV-Sh.S/23-24/12-4][2023_MCD_164791_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
