,title,industry,region
51,Procurement of 0664-2240SUMECR32/17 Atomic-Profiler(2),Apparatus and Meter,广东省
52,Procurement of 0664-2240SUMECR32/16 Stress measuring instrument(2),Apparatus and Meter,广东省
53,Procurement of 0720-2340zbzx0017 The Bidding Documents for catalyzer(2),Others,甘肃省
54,Procurement of 0720-2240zbzx0253 PetroChina Jilin Petrochemical Company Contactor for 40KT/A Ethylene-Propylene Rubber Plant(2),Electricity & energy,吉林省
55,Procurement of 1069-234Z20224848 Procurement project of High repetition rate nanosecond laser of Shanghai Jiao tong University(1),Electronic & communications,上海市
56,Procurement of 1069-224Z20224693 Procurement project of Full function automatic workstation of Shanghai Jiao tong University(2),Apparatus and Meter,上海市
57,Procurement of 1069-224Z20224691 Procurement project of Full function automatic workstation of Shanghai Jiao tong University(2),Apparatus and Meter,上海市
58,Procurement of 2559-234MT2211081 refer to Chinese(1),Apparatus and Meter,上海市
59,Procurement of 2113-224HNXZZZ087 International Bidding Procurement of Low Pressure Vacuum Carburizing Oil Quenching Furnace (1),Others,湖南省
60,Procurement of 1225-2240AGZB2018/01 Vertical Mills(2),Others,辽宁省
61,Procurement of 0687-224020220208 SPECTCT procurement project of Sichuan Provincial People's Hospital(2),Medical equipment & medicine,四川省
62,Procurement of 0716-215CQP201439/03 Construction of a Teaching and Scientific Research Base Platform in Comprehensive Laboratory Building of CQUE Financed by KfW Loan(1),Apparatus and Meter,重庆市
63,Procurement of 0716-235SCN200089/02 Protection and Resource Recycling Project of Zhoujiaba Ecological Wetland in Luojiang District Utilizing German Promotional Loan(1),Others,四川省
64,Procurement of 0687-224020220218/01 Sichuan University West China Hospital long fragment library construction system and other procurement projects(1),Apparatus and Meter,四川省
65,Procurement of 0716-235SCN200089/01 Protection and Resource Recycling Project of Zhoujiaba Ecological Wetland in Luojiang District Utilizing German Promotional Loan(1),Others,四川省
66,Procurement of 1999-234GDJZX2001 Refer to Chinese(1),Others,上海市
67,Procurement of 0613-224021145249 BEV3 Project Intermediate Shaft CNC Grinder(2),Machining,上海市
68,Procurement of 2559-234MT2211077 refer to Chinese(1),Apparatus and Meter,上海市
69,"Procurement of 0687-224020220204 2022 Equipment Procurement Project of Chengdu Ruidi Zhiqu Technology Co., Ltd(2)",Others,四川省
70,Procurement of 1344-2340JHWZ0001 Procurement of One-Piece Double Valve of PetroChina Jilin Petrochemical Company.(1),Machining,吉林省
71,"Procurement of 0730-234011SZ0010/06 GreaTech Substrates Co., Ltd. Project-QP Marking machine (Rebid)(2)",Electronic & communications,广东省
72,"Procurement of 0730-234011SZ0010/05 GreaTech Substrates Co., Ltd. Project-Dusting machine (Rebid)(2)",Others,广东省
73,"Procurement of 0730-234011SZ0010/04 GreaTech Substrates Co., Ltd. Project-Automatic tin ball checker (Rebid)(2)",Apparatus and Meter,广东省
74,"Procurement of 0730-234011SZ0010/03 GreaTech Substrates Co., Ltd. Project-Three dimensional measuring instrument (Rebid)(2)",Apparatus and Meter,广东省
75,"Procurement of 0730-234011SZ0010/02 GreaTech Substrates Co., Ltd. Project-Automatic adding machine across floors (Rebid)(2)",Others,广东省
76,"Procurement of 0730-234011SZ0010/01 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(CO2 Laser Drilling Machine) (Rebid)(2)",电子通信;Others,广东省
77,"Procurement of 0730-234011SZ0002/08 GreaTech Substrates Co., Ltd. Project-Three dimensional measuring instrument (Rebid)(3)",Apparatus and Meter,广东省
78,"Procurement of 0730-234011SZ0002/06 GreaTech Substrates Co., Ltd. Project-CO2 laser drill (burning edge)(Rebid)(3)",Electronic & communications,广东省
79,"Procurement of 0730-234011SZ0002/07 GreaTech Substrates Co., Ltd. Project-Three dimensional measuring instrument(Rebid)(3)",Apparatus and Meter,广东省
80,"Procurement of 0730-234011SZ0002/05 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(3)",Others,广东省
81,"Procurement of 0730-234011SZ0002/03 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(3)",Others,广东省
82,"Procurement of 0730-234011SZ0002/04 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(3)",Others,广东省
83,"Procurement of 0730-234011SZ0002/02 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(3)",Others,广东省
84,"Procurement of 0730-234011SZ0002/01 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(3)",Others,广东省
85,"Procurement of 0730-224011SZ0363/07 GreaTech Substrates Co., Ltd. Project-ABF vacuum flattening machine(Rebid)(2)",Machining,广东省
86,"Procurement of 0730-224011SZ0363/06 GreaTech Substrates Co., Ltd. Project-ABF vacuum flattening machine(Rebid)(2)",Machining,广东省
87,"Procurement of 0730-224011SZ0363/05 GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine(Rebid)(2)",Machining,广东省
88,"Procurement of 0730-224011SZ0363/02 GreaTech Substrates Co., Ltd. Project-CNC Drilling Machine (6-axis)(Rebid)(2)",Engineering construction,广东省
89,"Procurement of 0730-224011SZ0363/01 GreaTech Substrates Co., Ltd. Project-CNC Drilling Machine (6-axis)(Rebid)(2)",Engineering construction,广东省
90,"Procurement of 0730-224011SZ0353/08 GreaTech Substrates Co., Ltd. Project-Automatic Optical Detector (Rebid)(2)",Apparatus and Meter,广东省
91,"Procurement of 0730-224011SZ0353/07 GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine (ABF) (Rebid)(2)",Machining,广东省
92,"Procurement of 0730-224011SZ0353/06 GreaTech Substrates Co., Ltd. Project-Single cutting machine(Rebid) (2)",Machining,广东省
93,"Procurement of 0730-224011SZ0353/04 GreaTech Substrates Co., Ltd. Project-Ink flatness measuring instrument (Rebid)(2)",Apparatus and Meter,广东省
94,"Procurement of 0730-224011SZ0353/05 GreaTech Substrates Co., Ltd. Project-Unit Warpage measuring instrument (Rebid)(2)",Apparatus and Meter,广东省
95,"Procurement of 0730-224011SZ0353/03 GreaTech Substrates Co., Ltd. Project-Automatic Optical Detector (Rebid)(2)",Apparatus and Meter,广东省
96,"Procurement of 0730-224011SZ0353/02 GreaTech Substrates Co., Ltd. Project-Ink flatness measuring instrument (Rebid)(2)",Apparatus and Meter,广东省
97,"Procurement of 0730-224011SZ0332/10 GreaTech Substrates Co., Ltd. Project-Through Hole Inspection Machine (Rebid)(2)",Apparatus and Meter,广东省
98,"Procurement of 0730-224011SZ0332/09 GreaTech Substrates Co., Ltd. Project-Impedance measuring instrument (Rebid)(2)",Apparatus and Meter,广东省
99,"Procurement of 4197-214BOEGC0001/09 K-tronics(suzhou)Technology Co. Ltd .Annual production of new display 5 million units,compatible with digital TV 3 million units of production technology transformation projects(1)",Others,江苏省
100,"Procurement of 0730-224011SZ0332/08 GreaTech Substrates Co., Ltd. Project- To repair the machine (Rebid)(3)",Others,广东省
101,"Procurement of 0729-224OIT322096/06 Piezoelectric membrane breaking instrument, multifunctional enzyme label instrument and micro automatic microinjection instrument(2)",Apparatus and Meter,安徽省
102,"Procurement of 0730-224011SZ0332/07 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine (Rebid)(4)",Others,广东省
103,"Procurement of 0730-224011SZ0332/06 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine (Rebid)(4)",Others,广东省
104,"Procurement of 0730-224011SZ0332/05 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine (Rebid)(4)",Others,广东省
105,Procurement of 0687-224020220218/02 Sichuan University West China Hospital long fragment library construction system and other procurement projects(1),Medical equipment & medicine,四川省
106,"Procurement of 0730-224011SZ0300/08 GreaTech Substrates Co., Ltd. Project-Frozen stereoscopic library(Rebid)(5)","Transport, storage service",广东省
107,"Procurement of 0730-224011SZ0300/07 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(6)",Others,广东省
108,Procurement of 0729-224OIT322096/04 Liquid chromatography mass spectrometry instrument and Gas chromatograph(2),Apparatus and Meter,安徽省
109,Procurement of 0729-224OIT322096/03 Liquid chromatograph(2),Apparatus and Meter,安徽省
110,Procurement of 0729-224OIT322096/02 Flow cytometer(2),医药卫生;Apparatus and Meter,安徽省
111,Procurement of 0729-224OIT322096/01 Laboratory animal feeding equipment(2),Others,安徽省
112,"Procurement of 0730-224011SZ0300/03 GreaTech Substrates Co., Ltd. Project-Three dimensional measuring instrument (Rebid)(6)",Apparatus and Meter,广东省
113,"Procurement of 0730-224011SZ0281/10 GreaTech Substrates Co., Ltd. Project-Tin ball flattening machine (Rebid)(6)",Others,广东省
114,"Procurement of 0730-224011SZ0281/09 GreaTech Substrates Co., Ltd. Project-Tin ball flattening machine(Rebid)(6)",Others,广东省
115,"Procurement of 0730-224011SZ0281/08 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine (Rebid)(6)",Others,广东省
116,"Procurement of 0730-224011SZ0281/07 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(6)",Others,广东省
117,"Procurement of 0730-224011SZ0281/05 GreaTech Substrates Co., Ltd. Project-Vertical Lifting System(Rebid)(7)","Transport, storage service",广东省
118,"Procurement of 0730-224011SZ0281/06 GreaTech Substrates Co., Ltd. Project-Automatic loading and unloading machine(Rebid)(6)",Others,广东省
119,"Procurement of 0730-224011SZ0281/04 GreaTech Substrates Co., Ltd. Project-Stereo-storage(Rebid)(6)","Transport, storage service",广东省
120,"Procurement of 0730-224011SZ0281/03 GreaTech Substrates Co., Ltd. Project-Stereo-storage(Rebid)(6)","Transport, storage service",广东省
121,"Procurement of 0730-224011SZ0281/02 GreaTech Substrates Co., Ltd. Project-Vertical Lifting System(Rebid)(6)","Transport, storage service",广东省
122,"Procurement of 0730-224011SZ0281/01 GreaTech Substrates Co., Ltd. Project- Large laser marking machine(Rebid)(8)",Electronic & communications,广东省
123,"Procurement of 0730-224011SZ0268/08 GreaTech Substrates Co., Ltd. Project-Foups cleaner (Rebid)(9)",Environment protection,广东省
124,"Procurement of 0730-224011SZ0268/06 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(9)",Others,广东省
125,"Procurement of 0730-224011SZ0268/07 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(9)",Others,广东省
126,"Procurement of 0730-224011SZ0268/05 GreaTech Substrates Co., Ltd. Project-Automatic Retractable board machine(Rebid)(9)",Others,广东省
127,"Procurement of 0730-224011SZ0268/04 GreaTech Substrates Co., Ltd. Project-QP electrical measuring machine(Rebid)(7)",Apparatus and Meter,广东省
128,"Procurement of 0730-224011SZ0268/02 GreaTech Substrates Co., Ltd. Project-QP electrical measuring machine(Rebid)(7)",Apparatus and Meter,广东省
129,Procurement of 0701-224208060003 Circulating corrosion test chamber procurement project(2),Apparatus and Meter,江苏省
130,"Procurement of 0730-224011SZ0250/02 GreaTech Substrates Co., Ltd. Project-To repair the machine(Rebid)(13)",Others,广东省
131,"Procurement of 0730-224011SZ0250/07 GreaTech Substrates Co., Ltd. Project-Automatic loading and unloading machine (enclosure) (Rebid)(13)",Others,广东省
132,"Procurement of 0730-224011SZ0250/06 GreaTech Substrates Co., Ltd. Project-Automatic loading and unloading machine (enclosure) (Rebid)(13)",Others,广东省
133,"Procurement of 0730-224011SZ0232/04 GreaTech Substrates Co., Ltd. Project-QP Foup Crane handling system (Rebid)(11)","Transport, storage service",广东省
134,"Procurement of 0730-224011SZ0232/01 GreaTech Substrates Co., Ltd. Project-Vertical Lifting System(Rebid)(13)","Transport, storage service",广东省
135,"Procurement of 0730-224011SZ0227/01 GreaTech Substrates Co., Ltd. Project-Horizontal Desmear Electroless plating copper Equipment(Rebid)(12)",Electronic & communications,广东省
136,"Procurement of 0730-224011SZ0226/09 GreaTech Substrates Co., Ltd. Project-Pressing supercoarsening machine(Rebid)(11)",Others,广东省
137,Procurement of 4197-214BOECQ0001/308 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(1),Apparatus and Meter,重庆市
138,Procurement of 4197-214BOECQ0001/307 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(1),Machining,重庆市
139,"Procurement of 0730-224011SZ0226/08 GreaTech Substrates Co., Ltd. Project-Panel_Magazine Stereo storage system(Rebid)(12)",Electronic & communications,广东省
140,"Procurement of 0730-224011SZ0226/07 GreaTech Substrates Co., Ltd. Project-QP_Foup Stereo storage system(Rebid)(12)",Electronic & communications,广东省
141,"Procurement of 0730-224011SZ0226/06 GreaTech Substrates Co., Ltd. Project-Solder resistance vertical developer(Rebid)(14)","Publishing & printing, packagi",广东省
142,"Procurement of 0730-224011SZ0226/04 GreaTech Substrates Co., Ltd. Project-Vacuum resin hole plugging machine(Rebid)(11)",Others,广东省
143,Procurement of 0625-224022006024 Polylactic acid underwater granulation system(2),Others,浙江省
144,"Procurement of 0730-224011SZ0226/03 GreaTech Substrates Co., Ltd. Project-Press cleaning machine(Rebid)(13)",Environment protection,广东省
145,"Procurement of 0730-224011SZ0226/02 GreaTech Substrates Co., Ltd. Project-Press cleaning machine(ABF)(Rebid)(11)",Environment protection,广东省
146,"Procurement of 0730-224011SZ0225/10 GreaTech Substrates Co., Ltd. Project-CNC Drilling Machine (6-axis)(Rebid)(16)",Engineering construction,广东省
147,Procurement of 0679-234DFWHBT001 Capacity expansion-new Energy Passenger Vehicle Technical Improvement Project -PhasehIse i)-PD-production auxiliary equipment-two-level arm coordinate measuring equipment(1),Apparatus and Meter;物流运输,湖北省
148,Procurement of 0613-224022215283 EPI RP Dep function(2),Others,上海市
149,Procurement of 0730-224011020007/104 DMS & DRS(2),Machining,福建省
150,"Procurement of 0730-224011SZ0263/07 Sky Chip Interconnection Technology Co., Ltd project-FC placement machine (Rebid)(2)",Machining,广东省
151,Procurement of 0730-224011020007/103 Implanter local scrubber(2),电子通信;Environment protection,福建省
152,Procurement of 0730-224011020007/102 MES HW(second batch)(2),Others,福建省
153,Procurement of 0768-2240CSIMC125 Intelligent machine vision system procurement project(2),Electronic & communications,甘肃省
154,Procurement of 0747-2340SCCZX318 International Competitive Bidding Procurement of Sewage pretreatment station for Sinochem Energy and Sinochem Quanzhou 260 KMTA Acrylonitrile Project(1),Others,福建省
155,Procurement of 2846-234GZHHL1013 Guizhou Huagong Precision Tool Intelligent Production Line Construction Project(1),Machining,贵州省
156,Procurement of 0613-224021285851 P12L body side(2),Others,上海市
157,Procurement of 0613-234021280015 P12L(2),"Transport, storage service",上海市
158,Procurement of 2882-234JLJHZB018 Key Laboratory Project of Hybrid Soybean 4(1),Apparatus and Meter,吉林省
159,Procurement of 0712-224062203060/02 Sinopec Maoming Company Infrared Spectrometer Bidding Project(2),Apparatus and Meter,广东省
160,Procurement of 0644-22402022C466 East China Institute of Optoelectronic Integrated Devices Wafer level Automatic Optical Detector Bidding Project(2),Apparatus and Meter,安徽省
161,Procurement of 4197-214BOEMLED01/07 Mini/Micro LED Production Line Project(1),Others ;电子通信,北京市
162,Procurement of 0712-224062203082/02 Sinopec Maoming Company Ultra-Violet Fluorescence Sulfur Tester Bidding Project(2),Apparatus and Meter,广东省
163,Procurement of 0712-234062303001 Sinopec Zhenhai Company Phase II (LPEC) Residue hydrogenation unit project(2),Machining,浙江省
164,Procurement of 0730-224011020568/34 High temperature annealing furnace (IGZO)(2),Machining,福建省
165,Procurement of 1641-234551200308 Chizhou Conch 5# Nissan 7000t/d clinker production line needs to purchase grate cooler(2),Engineering construction,安徽省
166,Procurement of 1641-234551200309 Digang Conch 4# Nissan 7000t/d clinker production line needs to purchase grate cooler(2),Engineering construction,安徽省
167,Procurement of 1641-234551200310 Xuancheng Conch 2# Nissan 7000t/d clinker production line needs to purchase grate cooler(2),Engineering construction,安徽省
168,Procurement of 4197-214BOECQ0001/271 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Machining,重庆市
169,Procurement of 4197-214BOECQ0001/278 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Apparatus and Meter,重庆市
170,Procurement of 4197-214BOECQ0001/275 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Others,重庆市
171,Procurement of 4197-214BOECQ0001/273 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Machining,重庆市
172,Procurement of 4197-214BOECQ0001/272 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Apparatus and Meter,重庆市
173,Procurement of 0701-224208070015/02 Procurement of Gas Chromatography Quadrupole Time of Flight High Resolution Mass Spectrometer(1),Apparatus and Meter,重庆市
174,Procurement of 4049-234BHJT23001 General Contracting Project of Signal System for Phase I Project of Rail Transit Line B1(1),Electronic & communications,天津市
175,Procurement of 2258-234BOEYYCGZX Medical magnetic resonance system procurement project(1),Medical equipment & medicine,江苏省
176,"Procurement of 0693-2240QCZ22002/02 Instrument and equipment procurement project of Qingdao Biomedical Collaborative Innovation Center (the first batch), Package 4(1)",Apparatus and Meter;其他设备,山东省
177,"Procurement of 0693-2240QCZ22002/01 Instrument and equipment procurement project of Qingdao Biomedical Collaborative Innovation Center (the first batch), Package 3(1)",Apparatus and Meter,山东省
178,Procurement of 4197-214BOECQ0001/295 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(3),Apparatus and Meter,重庆市
179,Procurement of 0720-2340zbzx0025 Extruder of 400Kt/a ABS Plant for PetroChina Jilin Petrochemical Company(1),"Petroleum, chemicals",吉林省
180,Procurement of 0747-2341SCCTJ006 Five Axis High Speed Machining Center of Jingyi College of Tianjin University (the second time)(1),Machining,天津市
181,Procurement of 0705-234005037018 Ultrasonic ophthalmic lens extraction and vitrectomy system maintenance service(1),Others,上海市
182,Procurement of 1708-23410460001A Laboratory medical equipment of YONGCHUAN Hospital of Chongqing Medical University(second batch)(1),Apparatus and Meter,重庆市
183,Procurement of 0705-2240JDSMTXDK/11 ICB Procurement of Intelligent fermentation system for SJTU(2),Apparatus and Meter,上海市
184,Procurement of 0712-224022203143 High pressure control gate valve 3 sets for Sinopec Jinling Petrochemical Company(2),Machining,江苏省
185,Procurement of 1708-22410460102A Flow cytometric sorting analysis system(1),Apparatus and Meter,重庆市
186,Procurement of 2882-224JLJHZBLY8 Automatic Coagulation Analyzer in Liaoyuan Traditional Chinese Medicine Hospital(2),Medical equipment & medicine,吉林省
187,Procurement of 0765-224HQZB00061/04 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project ON-OFF BALL VALVES(3),Machining,广东省
188,Procurement of 0765-224HQZB00061/03 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project Pneumatic Control Valve (GLOBE)(3),Machining,广东省
189,Procurement of 0765-224HQZB00061/02 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project PNEUMATIC CRYOGENIC BUTTERFLY CONTROL VALVES (3),Machining,广东省
190,Procurement of 0765-224HQZB00061/01 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project PNEUMATIC CRYOGENIC BUTTERFLY VALVES (3),Machining,广东省
191,Procurement of 1708-23410460139A Flow cytometry(1),Apparatus and Meter,重庆市
192,Procurement of 0765-224HQZB00054 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project CRYOGENIC HIGH PRESSURE CASTED BALL VALVES(2),Machining,广东省
193,"Procurement of 0716-224HNC961632 Zhuzhou Cemented Carbide Cutting Tools Co.,Ltd. 3D optical edge measuring instrument procurement project(1)",Apparatus and Meter,湖南省
194,Procurement of 0765-224HQZB00061/04 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project ON-OFF BALL VALVES(2),Machining,广东省
195,Procurement of 0765-224HQZB00061/03 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project Pneumatic Control Valve (GLOBE)(2),Machining,广东省
196,Procurement of 0765-224HQZB00061/02 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project PNEUMATIC CRYOGENIC BUTTERFLY CONTROL VALVES (2),Machining,广东省
197,Procurement of 0765-224HQZB00061/01 Shenzhen LNG Emergency Peak-shaving Receiving Terminal Project PNEUMATIC CRYOGENIC BUTTERFLY VALVES (2),Machining,广东省
198,Procurement of 4197-214BOEMY0001/127 BOE MIANYANG G6 AMOLED(FLEXIBLE) Production Line Project(1),Machining,四川省
199,Procurement of 4197-214BOEMY0001/126 BOE MIANYANG G6 AMOLED(FLEXIBLE) Production Line Project(1),Machining,四川省
200,Procurement of 4197-214BOEMY0001/125 BOE MIANYANG G6 AMOLED(FLEXIBLE) Production Line Project(1),Apparatus and Meter,四川省
201,Procurement of 1782-234jlnykxy02 Key Laboratory Project of Hybrid Soybean 2(1),Apparatus and Meter,吉林省
202,Procurement of 1871-234hbzczb301 Super high-end CT(1),Medical equipment & medicine,湖北省
203,"Procurement of 0834-2341SH23A003 Zhang Jiang Institute for Advanced Study, Shanghai Jiao Tong University High power fiber laser amplifier(1)",Electronic & communications,上海市
204,Procurement of 0618-224TC22020QH Indium evaporation table(1),Apparatus and Meter,云南省
205,Procurement of 0705-224220605601 40nm LP(2),Electronic & communications,江苏省
206,Procurement of 0712-234022303002 Exhaust gas explosion limit detector 3 sets for Sinopec Qilu Petrochemical Company(2),Apparatus and Meter,山东省
207,Procurement of 0675-224JOC116008 Surgical robot(2),Medical equipment & medicine,江苏省
208,Procurement of 0675-224JOC116013 Color Doppler ultrasound diagnostic instrument of Nanjing Maternal and Child Health Hospital(1),Medical equipment & medicine,江苏省
