S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Details,Locations,Sector,Subsector
11.0,26-Aug-2023 12:00 PM,09-Sep-2023 06:00 PM,12-Sep-2023 11:00 AM,[Repair and re-carpeting of Bituminous road at VFJ Estate.] [ND-2205/VFJ] [2023_AVNL_152158_2],Armoured Vehicles Nigam Limited||Vehicle Factory - Jabalpur,,VFJ,
12.0,02-Sep-2023 05:45 PM,09-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,[Supply of Multi Gas Detector and Hydrogen Monitor] [JPL-CnM-LT-2023-1100011693] [2023_JPL_166508_1],Jhabua Power Ltd,,,Multi Gas Detector and Hydrogen Monitor
13.0,01-Sep-2023 01:00 PM,09-Sep-2023 06:00 PM,12-Sep-2023 03:30 PM,[18/NIT/BSNL/CD/HBL/2023-24] [18/NIT/BSNL/CD/HBL/2023-24] [2023_BSNL_166338_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||CE (Civil) Bengaluru,,NIT,
14.0,26-Aug-2023 04:00 PM,09-Sep-2023 06:00 PM,12-Sep-2023 11:00 AM,[Construction of Rain Water Harvesting Structure] [WAP/PHIW/GN/DMF/KP1/2023/08/07] [2023_WAPCO_165807_1],WAPCOS Limited||Centre for Port and Harbour and Inland Waterways||Port and Harbour (Gandhinagar) - CPHIW,,,Rain Water Harvesting Structure
15.0,18-Aug-2023 06:00 PM,09-Sep-2023 06:00 PM,11-Sep-2023 11:00 AM,"[GRADING, LEVELING IN EXTENDED OPERATIONAL AREA NEAR RUNWAY 25 BEGINNING and COVERING OF EXISTING OPEN DRAIN BY MS GRILL/JALI IN OPERATIONAL AREA AT D.A.B.H. AIRPORT, INDORE.] [AAI/INDORE/CIVIL/2023-24/03] [2023_AAI_164844_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||ENGG CIVIL-VAID - AAI,['INDIA'],,"D.A.B.H. AIRPORT , INDORE ."
16.0,04-Sep-2023 06:00 PM,09-Sep-2023 06:35 PM,11-Sep-2023 02:30 PM,[PUR/IICT/DMS/361-RE1/23-24] [PUR/IICT/DMS/361/RE-1/23-24] [2023_CSIR_166614_1],Council of Scientific and Industrial Research||IICT-Hyderabad - CSIR||Purchase-IICT - CSIR,,,
17.0,05-Sep-2023 05:00 PM,11-Sep-2023 09:00 AM,12-Sep-2023 09:15 AM,"[P/F precast RCC benches at various location in Ward No. 29, Pooth Khurd in Narela Zone] [MCD/TR/6199/2023_5_1_1/1] [2023_MCD_166677_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,RCC,Narela Zone
18.0,05-Sep-2023 05:00 PM,11-Sep-2023 09:00 AM,12-Sep-2023 09:15 AM,[Providing and fixing of Precast RCC benches at different locations in ward no. 27 Begumpur in Narela Zone.] [MCD/TR/6192/2023_5_1_1/1] [2023_MCD_166675_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,Precast,Narela Zone .
19.0,05-Sep-2023 05:00 PM,11-Sep-2023 09:00 AM,12-Sep-2023 09:15 AM,"[Imp. of lane by pdg. CC pave. from Narender house to chowk and link lanes of Diwan Mangeram, infront of MC Pry. School in village Pooth Khurd in ward no. 29 (Pooth Khurd) in Narela Zone] [MCD/TR/4804/2023_5_1_1/1] [2023_MCD_166669_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,CC,Narela Zone
20.0,05-Sep-2023 05:00 PM,11-Sep-2023 09:00 AM,12-Sep-2023 09:15 AM,"[Imp. Dev. of lane and drain from Sh. Devender House to Hem Raj House in Village Begumpur in ward No. 27, M-II, Narela Zone] [MCD/TR/5493/2023_5_1_1/1] [2023_MCD_166663_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,"ward No . 27 , M - II , Narela Zone"
21.0,05-Sep-2023 05:00 PM,11-Sep-2023 09:00 AM,12-Sep-2023 09:15 AM,[Imp. of lane by pdg. CC pave. from Anup house to Master Suresh house in Village Prahladpur (PNB wali gali) in Ward No. 29 (Pooth Khurd) in Narela Zone] [MCD/TR/4805/2023_5_1_1/1] [2023_MCD_166670_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,CC,Narela Zone
22.0,05-Sep-2023 05:00 PM,11-Sep-2023 09:00 AM,12-Sep-2023 09:15 AM,[Providing and fixing of Precast RCC benches at different locations in ward no. 27 Begumpur in Narela Zone.] [MCD/TR/6192/2023_5_1_1/1] [2023_MCD_166675_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,Precast,Narela Zone .
23.0,05-Sep-2023 05:00 PM,11-Sep-2023 09:00 AM,12-Sep-2023 09:15 AM,"[Imp. Dev. of lane and drain from Sh. Devender House to Hem Raj House in Village Begumpur in ward No. 27, M-II, Narela Zone] [MCD/TR/5493/2023_5_1_1/1] [2023_MCD_166663_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,"ward No . 27 , M - II , Narela Zone"
24.0,06-Sep-2023 03:30 PM,11-Sep-2023 10:00 AM,11-Sep-2023 01:00 PM,"[RATE CONTRACT FOR PROVIDING AND DISPLAYING OF FLORAL BOARD AND OTHER FLOWER MATERIALS (DECORATIONS) FOR USE IN VARIOUS MARKETS, HOTELS, MCD ROADS, PARKS RETIREMENT FUNTION ETC. CENTRAL ZONE UNDER THE JURISDICTION OF MCD] [DDH/CNZ/MCD/2023-24/D-537/NIT No.9 ] [2023_MCD_166762_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,HOTELS,MCD
25.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/625/2023_6_1_1/1] [2023_MCD_166466_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
26.0,14-Aug-2023 05:00 PM,11-Sep-2023 10:00 AM,12-Sep-2023 11:00 AM,[Chemical Cleaning AMC of Shell and Tube Heat Exchangers] [NAL/PUR/NT/031/2023] [2023_CSIR_164469_1],Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR,,Shell,
27.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4726/2023_6_1_1/1] [2023_MCD_166459_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
28.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4937/2023_6_1_1/1] [2023_MCD_166457_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
29.0,03-Jul-2023 05:00 PM,11-Sep-2023 10:00 AM,12-Sep-2023 10:30 AM,"[Manpower assistance in operation of RCTS Ventilation, Dust suppression system, Sump Pump, Pump House and auxiliaries of CHP, BTPS.] [DVC/Tender/BTPS/CHP 1/CnM/WandS/21] [2023_DVC_159637_1]",Damodar Valley Corporation||BTPS Bokaro - DVC||C and M,,Pump,
30.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4954/2023_6_1_1/1] [2023_MCD_166463_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
31.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4980/2023_6_1_1/1] [2023_MCD_166464_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
32.0,03-Jul-2023 05:00 PM,11-Sep-2023 10:00 AM,12-Sep-2023 10:30 AM,"[Manpower assistance in operation of RCTS Ventilation, Dust suppression system, Sump Pump, Pump House and auxiliaries of CHP, BTPS.] [DVC/Tender/BTPS/CHP 1/CnM/WandS/21] [2023_DVC_159637_1]",Damodar Valley Corporation||BTPS Bokaro - DVC||C and M,,Pump,
33.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4726/2023_6_1_1/1] [2023_MCD_166459_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
34.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4961/2023_6_1_1/1] [2023_MCD_166460_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
35.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4954/2023_6_1_1/1] [2023_MCD_166463_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
36.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4937/2023_6_1_1/1] [2023_MCD_166457_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
37.0,29-Jul-2023 06:15 PM,11-Sep-2023 10:00 AM,12-Sep-2023 10:30 AM,"[Assistance to the maintenance work, cleaning and other miscellaneous jobs as and when required in respect of all the HT/LT breakers, HT/LT panels, HT/LT motors, Transformer] [DVC/Tender/BTPS/ES-II A/CandM/Works and Service/00] [2023_DVC_162776_1]",Damodar Valley Corporation||BTPS Bokaro - DVC||C and M,,Transformer,"all the HT / LT breakers , HT / LT panels , HT / LT motors ,"
38.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/625/2023_6_1_1/1] [2023_MCD_166466_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
39.0,23-Aug-2023 02:30 PM,11-Sep-2023 10:00 AM,12-Sep-2023 10:30 AM,[PUR/IMP/EoI/006/23 - Retender] [PUR/IMP/EoI/006/23 ] [2023_CSIR_160977_2],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR,,,
40.0,06-Sep-2023 03:30 PM,11-Sep-2023 10:00 AM,11-Sep-2023 01:00 PM,"[RATE CONTRACT FOR PROVIDING AND DISPLAYING OF FLORAL BOARD AND OTHER FLOWER MATERIALS (DECORATIONS) FOR USE IN VARIOUS MARKETS, HOTELS, MCD ROADS, PARKS RETIREMENT FUNTION ETC. CENTRAL ZONE UNDER THE JURISDICTION OF MCD] [DDH/CNZ/MCD/2023-24/D-537/NIT No.9 ] [2023_MCD_166762_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,HOTELS,MCD
41.0,02-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4954/2023_6_1_1/1] [2023_MCD_166463_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
42.0,01-Sep-2023 05:00 PM,11-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/4884/2023_6_1_1/1] [2023_MCD_166331_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
43.0,23-Aug-2023 02:30 PM,11-Sep-2023 10:00 AM,12-Sep-2023 10:30 AM,[PUR/IMP/EoI/006/23 - Retender] [PUR/IMP/EoI/006/23 ] [2023_CSIR_160977_2],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR,,,
44.0,26-Aug-2023 12:00 PM,11-Sep-2023 10:00 AM,11-Sep-2023 10:30 AM,[Selection of Consortium Partner For BSNL Centralized Mobile Billing System and Probe based IPDR] [TCIL/ITBD/BSNL/I/2023] [2023_TCIL_165791_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||Business Development Division - TCIL,,Selection,BSNL Centralized Mobile Billing System and Probe based IPDR
45.0,06-Sep-2023 03:30 PM,11-Sep-2023 10:00 AM,11-Sep-2023 01:00 PM,"[RATE CONTRACT FOR PROVIDING AND DISPLAYING OF FLORAL BOARD AND OTHER FLOWER MATERIALS (DECORATIONS) FOR USE IN VARIOUS MARKETS, HOTELS, MCD ROADS, PARKS RETIREMENT FUNTION ETC. CENTRAL ZONE UNDER THE JURISDICTION OF MCD] [DDH/CNZ/MCD/2023-24/D-537/NIT No.9 ] [2023_MCD_166762_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,HOTELS,MCD
46.0,23-Aug-2023 03:30 PM,11-Sep-2023 10:30 AM,12-Sep-2023 11:00 AM,[PUR/IMP/007/23 Retender] [PUR/IMP/007/23] [2023_CSIR_160809_2],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR,,,
47.0,22-Aug-2023 09:00 AM,11-Sep-2023 10:45 AM,11-Sep-2023 11:00 AM,[Setting up of manufacturing assembly line for Smart Boards in CEL on Turnkey basis with assembly of 500nos. smart boards per month scalable up to 1000nos. smart boards per month] [C-2(b)/RC/0500/0252/2023 ] [2023_CEL_165214_1],Central Electronics Limited,,Smart,1000nos .
48.0,28-Aug-2023 12:55 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/04/A] [2023_CSIR_165907_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,2023 - 24
49.0,03-Jul-2023 10:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,[prospective OEMs to implement Bharatnet last mile connectivity in Tamilnadu for TANFINET] [TNCO -12/17(26)/12/2022 -EB UNIT-CO Dt 03.07.2023] [2023_BSNL_159632_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||O/o CGM TN Circle, Chennai-6",,Bharatnet,
50.0,23-Aug-2023 10:50 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[Supply, Installation, Testing, Commissioning and AMC of 5G lab at NTIPRIT] [TCIL/ITandT-II/DP/5G/2023/2] [2023_TCIL_165360_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL,['MM'],AMC,
51.0,02-Aug-2023 02:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Improvement and Rehabilitation of Lucknow-Ayodhya Section of NH28(New NH27) from Existing km68.900 to km121.600 in Uttar Pradesh on EPC Mode.] [NHAI/ HQ/ UP(W)/ LKW/ LKW-AYD/ PKG-II] [2023_NHAI_163089_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,,Uttar Pradesh on EPC Mode .
52.0,10-Aug-2023 12:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[Rewinding, Repair and Overhauling of LT Motors up to capacity of 25 KW, 415V AC.] [23-24/C-096/LTE-073] [2023_BPSCL_163714_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,Rewinding,"25 KW ,"
53.0,05-Sep-2023 03:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Annual Maintenance Contract ] [IGIB/2-5C/98/23-24(443)] [2023_CSIR_166698_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,
54.0,28-Jul-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[Facility Services in NHAI, Regional Office, Madurai and its Project Implementation Units - Providing Manpower for a period of two years in the State of Tamil Nadu] [NHAI/17011/03/08/2023/RO Madurai] [2023_NHAI_162586_1]",National Highways Authority of India||RO-Thiruvananthapuram - NHAI,,Facility,Tamil Nadu
55.0,12-Aug-2023 12:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 12:30 PM,[Supply and installation of Sign Boards along with other road safety furnitures in 4 laning of Panikoili Rimuli of NH 215 in the state of Odisha] [NHAI/13012/155/RO/OD/2023] [2023_NHAI_164380_1],National Highways Authority of India||RO-Bhubaneswar - NHAI,['INDIA'],Panikoili,Odisha
56.0,12-Aug-2023 09:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[CS for AE for Rehabilitation and Upgradation to Four Laning of NH31D from Ch. 83.340 to Ch.113.200 (Package II B) of Dhupguri to Falakata Section in the State of West Bengal on EPC Mode.] [NHAI/AE/Pkg2B/NH31D/2023/ E-217351] [2023_NHAI_164355_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,CS,West Bengal on
57.0,14-Aug-2023 06:55 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[CS for AE for Construction of New Double Tier 4lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from Km 0.342 to Km 20.223 on EPC mode under BMP in the State of Tamil Nadu(2nd Call)] [NHAI/11013/23/2017/Chennai/ AE Part1] [2023_NHAI_164535_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,CS,Tamil Nadu(2nd Call )
58.0,25-Aug-2023 03:25 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,"[Overlay work on Ambala Kala Amb section of NH 72 from km 1.000 to Km. 9.250, from 13.750 to km. 16.800, from 24.600 to km. 26.600 and Patch work in km 26.600 to km 38.680 in the State of Haryana.] [PD-CHD/AMB-CHD/RFP ] [2023_NHAI_165723_1]",National Highways Authority of India||RO-Chandigarh - NHAI||Jalandhar - NHAI,,NH,
59.0,06-Apr-2023 06:55 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Routine Maintenance of Six laning of Jaipur Kishangarh Section of NH 8 (New NH 48) from Km. 273.500 to Km. 363.885 (length 90.385 Km.) for 5 years in the State of Rajasthan] [NHAI/11011/1/tender-roj/RM-JK] [2023_NHAI_151173_1],National Highways Authority of India||RO-Jaipur - NHAI,['INDIA'],Km,Rajasthan
60.0,04-Sep-2023 05:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Comprehensive Annual Maintenance Contract] [IGIB/2-5C/117/23-24(474)] [2023_CSIR_166602_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,Comprehensive,
61.0,23-Aug-2023 10:50 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[Supply, Installation, Testing, Commissioning and AMC of 5G lab at NTIPRIT] [TCIL/ITandT-II/DP/5G/2023/2] [2023_TCIL_165360_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL,['MM'],AMC,
62.0,05-Sep-2023 03:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Annual Maintenance Contract ] [IGIB/2-5C/98/23-24(443)] [2023_CSIR_166698_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,
63.0,28-Aug-2023 12:55 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/17/A] [2023_CSIR_165912_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,2023 - 24
64.0,22-Aug-2023 06:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,[Repair Recondition re-winding of 11KV/ 440 V 200/250 KVA Distribution Transformers] [29/IMEE/ELE/EMP1223Dt22.08.23] [2023_VPT_165311_1],Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Electrical and Electronics - VPT,,,11KV/ 440 V 200/250 KVA Distribution Transformers
65.0,28-Aug-2023 12:10 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/PW/08/A] [2023_CSIR_165896_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,2023 - 24
66.0,06-Apr-2023 06:55 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Routine Maintenance of Six laning of Jaipur Kishangarh Section of NH 8 (New NH 48) from Km. 273.500 to Km. 363.885 (length 90.385 Km.) for 5 years in the State of Rajasthan] [NHAI/11011/1/tender-roj/RM-JK] [2023_NHAI_151173_1],National Highways Authority of India||RO-Jaipur - NHAI,['INDIA'],Km,Rajasthan
67.0,05-Sep-2023 03:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Supply of Goods] [IGIB/2-2C/119/23-24(507)] [2023_CSIR_166692_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,Goods
68.0,28-Aug-2023 02:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/18/A] [2023_CSIR_165920_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,2023 - 24
69.0,12-Aug-2023 12:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 12:30 PM,[Supply and installation of Sign Boards along with other road safety furnitures in 4 laning of Panikoili Rimuli of NH 215 in the state of Odisha] [NHAI/13012/155/RO/OD/2023] [2023_NHAI_164380_1],National Highways Authority of India||RO-Bhubaneswar - NHAI,['INDIA'],Panikoili,Odisha
70.0,12-Aug-2023 09:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[CS for AE for Rehabilitation and Upgradation to Four Laning of NH31D from Ch. 83.340 to Ch.113.200 (Package II B) of Dhupguri to Falakata Section in the State of West Bengal on EPC Mode.] [NHAI/AE/Pkg2B/NH31D/2023/ E-217351] [2023_NHAI_164355_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,CS,West Bengal on
71.0,04-Sep-2023 05:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Non-Comprehensive Annual Maintenance Contract] [IGIB/2-5C/118/23-24(475)] [2023_CSIR_166608_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,Non,
72.0,19-Aug-2023 05:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[I R Spectrophotometer] [CMM/KAIGA1-4/CAPKGS3-4/61882] [2023_NPCIL_165021_1],Nuclear Power Corporation Of India Limited||Kaiga Generating Station Kaiga Site - NPCIL||Contracts and Materials Management-NPCIL,,,
73.0,09-Aug-2023 04:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[Construction of 9 nos. FOBs between Kiratpur to Nerchork (including Sundernagar Bypass) section of NH 21 (Now NH 205, 03, 154) from km. 0.000 to km. 182.815 under EPC Mode in the state of Himachal Pradesh.] [11011/95/Tender/2023-24/02] [2023_NHAI_163931_1]",National Highways Authority of India||RO-Shimla - NHAI,['INDIA'],FOBs,
74.0,08-Aug-2023 06:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,[SUPPLY OF HSD] [RR Site/Stations/Common/CMM/79794] [2023_NPCIL_163794_1],Nuclear Power Corporation Of India Limited||Rawatbhata Rajasthan Site - NPCIL||Contracts and Materials Management-NPCIL,,,HSD
75.0,05-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Engagement of user fee agency through EQ at Baloh FP at km 121.935 for the use of Kiratpur Nerchowk Manali section from Km. 119.965 to Km 178.795 and Km 0.000 to Km 2.003 of NH-21 (Now 205 and 154) in Himachal Pradesh ] [NHAI/13013/ 547/CO/23-24/EQ/Baloh FP] [2023_NHAI_166649_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,Nerchowk,
