,title,reference_no,tender_id
15,[Incident Management work for the Lalitpur Sagar Lakhnadon Section of NH 44 from k 99.005 to Km. 415 89 Total Length 316.084 Km in the State of Madhya Pradesh Uttar Pradesh],Incident Management work for the Lalitpur Sagar Lakhnadon Section of NH 44 from k 99.005 to Km. 415 89 Total Length 316.084 Km in the State of Madhya Pradesh Uttar Pradesh] [NHAI /PIU/SGR/IMS/MP/NH-44/2023,2023_NHAI_144141_1
16,"[EOI Document for Operation and Management of Emergency Response Centre (Dial-108) for Ambulance Services along with 24 x7 Call Center for Department of Health, Government of Meghalaya]","EOI Document for Operation and Management of Emergency Response Centre (Dial-108) for Ambulance Services along with 24 x7 Call Center for Department of Health, Government of Meghalaya] [TCIL/ NHM/MGH/2023",2023_TCIL_144168_1
17,[Repair or renovation of ET 1 Conveyor system structure of Urea III plant],Repair or renovation of ET 1 Conveyor system structure of Urea III plant] [UB-III/22/Cont-295/7683,2023_BVFCL_144169_1
18,[HIRING OF SURVEY TEAMS],HIRING OF SURVEY TEAMS] [IRCON/2046/NFR-SRRP/SURVEY/249,2023_IRCON_143955_1
19,[Laying OFC and related works in Rampachodavaram Mandal Area-5 of BSNL RMY BA AP Circle],Laying OFC and related works in Rampachodavaram Mandal Area-5 of BSNL RMY BA AP Circle] [GMT/PLG/RMY/4G OFC tender1/2022-23/25 dtd 04/02/23,2023_BSNL_144166_1
20,[5th call for Engagement of Safety Consultant Services during O and M of Simga-Sargaon section from Km 48.580 to Km 91.026 Package-II and Sargaon-Bilaspur section Package-III from Km 91.026 to Km 126.525 of Raipur-Bilaspur Road in the State CG.],5th call for Engagement of Safety Consultant Services during O and M of Simga-Sargaon section from Km 48.580 to Km 91.026 Package-II and Sargaon-Bilaspur section Package-III from Km 91.026 to Km 126.525 of Raipur-Bilaspur Road in the State CG.] [11052/RO-Raipur/Tender/SC/5th call,2023_NHAI_144142_1
21,[Laying OFC and related works in Maredumilli Mandal Area-5 of BSNL RMY BA AP Circle],Laying OFC and related works in Maredumilli Mandal Area-5 of BSNL RMY BA AP Circle] [GMT/PLG/RMY/4G OFC tender1/2022-23/23 dtd 04/02/23,2023_BSNL_144164_1
22,[Manpower outsourcing for Hiring of Watch and Ward services],Manpower outsourcing for Hiring of Watch and Ward services] [PGM-BO/Tech/WatchWard/2022-23,2023_BSNL_144160_1
23,[Supply of Spares for Ambuj Dredger of DWUP],Supply of Spares for Ambuj Dredger of DWUP] [01-19976 ,2023_IREL_143908_1
24,[Laying OFC and related works in Rampachodavaram Mandal Area-5 of BSNL RMY BA AP Circle],Laying OFC and related works in Rampachodavaram Mandal Area-5 of BSNL RMY BA AP Circle] [GMT/PLG/RMY/4G OFC tender1/2022-23/25 dtd 04/02/23,2023_BSNL_144166_1
25,[3rd call for Engagement of Safety Consultant Services during O and M of End of Durg Bypass to CG MH Border Durg Bypass and Raipur to Aurang and Raipur to Simga],3rd call for Engagement of Safety Consultant Services during O and M of End of Durg Bypass to CG MH Border Durg Bypass and Raipur to Aurang and Raipur to Simga] [11052/RO-Raipur/Tender/SC-3rd call,2023_NHAI_144152_1
26,[OCM of EMS at Coaxial Telephone Exchange Bldg. ITARSI.],OCM of EMS at Coaxial Telephone Exchange Bldg. ITARSI.] [NIT(28)/EE(E)/BSNL-BPL/2022-23,2023_BSNL_144154_1
27,[3rd call for Engagement of Safety Consultant Services during O and M of Odisha Chhattisgarh Border to Aurang of NH-53 Km.88.000 to Km.239.000 Dhamtari-Kanker Section of NH-30 Km.81.500 to Km.130.000 Bedma-Dahikonga section of NH-30.],3rd call for Engagement of Safety Consultant Services during O and M of Odisha Chhattisgarh Border to Aurang of NH-53 Km.88.000 to Km.239.000 Dhamtari-Kanker Section of NH-30 Km.81.500 to Km.130.000 Bedma-Dahikonga section of NH-30.] [11052/RO-Raipur/Tender/SC/3rd call,2023_NHAI_144147_1
28,"[HIRING OF SERVICES FOR EXTERNAL CORROSION DIRECT ASSESSMENT (CIPS, DCVG, CAT) SURVEY ALONG VSPL PIPELINE]","HIRING OF SERVICES FOR EXTERNAL CORROSION DIRECT ASSESSMENT (CIPS, DCVG, CAT) SURVEY ALONG VSPL PIPELINE] [GAIL/CHYC109701/PL (2023_GAIL_143792_1)",2023_GAIL_143792_1
29,[CONSTRUCTION OF NEW BORE-WELL AT FIROZABAD CITY GATE STATION],CONSTRUCTION OF NEW BORE-WELL AT FIROZABAD CITY GATE STATION] [GAIL/KL/C22417/PK/PL/2022,2023_GAIL_143218_1
30,[Repair and Comprehensive Operation and Maintenance of Light and Sound Show at Gorakhnath Temple at Gorakhpur UP],Repair and Comprehensive Operation and Maintenance of Light and Sound Show at Gorakhnath Temple at Gorakhpur UP] [TCIL/C/PD(UP)/02/2023/14E,2023_TCIL_144156_1
31,[No. EE-MS-I/SZ/TC/2022-23/23-07],No. EE-MS-I/SZ/TC/2022-23/23-07] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_7
32,[No. EE-MS-I/SZ/TC/2022-23/23-09],No. EE-MS-I/SZ/TC/2022-23/23-09] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_9
33,"[Indoor and outdoor signaling work in connection with, Installation, of SSDAC as dual detection for BPAC in Washimbe Malik peth and Tilati Kalaburagi and single line on 10 Block sections of KWV MRJ and PB SNSI of Solapur Division]","Indoor and outdoor signaling work in connection with, Installation, of SSDAC as dual detection for BPAC in Washimbe Malik peth and Tilati Kalaburagi and single line on 10 Block sections of KWV MRJ and PB SNSI of Solapur Division] [C-2(b)/WC/910/0154/2023",2023_CEL_144118_1
34,[No. EE-MS-I/SZ/TC/2022-23/23-05],No. EE-MS-I/SZ/TC/2022-23/23-05] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_5
35,[No. EE-MS-I/SZ/TC/2022-23/23-06],No. EE-MS-I/SZ/TC/2022-23/23-06] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_6
36,[No. EE-MS-I/SZ/TC/2022-23/23-04],No. EE-MS-I/SZ/TC/2022-23/23-04] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_4
37,[No. EE-MS-I/SZ/TC/2022-23/23-03],No. EE-MS-I/SZ/TC/2022-23/23-03] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_3
38,[Manpower outsourcing for Hiring of Housekeeping services],Manpower outsourcing for Hiring of Housekeeping services] [PGM-BO/Tech/Housekeeping/22-23,2023_BSNL_144151_1
39,"[Erection of Tanks, Pumps and Modification and Rerouting of Pipes ]","Erection of Tanks, Pumps and Modification and Rerouting of Pipes ] [36/20654",2023_IREL_140828_3
40,[No. EE-MS-I/SZ/TC/2022-23/23-04],No. EE-MS-I/SZ/TC/2022-23/23-04] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_4
41,[No. EE-MS-I/SZ/TC/2022-23/23-01],No. EE-MS-I/SZ/TC/2022-23/23-01] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_1
42,[No. EE-MS-I/SZ/TC/2022-23/23-02],No. EE-MS-I/SZ/TC/2022-23/23-02] [No. EE-MS-I/SZ/TC/2022-23/23,2023_MCD_144108_2
43,"[Earthwork in Railway formation including filling and cutting, blanketing, construction of minor bridges and Panel building for proposed Railway siding at Mungoli- Nirguda open cast mine of Wani area for M/s. WCL. Package II]","Earthwork in Railway formation including filling and cutting, blanketing, construction of minor bridges and Panel building for proposed Railway siding at Mungoli- Nirguda open cast mine of Wani area for M/s. WCL. Package II] [RITES/GM/NGP /WCL /Mungoli /Civil / T-02-2023 ",2023_RITES_144134_1
44,"[ANNUAL RATE CONTRACT FOR PROCUREMENT OF COPPER RINGS AND O RINGS FOR INSTRUMENTS AIR COMPRESSOR AT GDU, DULIAJAN]","ANNUAL RATE CONTRACT FOR PROCUREMENT OF COPPER RINGS AND O RINGS FOR INSTRUMENTS AIR COMPRESSOR AT GDU, DULIAJAN] [BCPL/CNP/DU22S307MB/4884",2023_BCPL_144132_1
45,[WAP/ENVT/ESICAR/BEL/2023/01],WAP/ENVT/ESICAR/BEL/2023/01] [WAP/ENVT/ESIC-AR/BEL/2023/01,2023_WAPCO_144146_1
46,[DE/TP/RP/ETender/ 22-23/ 54 dt 02/02/23],DE/TP/RP/ETender/ 22-23/ 54 dt 02/02/23] [DE/TP/RP/ETender/ 22-23/ 54 Dt02/02/23,2023_BSNL_144140_1
47,"[Annual Rate Contract For MDPE Pipe Network Laying And LMC Installation And Associated Works For Kozhikode Wayanad, Kannur Kasaragod, Thrissur Palakkad, And Malappuram]","Annual Rate Contract For MDPE Pipe Network Laying And LMC Installation And Associated Works For Kozhikode Wayanad, Kannur Kasaragod, Thrissur Palakkad, And Malappuram] [IOAGPL/PE/LYG/2023-24/46",2023_AGPL_143476_4
48,[Expression of Intrest for Outsourcing of Hoardings in BSNL premises at Washim Telephone Exchange of Akola SSA],Expression of Intrest for Outsourcing of Hoardings in BSNL premises at Washim Telephone Exchange of Akola SSA] [MHATI-17/25/52/2022-PLG/09 Date04.02.2023,2023_BSNL_144121_1
49,[Special Repair and Rehabilitation of structural components like cracked columns projected balconies and facias including external painting works of Main TE Building at Kachi Chawni Jammu JK UT],Special Repair and Rehabilitation of structural components like cracked columns projected balconies and facias including external painting works of Main TE Building at Kachi Chawni Jammu JK UT] [40/EE/DIV/JT/2022-23,2023_BSNL_144062_1
50,[PROCUREMENT OF DCP FIRE EXTINGUISHERS 75 KG CAPACITY FOR HAZIRA COMPRESSOR STATION.],PROCUREMENT OF DCP FIRE EXTINGUISHERS 75 KG CAPACITY FOR HAZIRA COMPRESSOR STATION.] [2023_GAIL_143906,2023_GAIL_143906_1
51,[Laying OFC and related works in Y ramavaram Mandal Area-5 of BSNL RMY BA AP Circle],Laying OFC and related works in Y ramavaram Mandal Area-5 of BSNL RMY BA AP Circle] [GMT/PLG/RMY/4G OFC tender1/2022-23/22 dtd 04/02/23,2023_BSNL_144123_1
52,"[Replacement of Main Fire Alarm Control Panel at Admn. Bldg. Doorsanchar Bhawan, Mall Road, Kanpur.]","Replacement of Main Fire Alarm Control Panel at Admn. Bldg. Doorsanchar Bhawan, Mall Road, Kanpur.] [12/TED-KP/2022-23 dt.17.01.2023",2023_BSNL_144130_1
53,"[Supply of Potted Plants and Various item in AD Block Nursery, Shalimar Bagh, Ward No. 56/K.P.Zone.]","Supply of Potted Plants and Various item in AD Block Nursery, Shalimar Bagh, Ward No. 56/K.P.Zone.] [NITNo.DDH/KPZ/2022-23/02-01",2023_NDMC_144135_1
54,[4G OFC Laying Tender 62 Paderu 18 Routes 54.9km],4G OFC Laying Tender 62 Paderu 18 Routes 54.9km] [-326011 VSK BA-19/14(11)/37/2023-CM PLG AND BTS VM,2023_BSNL_144136_1
55,[4G OFC Laying Tender 61 Koyyuru 17 Routes 45.6km],4G OFC Laying Tender 61 Koyyuru 17 Routes 45.6km] [E-325973 VSK BA-19/14(11)/36/2023-CM PLG AND BTS V,2023_BSNL_144133_1
56,[4G OFC Laying Tender 60 Koyyuru 15 Routes 48.3km],4G OFC Laying Tender 60 Koyyuru 15 Routes 48.3km] [E-325943 VSK BA-19/14(11)/35/2023-CM PLG AND BTS V,2023_BSNL_144129_1
57,[Provision of Baggage Handling System (BHS)],Provision of Baggage Handling System (BHS)] [AAI/BBSR/2022-23/PROVISION OF BHS,2023_AAI_142041_2
58,[Comprehensive Maintenance of EMS at BSNL staff Qtrs at Sec-27 and Sec-30 Chandigarh.],Comprehensive Maintenance of EMS at BSNL staff Qtrs at Sec-27 and Sec-30 Chandigarh.] [22/EE/E/BSNL/ED/CHD/22-23 ,2023_BSNL_144099_1
59,[Supply of foliage potted plants],Supply of foliage potted plants] [DDH/CLZ/2022-23/02-01,2023_MCD_144112_2
60,[4G OFC Laying Tender 59 Hukumpeta 20 Routes 43.3km],4G OFC Laying Tender 59 Hukumpeta 20 Routes 43.3km] [E-325916 VSK BA-19/14(11)/34/2023-CM PLG AND BTS V,2023_BSNL_144120_1
61,[MM TENDER/FTTH/KLM BA/2022-23/13],MM TENDER/FTTH/KLM BA/2022-23/13] [MM Tender/FTTH/KLM BA/2022-23/13,2023_BSNL_144020_2
62,[Supply of foliage potted plants],Supply of foliage potted plants] [DDH/CLZ/2022-23/02-01,2023_MCD_144112_2
63,[Improvement of Community Toilet complex near Ram Piyau on Lotus temple road in Ward no.175 Kalkaji CNZ.],Improvement of Community Toilet complex near Ram Piyau on Lotus temple road in Ward no.175 Kalkaji CNZ.] [23/EE (M)-II/CNZ/TC/2022-23/02,2023_MCD_144124_1
64,[Supply of foliage potted plants],Supply of foliage potted plants] [DDH/CLZ/2022-23/02-02,2023_MCD_144125_1
65,[Improvement of Community Toilet complex near parking opposite main gate of Lotus temple in Ward no.175 Kalkaji CNZ.],Improvement of Community Toilet complex near parking opposite main gate of Lotus temple in Ward no.175 Kalkaji CNZ.] [23/EE (M)-II/CNZ/TC/2022-23/01,2023_MCD_144122_1
66,[SHIFTING OF SV 5 B STATION INCLUDING MAIN LINE RE ROUTING WORKS ],SHIFTING OF SV 5 B STATION INCLUDING MAIN LINE RE ROUTING WORKS ] [GAIL/BLR/CP/OM/C2022-41/110222,2023_GAIL_143201_1
67,[OFC REHABILITATION WORKS ( 3 ROUTES) IN WARANGAL SSA],OFC REHABILITATION WORKS ( 3 ROUTES) IN WARANGAL SSA] [OFC REHABILITATION WORKS IN WGL SSA,2023_BSNL_144117_1
68,"[Desilting of Z block Nallah,Sanjay colony Main Nallah, A C and Y Block main Nallah, Tata Steel Nallah and okhla Phase-I Nallah in ward No. 177 Harkesh Nagar Central Zone]","Desilting of Z block Nallah,Sanjay colony Main Nallah, A C and Y Block main Nallah, Tata Steel Nallah and okhla Phase-I Nallah in ward No. 177 Harkesh Nagar Central Zone] [22/EE (M)-II/CNZ/TC/2022-23/04",2023_MCD_144114_1
69,[Desilting of Abul Fazal Nallah Nayi Basti Nallah okhla Vihar Nallah in Ward no.188 Abul Fazal Nalah Nayi Bsti Nallah okhla Vihar Nallah in Ward no.188 Abul Fazal Enclave CNZ.],Desilting of Abul Fazal Nallah Nayi Basti Nallah okhla Vihar Nallah in Ward no.188 Abul Fazal Nalah Nayi Bsti Nallah okhla Vihar Nallah in Ward no.188 Abul Fazal Enclave CNZ.] [22/EE (M)-II/CNZ/TC/2022-23/03,2023_MCD_144102_1
70,"[Desilting of pocket A-4 drain in Govindpuri W.No.176,CNZ.]","Desilting of pocket A-4 drain in Govindpuri W.No.176,CNZ.] [22/EE (M)-II/CNZ/TC/2022-23/01",2023_MCD_144100_1
71,"[Desliting of Gaffar Manzil Nallah in W.No.189, Zakir Nagar,CNZ.]","Desliting of Gaffar Manzil Nallah in W.No.189, Zakir Nagar,CNZ.] [22/EE (M)-II/CNZ/TC/2022-23/02",2023_MCD_144101_1
72,"[Desilting/ cleaning of Nallah No. 15 from Railway Track to Yamuna River in Ward No. 142, Central Zone.]","Desilting/ cleaning of Nallah No. 15 from Railway Track to Yamuna River in Ward No. 142, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-9",2023_SDMC_144083_1
73,[Desilting/cleaning of Kushak Nallah from INA to Railway X-ing near Sewa Nagar and Drain from A-Block NDSE-I to Kushak Nallah in Ward No. 147 (Kotla Mubarakpur) Central Zone],Desilting/cleaning of Kushak Nallah from INA to Railway X-ing near Sewa Nagar and Drain from A-Block NDSE-I to Kushak Nallah in Ward No. 147 (Kotla Mubarakpur) Central Zone] [D/EE (M)-I/CNZ 2022-2023/43-19,2023_SDMC_144094_1
74,"[Desilting/ cleaning of L.S.R. Nallah from Kalkadevi marg to Ring road (Banglow No. 1) to to Feroz Gandhi Marg, National Park Nallah from Frank Anothoni School to L.S.R. Nallah and Drain from Jangpura Flyover to Round about A-Block Jangpura Extn]","Desilting/ cleaning of L.S.R. Nallah from Kalkadevi marg to Ring road (Banglow No. 1) to to Feroz Gandhi Marg, National Park Nallah from Frank Anothoni School to L.S.R. Nallah and Drain from Jangpura Flyover to Round about A-Block Jangpura Extn] [D/EE (M)-I/CNZ 2022-2023/43-18",2023_SDMC_144092_1
75,"[Desilting/ cleaning of Drain Jangpura-A Nallah from Hospital Road to Barapulla Nallah, Apna Bazar to Sriniwaspuri Main Nallah (Out fall), Nallah on Dr. Ram Lal Verma Marg Lajpat Nagar (both side) and Pipe drain 600 mm dia Shiv Mandir Marg from Defenc]","Desilting/ cleaning of Drain Jangpura-A Nallah from Hospital Road to Barapulla Nallah, Apna Bazar to Sriniwaspuri Main Nallah (Out fall), Nallah on Dr. Ram Lal Verma Marg Lajpat Nagar (both side) and Pipe drain 600 mm dia Shiv Mandir Marg from Defenc] [D/EE (M)-I/CNZ 2022-2023/43-13",2023_SDMC_144087_1
76,"[Desilting/ cleaning of Chirag Delhi Nallah from Andrews Ganj to Ring Road in Ward No. 146, Central Zone.]","Desilting/ cleaning of Chirag Delhi Nallah from Andrews Ganj to Ring Road in Ward No. 146, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-17",2023_SDMC_144091_1
77,"[Desilting/ cleaning of Garhi Village from Prakash Mohalla to Sriniwaspuri near Cambridge School in Ward No. 146, Central Zone.]","Desilting/ cleaning of Garhi Village from Prakash Mohalla to Sriniwaspuri near Cambridge School in Ward No. 146, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-16",2023_SDMC_144090_1
78,"[Desilting/ cleaning of Khushak Nallah from Railway Crossing to Barapulla Nallah (Lala Lajpat Rai Marg) in Ward No. 145, Central Zone.]","Desilting/ cleaning of Khushak Nallah from Railway Crossing to Barapulla Nallah (Lala Lajpat Rai Marg) in Ward No. 145, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-15",2023_SDMC_144089_1
79,"[Desilting/ cleaning of Defence Colony Nallah from Ring Road to Khusak nallah, Drain in D-Block Defence colony from Ring Road to Ratan Lal Sehdev Marg, Drain in C-Block Defence colony from Central road to Ratan Lal Sehdev Marg and Anand Lok Nallah ]","Desilting/ cleaning of Defence Colony Nallah from Ring Road to Khusak nallah, Drain in D-Block Defence colony from Ring Road to Ratan Lal Sehdev Marg, Drain in C-Block Defence colony from Central road to Ratan Lal Sehdev Marg and Anand Lok Nallah ] [D/EE (M)-I/CNZ 2022-2023/43-14",2023_SDMC_144088_1
80,"[Desilting/ cleaning of Khushak Nallah from Railway Crossing to Barapulla Nallah (Lala Lajpat Rai Marg) in Ward No. 145, Central Zone.]","Desilting/ cleaning of Khushak Nallah from Railway Crossing to Barapulla Nallah (Lala Lajpat Rai Marg) in Ward No. 145, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-15",2023_SDMC_144089_1
81,"[Desilting/ cleaning of Defence Colony Nallah from Ring Road to Khusak nallah, Drain in D-Block Defence colony from Ring Road to Ratan Lal Sehdev Marg, Drain in C-Block Defence colony from Central road to Ratan Lal Sehdev Marg and Anand Lok Nallah ]","Desilting/ cleaning of Defence Colony Nallah from Ring Road to Khusak nallah, Drain in D-Block Defence colony from Ring Road to Ratan Lal Sehdev Marg, Drain in C-Block Defence colony from Central road to Ratan Lal Sehdev Marg and Anand Lok Nallah ] [D/EE (M)-I/CNZ 2022-2023/43-14",2023_SDMC_144088_1
82,"[Desilting/ cleaning of Drain Jangpura-A Nallah from Hospital Road to Barapulla Nallah, Apna Bazar to Sriniwaspuri Main Nallah (Out fall), Nallah on Dr. Ram Lal Verma Marg Lajpat Nagar (both side) and Pipe drain 600 mm dia Shiv Mandir Marg from Defenc]","Desilting/ cleaning of Drain Jangpura-A Nallah from Hospital Road to Barapulla Nallah, Apna Bazar to Sriniwaspuri Main Nallah (Out fall), Nallah on Dr. Ram Lal Verma Marg Lajpat Nagar (both side) and Pipe drain 600 mm dia Shiv Mandir Marg from Defenc] [D/EE (M)-I/CNZ 2022-2023/43-13",2023_SDMC_144087_1
83,"[Desilting/ cleaning of Drain from Manokamna Mandir to Pocket B Sidharth Extn., Kilokari Nallah from Kilokari Village to Ring Raod and Pipe drain from Pocket-A sidharth Extn. to Sump well Pocket B Sidharth Extn. in Ward No. 143 (Sidharth Nagar), C]","Desilting/ cleaning of Drain from Manokamna Mandir to Pocket B Sidharth Extn., Kilokari Nallah from Kilokari Village to Ring Raod and Pipe drain from Pocket-A sidharth Extn. to Sump well Pocket B Sidharth Extn. in Ward No. 143 (Sidharth Nagar), C] [D/EE (M)-I/CNZ 2022-2023/43-12",2023_SDMC_144086_1
84,"[Desilting/cleaning of Drain No. 12 A from Tilak Bridge to Railway Phatak in Ward No. 142, Central Zone.]","Desilting/cleaning of Drain No. 12 A from Tilak Bridge to Railway Phatak in Ward No. 142, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-11",2023_SDMC_144085_1
85,[Improvement of footpath-Gate No 1 and back lane behind the market in NDSE-IIMarket in Ward No. 147/Central Zone],Improvement of footpath-Gate No 1 and back lane behind the market in NDSE-IIMarket in Ward No. 147/Central Zone] [D/EE (M)-I/CNZ 2022-2023/43-5,2023_SDMC_144079_1
86,[Improvement of existing public toilet block near police station hazrat Nizamuddin in ward no 142(Daryaganj) central zone],Improvement of existing public toilet block near police station hazrat Nizamuddin in ward no 142(Daryaganj) central zone] [D/EE (M)-I/CNZ 2022-2023/43-6,2023_SDMC_144080_1
87,"[Desilting/ cleaning of Nallah No. 14 from Petrol Pump to Yamuna River in Ward No. 142, Central Zone.]","Desilting/ cleaning of Nallah No. 14 from Petrol Pump to Yamuna River in Ward No. 142, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-8",2023_SDMC_144082_1
88,"[Desilting/ cleaning of Nallah No. 12A Plus 2 from Metro Station Pargati Maidan (Mathura Road) to Ring road in Ward No. 142, Central Zone.]","Desilting/ cleaning of Nallah No. 12A Plus 2 from Metro Station Pargati Maidan (Mathura Road) to Ring road in Ward No. 142, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-10",2023_SDMC_144084_1
89,"[CONSTRUCTION OF HEALTH CENTRE FOR INDUSTRIAL COMPLEX AT KAMENG HYDRO POWER STATION, KIMI, ARUNACHAL PRADESH]","CONSTRUCTION OF HEALTH CENTRE FOR INDUSTRIAL COMPLEX AT KAMENG HYDRO POWER STATION, KIMI, ARUNACHAL PRADESH] [NIB 430 DATED 03.02.2023",2023_NEEPC_144095_1
90,"[Desilting/cleaning of Sriniwaspuri Nallah/Club Nalah, Maharani Bagh Nallah from Cambridge School Sriniwaspuri to C.V. Raman Marg Culvert in Ward No. 89-S/Central Zone]","Desilting/cleaning of Sriniwaspuri Nallah/Club Nalah, Maharani Bagh Nallah from Cambridge School Sriniwaspuri to C.V. Raman Marg Culvert in Ward No. 89-S/Central Zone] [D/EE (M)-I/CNZ 2022-2023/43-7",2023_SDMC_144081_1
91,[14-VII/SKJ(2921)22PB/T-100],14-VII/SKJ(2921)22PB/T-100] [14-VII/SKJ(2921)22PB/T-100,2023_CSIR_144093_1
92,[E-TENDER FOR OUTSOURCING OF O and M of CSCs in Satara BA],E-TENDER FOR OUTSOURCING OF O and M of CSCs in Satara BA] [T-42 /e-Tender /OCSC/ Satara BA/2022-23,2022_BSNL_138532_1
93,[Repairs to the drains walls along the WQ-6 compound wall and beside AVR tanks road area in WOB area],"Repairs to the drains walls along the WQ-6 compound wall and beside AVR tanks road area in WOB area] [IENG/CP/EE(South) /T/ 77, Dt. 03-02-2023",2023_VPT_144024_1
94,[Repair and Renovation of 42 Bedded Ward at Govt. Medical College District Siddharth Nagar Uttar Pradesh.],Repair and Renovation of 42 Bedded Ward at Govt. Medical College District Siddharth Nagar Uttar Pradesh.] [UPZ/356/SIDD/RR/22-23/1056,2023_NPCC_144072_1
95,[O and M Mobile BTS Sites/Rural exchanges in Cluster No. PTA001 ],O and M Mobile BTS Sites/Rural exchanges in Cluster No. PTA001 ] [ NIT13/2022-23,2023_BSNL_144021_1
