Tender,Company,Procurement,Notice,Location,Closing,Value,Date,Tender_Url
GB-southampton: Background Checking (Criminal Reference checks),Ordnance Survey limited,  Opportunity,  Open,  Any region,"  29 September 2022, 12pm","Contract value £25,000 to £50,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/673d2f8d-6cb4-4952-8297-00dad2525d18?origin=SearchResults&p=1
"Housing Related Support Service to Victims/Survivors of Domestic Abuse, Including Children in a Domestic Abuse Safe Accommodation Service (Non-Designated Buildings)",Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 October 2022,  1pm","Contract value £1,990,980",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/d41824e8-548e-407d-b54d-4edbb6662aa7?origin=SearchResults&p=1
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),Homes for Haringey,  Opportunity,  Open,  United Kingdom,"  30 September 2022, 12pm","Contract value £20,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/c1dbe33b-c351-40bb-a2a9-805d4f4861e6?origin=SearchResults&p=1
"Reconfigure and refurbish rooms AM 36, AF 40, and AF 41 to form new Estates Office",LEEDS TRINITY UNIVERSITY,  Opportunity,  Open,  LS18 5HD,"  17 October 2022,  5pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/2a5c4da8-3807-4a8b-b07c-5e6c4e416fed?origin=SearchResults&p=1
Framework Agreement for Installation and Repair,PROCURE PLUS HOLDINGS LIMITED,  Opportunity,  Open,  United Kingdom,"  11 November 2022,  5pm","Contract value £1 to £2,520,000,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/7998afd7-fc37-424c-b246-0fbfe93f1867?origin=SearchResults&p=1
UKHSA_Science - Purchase of Syringe Pumps,UK Health Security Agency,  Opportunity,  Open,  SW1P 3JR,"  29 September 2022, 12pm","Contract value £10,000 to £15,000","  15 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/bef75f69-9a6b-4e43-8dbe-2c304a41b2cd?origin=SearchResults&p=1
Public Health Cloud Based CRM System,Leicestershire County Council,  Opportunity,  Open,  England,"  15 September 2022, 11:59pm","Contract value £338,057.20",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/bdf4cee2-0fde-448b-9fad-a7a535654ab4?origin=SearchResults&p=1
Ennor Farm self-build ground works,COUNCIL OF THE ISLES OF SCILLY,  Opportunity,  Open,  TR210LW,"  30 September 2022,  4pm","Contract value £900,000","  15 July 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/ded527c4-1dc6-423b-b459-2db0e82817cc?origin=SearchResults&p=1
Knuzden Play Area installation and new ballcourt installation for Hyndburn Borough Council,Hyndburn Borough Council Environmental Services,  Opportunity,  Open,  BB1 2DJ,"  24 October 2022,  2pm","Contract value £90,000 to £120,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/5719d8e3-9c30-4e24-ae81-6a89af8da716?origin=SearchResults&p=2
03080 - The Stage - Commercial Property Advisor,Luton Council,  Opportunity,  Open,  United Kingdom,"  30 September 2022,  5pm","Contract value £10,000 to £40,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/f2e5a22f-d6af-4df9-8a8b-f07ce569dab6?origin=SearchResults&p=2
Agreement for Contingent Resource,Dounreay Site Restoration Ltd,  Opportunity,  Open,  KW14 7TZ,"  17 October 2022, 12pm","Contract value £14,999,999 to £15,000,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/16d4e31a-d4b3-4ce0-b276-bd0165fe3d8c?origin=SearchResults&p=2
CA11005 - ESNEFT1586 Plantroom 1 AHU Replacement,East Suffolk and North Essex NHS FT,  Opportunity,  Open,  IP4 5PD,"  26 September 2022,  5pm",Contract value £0,"  23 August 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/b341dd40-83c6-4641-a3c5-a58a46957a88?origin=SearchResults&p=2
Mobile Voice and Data Services,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  22 September 2022, 11am","Contract value £2,518,000,000","  11 August 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/c60d4c0e-6af4-4d93-a276-2bf2a5766633?origin=SearchResults&p=2
Residence Roof Insulation Works Oslo,Foreign Commonwealth and Development Office,  Opportunity,  Open,  SW1A 2AH,"  10 October 2022,  3pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/8f1f526b-40ee-4379-90e0-dcda359b8017?origin=SearchResults&p=2
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),London Borough of Haringey - Housing Services and Building Safety - Playle,  Opportunity,  Open,  United Kingdom,"  30 September 2022, 12pm","Contract value £10,000 to £30,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/4aaabfb8-256a-43a3-b637-334cbadbe0ab?origin=SearchResults&p=2
SUEZ St Erth Waste Transfer Station Cornwall - Sub Structure Works,Corserv Limited,  Opportunity,  Open,  England,"  29 September 2022,  2pm","Contract value £1,000,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/9ba13e69-7f17-4776-a2e7-c72e07e30f97?origin=SearchResults&p=2
Force Medical Advisor (FMA) Services,South West Police Procurement Services,  Opportunity,  Open,  South West,"  19 October 2022, 12pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/a8dcc951-dcd8-4c82-bfc0-267a5742137a?origin=SearchResults&p=2
Customer Experience Platform,Norfolk County Council,  Opportunity,  Open,  NR1 2DH,"  18 October 2022, 10am",Contract value £0,"  15 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/61569cda-0e6f-4a27-9785-7ec7b7c7431f?origin=SearchResults&p=2
Bank Accounts for Appointee and Deputy Clients Within Croydon,Croydon Council,  Opportunity,  Open,  England,"  29 September 2022, 12pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/1f65590e-7840-4d59-a199-b758a8d5fc38?origin=SearchResults&p=2
"PIN for the Provision of a Special Allocation Scheme for NHS Bristol, North Somerset, and South Gloucestershire Integrated Care Board","NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Early engagement,  Open,  South West,  19 October 2022,"Publication date 18 August 2022, last edited 15 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/26f4d450-2b9a-43fe-b0f0-60e80000e292?origin=SearchResults&p=2
P0905 - Birmingham Carers Hub,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  21 October 2022, 12pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/c81731ff-dd45-4c81-98e6-f9254f1bff67?origin=SearchResults&p=2
CSI/CYP/ISF Children's Pilot - EOI ONLY,Bristol City Council,  Early engagement,  Open,  South West,  29 September 2022,Publication date 15 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/0f91353a-19a6-4e2c-93fd-98c10f0c3ed3?origin=SearchResults&p=2
UCLan School of Dentistry Clinical Recording Software,University of Central Lancashire,  Opportunity,  Open,  North West,"  29 September 2022, 12pm","Contract value £30,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/720bb58d-8ecc-445c-a994-7bf1f24f7285?origin=SearchResults&p=2
"SparkFund is an ERDF funded grants programme available to Small & Medium Sized Enterprises (SMEs), located in either the Humber of York & North Yorkshire Local Enterprise Partnership (LEP) areas.  The total value of the programme is £17.8m and it is in receipt of £9.8m of ERDF grant funding.  SparkFund is led and managed by the University of Hull and a dedicated SparkFund Team has been established to act as the direct interface with eligible SMEs and to support them to scope, design and successfully procure goods and/or services. 
      
      The grant recipient, Additive-X Ltd wish to enhance their facilities and service offering at their main site in Ripon. The facility",UNIVERSITY OF HULL,  Opportunity,  Open,  HU6 7RX,"  19 October 2022,  5pm","Contract value £227,997.60",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/98d2dca6-e70f-4111-84b3-4f09df8af4af?origin=SearchResults&p=2
Integrated Carers Service,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  Yorkshire and the Humber,"  17 October 2022, 12pm","Contract value £943,880",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/e0bb2d8f-c8b2-4f0a-905e-be42d64465f6?origin=SearchResults&p=2
Gambling addiction materials and management health expert advice service,Ministry of Defence,  Early engagement,  Open,  Any region,  29 September 2022,Publication date 15 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/3e8e3ee3-3552-42cc-a740-6e1be404fa79?origin=SearchResults&p=2
"Provision of Air Conditioning Maintenance and Repair Services for the British High Commission in Maputo, Mozambique.",Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"   7 October 2022,  5pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/d5d3bf9a-9bc0-41e0-b4e3-3309ac3b2110?origin=SearchResults&p=2
CWC20100 Rough Sleepers Service,Wolverhampton City Council,  Opportunity,  Open,  England,"  13 October 2022, 12pm","Contract value £1,560,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/de18df5d-9434-4e46-9934-86b56ddcdeaa?origin=SearchResults&p=2
INTEGRATED MENTAL HEALTH NETWORK SERVICE,London Borough of Hackney,  Future opportunity,  Open,  United Kingdom,Approach to market date 16 September 2022,"Contract value £5,377,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/266fa5ea-4e9d-4545-8222-c4c621b9f185?origin=SearchResults&p=3
Piped Medical Gases and Vacuum Systems,LIFECYCLE MANAGEMENT GROUP LIMITED,  Opportunity,  Open,  LA1 4RP,"   6 October 2022,  2pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/72993270-3897-4517-822a-dc2952e347c0?origin=SearchResults&p=3
HMC Protector - Planned Maintenance and Safety Equipment Recertification,Home Office,  Opportunity,  Open,  M5 3LZ,"  22 September 2022,  5pm","Contract value £0 to £138,760","   8 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/d943e377-4227-4b94-9d3a-a6841ce8b439?origin=SearchResults&p=3
IA2886 Framework Agreement for Vehicle Maintenance Service for South Staffordshire Council,Staffordshire County Council,  Opportunity,  Open,  ST16 2DH,"  13 October 2022, 12pm","Contract value £50,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/f4a54274-ccec-446c-8030-776d25b4be05?origin=SearchResults&p=3
Gathering evidence on Plants for the Species Evidence Base,Natural England,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £8,000 to £14,000","  14 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/d82b9727-9311-4bf5-8777-224ff925ae59?origin=SearchResults&p=3
Provision of External Print Services,Warwickshire Police,  Opportunity,  Open,  West Midlands,"   4 October 2022, 12pm","Contract value £0 to £50,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/a254c91d-3962-4e55-8694-49dc450319ad?origin=SearchResults&p=3
Gathering evidence on Lichen for the Species Evidence Base,Natural England,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £6,000 to £9,000","  14 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/8aebc973-f702-4ba8-a29f-2f148ba54f6a?origin=SearchResults&p=3
Landscaping for allotment provision,Lapley Stretton & Wheaton Aston Parish Council,  Opportunity,  Open,  ST19 9NR,"  10 October 2022,  5pm","Contract value £10,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/16fae178-2ba3-4389-9bff-c1af4331d0e8?origin=SearchResults&p=3
Virtual / Hybrid conferencing for the British Council,British Council,  Opportunity,  Open,  E20 1JQ,"  17 October 2022, 12pm",Contract value £0.01,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/a0433c2b-85cb-4ff1-920c-b9c8554acec7?origin=SearchResults&p=3
The Provision of a Sefton Council Young People and Families Substance use Service,Sefton Council,  Opportunity,  Open,  England,"  17 October 2022, 12pm","Contract value £1,750,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/9740c4c9-b4ef-438d-82c2-de00ec4924c6?origin=SearchResults&p=3
Gathering evidence on Lepidoptera for the Species Evidence Base,Natural England,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £9,000 to £13,000","  14 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/545117b7-b3b8-42df-bef4-8785c7308945?origin=SearchResults&p=3
Gathering evidence on Invertebrates for the Species Evidence Base,Natural England,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £11,000 to £16,000","  14 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/d74117d6-f18c-4967-91bc-7a411bca7b3b?origin=SearchResults&p=3
Gathering evidence on Fungi for the Species Evidence Base,Natural England,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £2,000 to £3,000","  14 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/1348e4e4-1827-4f85-838e-db64f7943bf7?origin=SearchResults&p=3
Gathering evidence on Bryophytes for the Species Evidence Base,Natural England,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £2,000 to £4,000","  14 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/2e5f6de9-67dc-4e8d-b657-d8bce9f3ce41?origin=SearchResults&p=3
Gathering evidence on Birds for the Species Evidence Base,Natural England,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £3,000 to £5,000","  14 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/4cecd5ae-eb57-47db-beb3-d5a46e068cca?origin=SearchResults&p=3
West Stow Visitor Centre Re-Roofing,West Suffolk Council,  Opportunity,  Open,  IP33 3YU,"  14 October 2022, 12pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/cbc7b9dd-2dab-41c1-a445-6d3c8ce2e3be?origin=SearchResults&p=3
"161_23 Artists' Grounds, Brushes, Art Pads & Painting Tools",Espo,  Opportunity,  Open,  East Midlands,"   3 October 2022, 12pm","Contract value £7,000,000","  31 August 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/aa64e3e4-506b-492a-891a-57e0a4285484?origin=SearchResults&p=3
SH0859 Gas & Electric Catering Equipment Maintenance,Southern Health NHS Foundation Trust,  Opportunity,  Open,  SO40 2RZ,"  17 October 2022, 12pm","Contract value £75,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/650cd492-357a-40b8-a86f-0b4b2023d07a?origin=SearchResults&p=3
"Re-opening of Stage 1 Application for Adult Education funding, 16-23 Traineeships & other Vocational Work 2022-2023",Buckinghamshire Council,  Opportunity,  Open,  England,"  26 September 2022, 12pm","Contract value £119,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/b61b5e5c-6679-4bea-baf8-4242fa7db554?origin=SearchResults&p=3
Market Engagement - Occupational Therapy Service,Wakefield Council,  Opportunity,  Open,  Yorkshire and the Humber,"  29 September 2022, 12pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/00415049-17d3-46f8-87e2-46eb79f987a6?origin=SearchResults&p=3
Early Engagement Opportunity - Community Meals Management Software (COTS),Bristol City Council,  Early engagement,  Open,  BS1 5TR,   7 October 2022,Publication date 15 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/bf0a5f04-003f-4e5e-b62f-c2ca573336d7?origin=SearchResults&p=4
Employee Engagement Survey,Hereford & Worcester Fire and Rescue Service,  Opportunity,  Open,  West Midlands,"  30 September 2022, 12pm","Contract value £5,000 to £50,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/f8f61247-9d1a-4c3c-803a-b556c49ec2a8?origin=SearchResults&p=4
Football Foundation Feasibility Study,Doncaster Council,  Opportunity,  Open,  Yorkshire and the Humber,"  10 October 2022, 12pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/f30eb779-c414-465f-b62d-30d42bc24990?origin=SearchResults&p=4
Oasis Restore Secure School - Integrated Health and Emotional Wellbeing service,NHS England,  Early engagement,  Open,  South East,  23 September 2022,"Publication date 19 August 2022, last edited 15 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/fed2f6d4-bb7a-4127-92d0-0d5717dc539b?origin=SearchResults&p=4
LCR Priority Training Support - Holistic Care Programme,Liverpool City Region Combined Authority,  Opportunity,  Open,  England,"  29 September 2022, 11am","Contract value £100,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/5c02419d-581e-48f6-ab7b-b669ff780b4d?origin=SearchResults&p=4
LCR Priority Training Support - IOSH Managing Safely Course,Liverpool City Region Combined Authority,  Opportunity,  Open,  England,"  29 September 2022, 11am","Contract value £45,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/7a19a486-6bbd-451e-a9a8-f639ff0a5b0a?origin=SearchResults&p=4
175_23 Catering Disposables,Espo,  Opportunity,  Open,  East Midlands,"  30 September 2022, 12pm","Contract value £1,440,000","  23 August 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/f3da0b87-ab6f-4424-be73-58cdbf45bb95?origin=SearchResults&p=4
CA11097 - Tender 55/2022 - Supply & Delivery of Competition Anti-Wave Racing Lane Lines and Floats,"Newry, Mourne and Down District Council (NMD)",  Opportunity,  Open,  BT35 8DJ,"  26 September 2022, 12pm","Contract value £8,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/6bb4ad55-57dd-4928-b0c2-4430f47b7d34?origin=SearchResults&p=4
WHC - Young Tree Supply,Welwyn Hatfield Borough Council,  Opportunity,  Open,  AL8 6AE,"   7 October 2022, 12pm","Contract value £15,000 to £30,000","  15 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/ea3bfa76-d12d-4915-8771-9309d6de1bda?origin=SearchResults&p=4
UOW874 Demolition of St Johns Glass and Art Unit at Hylton Road,University Of Worcester,  Opportunity,  Open,  WR2 6AJ,"   4 October 2022, 12pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/3eb1f5bd-e603-43e8-a797-8bb0f599dfc7?origin=SearchResults&p=4
"Control, Operation and Maintenance of High Voltage Equipment (COMA) incorporating Low Voltage Switchgear Maintenance",LIFECYCLE MANAGEMENT GROUP LIMITED,  Opportunity,  Open,  CA28 8JG,"  20 October 2022,  2pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/abb08bec-bd69-45ee-9fcf-d22497b45ba5?origin=SearchResults&p=4
Pre-Paid Cards for Appointee and Deputy Clients within Croydon,Croydon Council,  Opportunity,  Open,  England,"  29 September 2022, 12pm",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/dde99b66-4e1a-4c46-8f68-3f5f9d6e8e0a?origin=SearchResults&p=4
Tender and Contract Opportunity for Provision for Safe Housing and Outreach for Victim's of Modern Slavery,The Salvation Army,  Opportunity,  Open,  United Kingdom,"  30 September 2022,  5pm","Contract value £10,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/0bf1569c-cf5c-4038-931f-d9dfba0aeb19?origin=SearchResults&p=4
"Framework Agreement for Building and Associated Works 2022 - 2026 for works up to a value of £250,000",Wigan Council,  Opportunity,  Open,  North West,"  30 September 2022,  5pm","Contract value £8,000,000","  16 August 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/fd0f5d10-03d9-4644-97c6-4d8b1e0fd1cc?origin=SearchResults&p=4
DPS Procurement for delivery of Alternative Provision Services,Reading Borough Council,  Opportunity,  Open,  RG1 2LU,"  20 October 2022,  5pm","Contract value £9,000,000 to £12,000,000","  17 August 2021, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/a9b6b6c7-2bf6-4107-a83c-28061300be5d?origin=SearchResults&p=4
M2223-05 Tower Block Ventilation,Southend-on-Sea Borough Council,  Opportunity,  Open,  SS2 6FY,"  13 October 2022, 12pm","Contract value £150,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/53970f73-f49e-48e6-ac86-b3860a08edd3?origin=SearchResults&p=4
COV - Work Related Learning  DPS 2021,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  31 August 2026,  1pm","Contract value £0 to £4,900,000","   1 April 2021, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/6eb69217-ef8a-45c4-888d-85cc4d56b071?origin=SearchResults&p=4
Worcestershire Single and  Childless Couples Homelessness Support Service Market Engagement Event,Worcester City Council,  Early engagement,  Open,  England,  22 December 2022,Publication date 15 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/424058c6-5f2f-4ab4-91b6-468e6bff1f23?origin=SearchResults&p=4
Early Engagement - Expression of Interest for Education Health and Care Plans (EHCP) Tool for West Northamptonshire Council,West Northamptonshire Council,  Early engagement,  Open,  East Midlands,  22 September 2022,"Publication date 15 September 2022, last edited 15 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/c4163eb0-97fc-4994-be7b-3929d27244c0?origin=SearchResults&p=4
Provision of Bulk Fuel Inspection and Certification,Ministry of Defence,  Opportunity,  Open,  Any region,"  17 October 2022, 11am","Contract value £1,035,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/a7858557-eec7-43f3-9fa2-1db7fa9f0613?origin=SearchResults&p=4
Home 2 School  Travel IT System Market Engagement,Kirklees Council,  Early engagement,  Open,  Yorkshire and the Humber,  26 September 2022,"Publication date  7 September 2022, last edited 15 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/2e66a0fe-9712-4fe8-8e79-6084a8a26d1f?origin=SearchResults&p=5
CA11084 - Yeovil College - Collaborative Robot (Cobot),Yeovil College,  Opportunity,  Open,  BA21 4DR,"  17 October 2022, 10am",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/27fa5752-6c09-497b-bc02-433960cd0031?origin=SearchResults&p=5
CA11083 - Yeovil College - Industry 4.0 Production Rig,Yeovil College,  Opportunity,  Open,  BA21 4DR,"  17 October 2022, 10am",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/2957c3e7-3be1-40d0-8e1a-fac06142eca5?origin=SearchResults&p=5
CA11082 - Yeovil College - Battery Evaluation Rig,Yeovil College,  Opportunity,  Open,  BA21 4DR,"  17 October 2022, 10am",Contract value £0,  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/c123abf1-dd85-48d2-a559-3868953bf5a6?origin=SearchResults&p=5
GB-Middlesbrough: Chiropractic Tables,Teesside University,  Opportunity,  Open,  North East,"  29 September 2022,  4pm","Contract value £25,000 to £50,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/80491868-9367-4518-bdbb-4622e87650d3?origin=SearchResults&p=5
RENOVATION OF KENNINGTON & RUSKIN PARKS PLAYGROUNDS,London Borough of Lambeth,  Opportunity,  Open,  SE5 8EL,"  26 October 2022, 12pm","Contract value £420,000 to £520,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/1109ca64-85b7-4229-a630-2e7715e7ff05?origin=SearchResults&p=5
"CA11095 - Syringes, Needles and Associated Products",MSE Group,  Early engagement,  Open,  SS2 6GE,  15 December 2022,Publication date 15 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/b89149d9-cf92-4680-bc00-1d3d38728011?origin=SearchResults&p=5
Dynamic Purchasing System (DPS) - Fire Safety Services,Acivico Group,  Opportunity,  Open,  B7 4BL,"  13 October 2022, 12pm","Contract value £0.01 to £2,000,000","  13 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/44e365ba-7025-400b-a3f1-bae69d047dc0?origin=SearchResults&p=5
BRACKNELL POLICE STATION INTERNAL WORKS,EU SUPPLY LIMITED,  Opportunity,  Open,  South East,"  21 September 2022, 11am","Contract value £60,000 to £70,000","  16 August 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/3005124a-2037-4aee-807d-8b32142770c8?origin=SearchResults&p=5
