District,Ad #,FM Numbers,BDI,Short Description,Number of Contracts Awarded,Contract Threshold,Major Work Types,Minor Work Types,Under Utilized Work Groups,Contract Amount/Limit,Advertisement Date,Response Deadline Date/Time (*System Time Zone),Shortlist Selection Date,Final Selection Date,Selection Method,Standard Notes
01,23125, 44155016201,No,SR 45 (US 41) FROM N OF PORT COMMONS TO STATE COLLEGE OF FL,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,148,278.00",10/10/2022,10/31/2022 05:00 PM,11/15/2022,12/06/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23126," 44421016201 
 44421116201 
 44514416201",No,SR 683 (US 301) FROM S OF 25TH CT E TO S OF 13TH AVE E,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,683,837.00",09/26/2022,10/17/2022 05:00 PM,11/01/2022,11/15/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23127," 44592516201 
 44593216201",No,SR25 (US27) FROM FISHEATING CREEK TO HIGHLANDS COUNTY LINE,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.4-Minor Bridge & Miscellaneous Structures CEI",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,313,568.00",08/22/2022,09/06/2022 05:00 PM,09/27/2022,10/10/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23128, 44634716201,Yes,I-4 (SR 400) FROM HILLSBOROUGH COUNTY LINE TO GALLOWAY RD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.2-Design, Right of Way, Construction Surveying",,"$1,209,903.00",11/14/2022,11/30/2022 05:00 PM,12/20/2022,01/17/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 7  
 Standard Note 10 "
01,23129, 41450676201,No,SR 70 FROM LORRAINE ROAD TO BOURNSIDE BLVD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,358,893.00",02/20/2023,03/06/2023 05:00 PM,03/28/2023,04/11/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23130, 43318316206,No,CEI (INSPECTION) BARTOW OPERATIONS CENTER-CSC,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",01/30/2023,02/13/2023 05:00 PM,03/07/2023,03/21/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23132," 43084816201 
 43084826201",No,SR 82 FROM HENDRY COUNTY LINE TO GATOR SLOUGH LANE,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$4,301,034.00",12/19/2022,01/04/2023 05:00 PM,01/31/2023,02/14/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23133," 43826213201 
 43826213202 
 45135813201 
 45135813202",No,SR 45 (US 41) TAMIAMI TRAIL FROM CONWAY BLVD TO MIDWAY BLVD,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,079,891.00",01/09/2023,01/24/2023 05:00 PM,02/14/2023,03/14/2023, Letter of Response and Interview, Standard Note 8 
01,23134, 44668112201,No,BARRIER ISLAND COMPLETE STREETS IMPROVEMENTS,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 6.1-Traffic Engineering Studies 
 13.5-Subarea/Corridor Planning",,"$2,000,000.00",05/28/2024,06/11/2024 05:00 PM,01/17/2023,02/14/2023, Letter of Response and Oral Presentation, Standard Note 9 
01,23136," 45033412201 
 45033413201",No,SR 70 FROM CR 721 S TO CR 599/128 AVE,3,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$3,998,000.00",09/26/2022,10/17/2022 05:00 PM,11/01/2022,12/06/2022, Letter of Response and Oral Presentation, Standard Note 8 
01,23138, 44547316201,Yes,SR 70 FROM MANATEE COUNTY LINE TO CR 661,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,,,"$1,148,278.00",11/14/2022,11/30/2022 05:00 PM,12/20/2022,01/17/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 7  
 Standard Note 10 "
01,23140, 44353316201,No,PRE-EVENT TS/HURRICANE CEI,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",01/03/2023,01/17/2023 05:00 PM,02/07/2023,02/21/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23143, 44901516201,No,US 41 OVER CALOOSAHATCHEE RIVER BRIDGE #120002,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.5.1-Major Bridge CEI - Concrete",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,733,256.00",12/05/2022,12/19/2022 05:00 PM,01/10/2023,01/17/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10  
 Standard Note 13"
01,23144," 43488626201 
 43488636201",No,SR 700 (US 98) PEACE RIVER-FT MEADE AT BR # 0064,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.5.1-Major Bridge CEI - Concrete",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,379,626.00",10/31/2022,11/15/2022 05:00 PM,12/06/2022,12/20/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10  
 Standard Note 13"
01,23145, 43667316201,No,SR 35 (US 98) FROM N OF WEST SOCRUM LOOP RD TO S OF CR 54,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$10,270,000.00",11/07/2022,11/22/2022 05:00 PM,12/20/2022,01/10/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10  
 Standard Note 13"
01,23147,,No,LANDSCAPE ARCHITECTURAL CONTINUING SERVICES,1,Technically Prequalified & Unlimited Audit required, 15.0-Landscape Architect, 3.1-Minor Highway Design,,"$5,000,000.00",01/30/2023,02/13/2023 05:00 PM,02/28/2023,03/28/2023, Letter of Response and Interview, Standard Note 9 
01,24101, 19838213213,No,STRUCTURES DESIGN CONSULTANT,1,Technically Prequalified & Unlimited Audit required," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 5.1-Conventional Bridge Inspection"," 3.1-Minor Highway Design 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization", GROUP 4-Highway Design - Bridges,"$1,500,000.00",03/27/2023,04/10/2023 05:00 PM,05/02/2023,05/30/2023, Letter of Response and Interview, Standard Note 8 
01,24104, 19823113214,No,ENVIRONMENTAL PERMIT DESIGN SUPPORT CONSULTANT,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.2-Major Highway Design 
 4.1.2-Minor Bridge Design 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,500,000.00",08/21/2023,09/05/2023 05:00 PM,09/26/2023,10/24/2023, Letter of Response and Interview, Standard Note 8 
01,C5171,,No,US27 ALT US98 TO POLK CO LINE,1,Technically Prequalified & Unlimited Audit required, 13.5-Subarea/Corridor Planning,,,$0.00,04/09/1993,04/19/1993 05:00 PM,05/17/1993,08/24/1993, No Value (PSI to PDA conversion) ,
02,23212," 20802053201 
 21003023201",No,SR16 FROM THE UNION COUNTY LINE TO SR200(US301),2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,169,525.00",08/22/2022,09/06/2022 05:00 PM,09/19/2022,10/24/2022, Letter of Response and Written Technical Proposal, Standard Note 8 
02,23218, 20817733201,Yes,SR15 (US17) from the Putnam County Line to Sweat Road - BDI,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$925,891.00",08/15/2022,08/29/2022 05:00 PM,09/19/2022,10/24/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
02,23219, 21056533201,Yes,SR 115 3R Project from Duval C/L to US 1 - BDI,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$898,902.00",08/15/2022,08/29/2022 05:00 PM,09/19/2022,10/24/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
02,23222, 20913763201,No,SR5 (US17) (Main ST) N from Trout River to N of SR104,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$852,873.00",08/15/2022,08/29/2022 05:00 PM,09/19/2022,10/24/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
02,23223, 21022383201,No,SR 13 from SR 16 to Rafter Tail Lane,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$948,613.00",08/15/2022,08/29/2022 05:00 PM,09/19/2022,10/24/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
02,23224," 20983123201 
 43431823201",Yes,SR51 (US129) from I-75 (SR93) to South of SR25 (US41) - BDI,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$566,049.00",08/29/2022,09/12/2022 05:00 PM,09/26/2022,10/31/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
02,23226,,No,SR15 (US17) from Oak Street to Black Creek,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,961,315.00",08/29/2022,09/12/2022 05:00 PM,09/26/2022,11/07/2022, Letter of Response and Interview, Standard Note 8 
02,23233, 44706013201,No,Anastasia State Park from Pope Road to Red Cox Drive,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$599,692.00",10/17/2022,10/31/2022 05:00 PM,11/14/2022,12/19/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
02,23242,,No,SR15 (US17) From: CR309 IN Satsuma To: W. Of Dunn Creek brid,1,Technically Prequalified & Unlimited Audit required, 9.3-Highway Materials Testing," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing",,"$5,661,423.00",01/09/2023,01/23/2023 05:00 PM,02/06/2023,03/13/2023, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
02,23247," 43584416201 
 43584446201 
 43761416201 
 43761416601 
 44564316201",No,I-295 INTERCHANGE - ADD LANES AT SR 228 / NORMANDY BLVD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$3,273,704.00",09/19/2022,10/10/2022 05:00 PM,10/24/2022,11/21/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23248,,No,SR115 (Southside Blvd) at Deerwood Park,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,338,812.00",01/23/2023,02/06/2023 05:00 PM,02/20/2023,03/27/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 10 "
02,23249,,Yes,SR15(US17) FROM NORTH BOUNDARY ROAD TO SR207 - BDI,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$867,134.00",12/19/2022,01/03/2023 05:00 PM,01/17/2023,02/20/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 7  
 Standard Note 10 "
02,23250," 43993716201 
 43993816201",No,CR361 OVER SPRING WARRIOR CREEK BRIDGE NO380037,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$1,835,453.00",10/17/2022,10/31/2022 05:00 PM,11/21/2022,12/19/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23251," 44330416201 
 44534216201 
 44541716201 
 44718016201",No,SR5(US1) FROM E 15TH STREET TO W 17TH STREET,2,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$2,308,369.00",10/24/2022,11/07/2022 05:00 PM,12/05/2022,12/05/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23252,,No,SR55(US19) FROM: GILCHRIST CL TO: NE 8TH STREET,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,180,996.00",09/26/2022,10/17/2022 05:00 PM,11/07/2022,11/28/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23255," 44348716201 
 44535516201 
 44543216201 
 44543316201 
 44703716201",No,SR47 FROM US129 TO CR232,2,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$3,500,574.00",11/14/2022,11/30/2022 05:00 PM,12/12/2022,01/17/2023, Expanded LOR and Oral Presentations," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23257," 44604716201 
 44607916201",No,I-295 Resurfacing (St. Johns Bluff to Beach Blvd.),1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,237,660.00",07/19/2022,08/02/2022 05:00 PM,08/29/2022,08/29/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23258,,No,SR5(US1) FROM SR206 TO MOULTRIE CREEK,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,650,733.00",10/10/2022,10/24/2022 05:00 PM,11/14/2022,12/12/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23263,,No,SR25(US441) FROM SR331(WILLISTON ROAD) TO SR24(ARCHER ROAD),1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$587,957.00",12/19/2022,01/04/2023 05:00 PM,01/16/2023,02/20/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23269, 21099616229,No,Continuing Services Materials Verification Testing-East Side,1,Technically Prequalified & Unlimited Audit required, 9.3-Highway Materials Testing," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",09/06/2022,09/19/2022 05:00 PM,10/17/2022,11/21/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
02,23270,,No,Continuing Services Materials Verification Testing-West Side,2,Technically Prequalified & Unlimited Audit required, 9.3-Highway Materials Testing," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",09/06/2022,09/20/2022 05:00 PM,10/17/2022,11/21/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
02,23272, 21099513229,No,Consultant PE Lab Testing and Materials Projects Geotech,1,Technically Prequalified & Unlimited Audit required," 9.1-Soil Exploration 
 9.4.1-Standard Foundation Studies"," 9.2-Geotechnical Classification Lab Testing 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing",,"$5,000,000.00",09/26/2022,10/10/2022 05:00 PM,10/31/2022,12/05/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
02,23273,,No,District Wide Surveying and Mapping,2,Technically Prequalified & Unlimited Audit required," 8.2-Design, Right of Way, Construction Surveying"," 8.1-Control Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping",,"$1,500,000.00",09/26/2022,10/10/2022 05:00 PM,10/24/2022,12/12/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
02,23275, 21071162201,No,SR200/A1A Widening from CR 107,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.2-Major Highway Design 
 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 4.2.1-Major Bridge Design - Concrete 
 4.2.2-Major Bridge Design - Steel 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration", GROUP 4-Highway Design - Bridges,"$1,200,000.00",09/26/2022,10/10/2022 05:00 PM,10/31/2022,12/19/2022, Letter of Response and Interview, Standard Note 8 
