OBJECTID,CONTROL_SECT_JOB,DISTRICT_NUMBER,COUNTY_NUMBER,HIGHWAY_NUMBER,PROJ_CLASS,TYPE_OF_WORK,LIMITS_FROM,LIMITS_TO,LAYMAN_DESCRIPTION1,LAYMAN_DESCRIPTION2,BEG_MILE_POINT,END_MILE_POINT,PRIORITY_CODE,DIST_LET_DATE,LET_SCH_1,LET_SCH_2,TRUNK_SYS_FLAG,FREIGHT,ENERGY,PROJ_LENGTH,RAIL_COORDINATION,ACTUAL_LET_DATE,CONTROL_SECTION,DISTRICT_NAME,COUNTY_NAME,PT_TOP100,NBR_LET_YEAR,NBR_LET_MONTH,NBR_TOTAL_MONTHS,FC,OFFCS,PT_PHASE,LOC_ERROR,TPP_WORK_PROGRAM,PRJ_TIER,PRJ_UTP,SHAPE_Length
13,017206080,2,220,US 287,WF,WIDEN FREEWAY,IH 820,VILLAGE CREEK ROAD,RECONSTRUCT EXISTING ROADWAY,,24.611,27.388,C,2202,2022,LA,N,,,2.721,N,2202,017206,Fort Worth,Tarrant,0,2022,2,24266,19,172,Construction underway or begins soon,NO ERROR,2201,1,,0.0451199012971272
15,090315084,3,49,CR,BR,BRIDGE REPLACEMENT,CR 196 (CR 416) AT BIRCHAM CREEK,.,BRIDGE REPLACEMENT,,2.502,2.537,C,2103,2021,LA,N,,,0,N,2103,090315,Wichita Falls,Cooke,0,2021,3,24255,19,903,Construction underway or begins soon,ROUTE NOT FOUND,2106,NA,,0
16,021403032,20,176,SH 63,BR,BRIDGE REPLACEMENT,ON TEXAS SIDE OF SABINE RIVER,.,BRIDGE REPLACEMENT,,10.226,10.368,C,2411,,,Y,Y,,1.9,N,,021403,Beaumont,Newton,0,2024,11,24299,19,214,Construction begins within 4 years,NO ERROR,04CN,2,1,0.00239901267861904
17,001509174,14,246,IH 35,RH,RAIL HWY CROSSING SIGNALS/STRUCTURES,600 FT. SOUTH OF MCNEIL ROAD,600 FT. NORTH OF MCNEIL ROAD,HIGHWAY/RAILROAD IMPROVEMENT,,1.51,1.738,C,2105,2021,,N,,,0.228,N,2105,001509,Austin,Williamson,1,2021,5,24257,19,15,Construction underway or begins soon,NO ERROR,LOCAL,NA,,0.00342100456227479
18,179401023,11,3,FM 1818,RES,RESTORATION,FM 58,3.3 MI W OF US 69,HIGHWAY IMPROVEMENT,,0,9.331,P,3504,,,N,,Y,9.331,N,,179401,Lufkin,Angelina,0,2035,4,24424,19,1794,"Corridor Studies, construction in 10+ years",NO ERROR,PLAN,NA,,0.156953137608229
19,019603266,18,57,IH 35E,WF,WIDEN FREEWAY,NORTH OF OAK LAWN AVE,SH 183,RECONSTRUCT EXISTING ROADWAY,,18.376,21.4,D,4508,,,N,,,3.024,N,,019603,Dallas,Dallas,1,2045,8,24548,19,196,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.0504294901822195
21,091272352,12,102,CS,BR,BRIDGE REPLACEMENT,LEE RD AT HCFCD DITCH,.,BRIDGE REPLACEMENT,,23.39,23.4,C,2108,2021,LA,N,,,0.065,N,2108,091272,Houston,Harris,0,2021,8,24260,19,912,Construction underway or begins soon,ROUTE NOT FOUND,2106,NA,,0
22,008601073,22,240,SH 359,WNF,WIDEN NON-FREEWAY,4.06 MILES E OF SL 20,8.935 MILES E OF SL 20,WIDEN ROAD - ADD LANES,,7.781,12.681,C,2308,2023,,N,,Y,4.379,N,,008601,Laredo,Webb,0,2023,8,24284,16,86,Construction begins within 4 years,NO ERROR,2311,3,1,0.0797948306039516
23,255202028,24,72,SL 375,WF,WIDEN FREEWAY,SPUR 601,MONTANA AVE (US 62/180),CONSTRUCT NEW ROAD,,20.889,25.416,C,2205,2022,LA,N,,,0,N,2205,255202,El Paso,El Paso,0,2022,5,24269,19,2552,Construction underway or begins soon,NO ERROR,2211,1,,0.0730990603703478
24,106802072,2,220,IH 30,PE,PRELIMINARY ENGINEERING,EAST OF IH 35W,COOPER STREET,CONSTRUCT NEW ROAD,,14.887,26.329,D,3209,,,N,,,11.768,N,,106802,Fort Worth,Tarrant,1,2032,9,24393,19,1068,"Corridor Studies, construction in 10+ years",NO ERROR,1902,NA,,0.195759474762593
25,004701063,1,92,US 69,BMN,BRIDGE MAINTENANCE,AT RED RIVER (SB & NB),.,REMOVE/REPLACE BRIDGE RAIL,,9.988,10.002,C,2010,2021,LA,N,,,0.311,N,2010,004701,Paris,Grayson,0,2020,10,24250,19,47,Construction underway or begins soon,NO ERROR,2106,NA,,0.000214366848804632
26,091638011,16,4,PW,TPW,TEXAS PARK AND WILDLIFE,AT TPWD ROCKPORT ANNEX,.,STATE PARK IMPROVEMENTS,,0,0.1,C,2303,2023,,N,,,0.1,N,,091638,Corpus Christi,Aransas,0,2023,3,24279,19,916,Construction begins within 4 years,ROUTE NOT FOUND,2210PR,NA,1,0
27,052310042,12,170,FM 1488,IOI,INTERSECTION & OPERATIONAL IMPRV,AT IH 45,.,INTERSECTION IMPROVEMENT,,21.648,21.878,C,2009,2021,,N,,,0.23,N,2009,052310,Houston,Montgomery,0,2020,9,24249,19,523,Construction underway or begins soon,NO ERROR,2101,NA,,0.00384515578781005
29,016809148,4,191,IH 27,WF,WIDEN FREEWAY,WESTERN STREET,SOUTH OF SUNDOWN,CONSTRUCT NEW ROAD,,7.257,11.522,P,3301,,,Y,,,4.268,N,,016809,Amarillo,Randall,0,2033,1,24397,19,168,"Corridor Studies, construction in 10+ years",NO ERROR,PLAN,NA,,0.0648670821675735
30,038907029,12,85,SH 146,WNF,WIDEN NON-FREEWAY,FM 1765,GALVESTON Y,WIDEN ROAD - ADD LANES,,0,0,D,3505,,,N,,,4,N,,038907,Houston,Galveston,0,2035,5,24425,19,389,"Corridor Studies, construction in 10+ years",MEASURE EXTENT OUT OF ROUTE MEASURE RANGE,,NA,,0
31,090220102,2,249,CR,BR,BRIDGE REPLACEMENT,CR 1590 AT BIG SANDY CREEK,.,BRIDGE REPLACEMENT,,1.821,1.821,C,2208,2022,LA,N,,,0,N,2208,090220,Fort Worth,Wise,0,2022,8,24272,19,902,Construction underway or begins soon,ROUTE NOT FOUND,2206,NA,,0
33,011813014,11,210,FM 353,RER,REHABILITATION OF EXISTING ROAD,SAN AUGUSTINE COUNTY LINE,SH 87,ROADWAY REHABILITATION/RECONSTRUCTION WITH NO ADDED CAPACITY,,0.071,2.722,P,3501,,,N,,Y,0,N,,011813,Lufkin,Shelby,0,2035,1,24421,19,118,"Corridor Studies, construction in 10+ years",NO ERROR,PLAN,NA,,0.0431228900104134
35,152601019,8,208,FM 1606,BR,BRIDGE REPLACEMENT,AT BLUFF CREEK,.(PSN 7),BRIDGE REPLACEMENT,,12.803,13.147,C,2101,2021,LA,N,,Y,0.336,N,2101,152601,Abilene,Scurry,0,2021,1,24253,19,1526,Construction underway or begins soon,NO ERROR,2106,NA,,0.00561593000683609
36,019103081,10,212,FM 2493,WNF,WIDEN NON-FREEWAY,"FM 2813 IN GRESHAM, S",FM 346 IN FLINT,WIDEN ROAD - ADD LANES,,8.382,10.623,C,1807,2018,,N,,Y,2.241,N,1807,019103,Tyler,Smith,0,2018,7,24223,19,191,Construction underway or begins soon,NO ERROR,1801,NA,,0.0328712534138459
37,092126003,21,214,VA,PED,"PEDESTRIAN, SIDEWALKS & CURB RAMPS",NORTH BANK OF RIO GRANDE RIVER IN ROMA,SOUTH BANK OF RIO GRANDE RIVER IN ROMA,CONSTRUCT PEDESTRIAN INFRASTRUCTURE,,0,0.001,D,3001,,,N,,,0.093,N,,092126,Pharr,Starr,0,2030,1,24361,19,921,Construction begins in 5 to 10 years,ROUTE NOT FOUND,9504B,NA,1,0
40,037103090,16,196,US 77,NLF,NEW LOCATION FREEWAY,N OF REFUGIO,S OF REFUGIO (RELIEF ROUTE),CONSTRUCT NEW ROADWAY LANES,,16.361,23.497,D,3108,,,Y,Y,,10.134,N,,037103,Corpus Christi,Refugio,0,2031,8,24380,19,371,Construction begins in 5 to 10 years,PARTIAL MATCH FOR THE FROM-MEASURE,04CN,NA,1,0.0662668977110641
41,237401137,18,57,IH 635,WF,WIDEN FREEWAY,MILLER ROAD,WEST OF THE KCS RR (WEST OF SH 78),CONSTRUCT NEW ROAD,,0,0,C,1908,2019,LA,N,,,2.63,N,1908,237401,Dallas,Dallas,0,2019,8,24236,19,2374,Construction underway or begins soon,ZERO LENGTH EXTENT,1904U,NA,,0
42,352101013,9,161,FM 2837,BR,BRIDGE REPLACEMENT,@ UP RR IN LORENA,.,CONSTRUCT BRIDGE,,8.78,8.88,P,3303,,,N,,,0.1,N,,352101,Waco,McLennan,0,2033,3,24399,19,3521,"Corridor Studies, construction in 10+ years",NO ERROR,PLAN,NA,,0.00167880771954998
43,104601032,24,72,FM 659,RER,REHABILITATION OF EXISTING ROAD,US 62/180,0.61 MI E OF LP 375,SURFACING/ROADWAY RESTORATION,,0.126,4.249,C,2107,2021,LA,N,,,4.12,N,2107,104601,El Paso,El Paso,0,2021,7,24259,19,1046,Construction underway or begins soon,NO ERROR,2101,NA,,0.0647079835438592
45,018404045,9,14,SL 363,BWR,BRIDGE WIDENING OR REHABILITATION,@ 57TH ST UNDERPASS,(NBML)  (STR #034),WIDEN BRIDGE,,0,0.001,D,2708,2027,,N,,,0.3,N,0,018404,Waco,Bell,0,2027,8,24332,19,184,Construction begins in 5 to 10 years,MEASURE EXTENT OUT OF ROUTE MEASURE RANGE,DDA,NA,1,0
47,050001144,12,85,IH 45,BR,BRIDGE REPLACEMENT,IH 45 NB AT BNSF RR,.,BRIDGE REPLACEMENT,,14.867,14.899,C,2008,2020,LA,N,,,0.468,N,2008,050001,Houston,Galveston,0,2020,8,24248,19,500,Construction underway or begins soon,NO ERROR,2006,NA,,0.000480256099546577
48,027102055,13,8,IH 10,WF,WIDEN FREEWAY,0.85 MI WEST OF FM 3538,SH  36,WIDEN ROAD - ADD LANES,,6.12,8.901,C,1808,2018,LA,Y,,,2.781,N,1808,027102,Yoakum,Austin,0,2018,8,24224,19,271,Construction underway or begins soon,NO ERROR,1801,NA,,0.0458915632886956
49,007206076,15,131,IH 10,FOI,FREEWAY OPERATIONAL IMPROVEMENTS,SH 46,"US 87 SOUTH ""Y""",HIGHWAY IMPROVEMENT,,19.436,20.81,C,1803,2018,,Y,,,0,N,1803,007206,San Antonio,Kendall,0,2018,3,24219,19,72,Construction underway or begins soon,NO ERROR,1801,NA,,0.0217597513300652
50,046304024,7,88,SH 158,INC,INTERCHANGE (NEW OR RECONSTRUCTED),AT SH 137,.,HIGHWAY IMPROVEMENT,,4.501,5.798,C,2101,2021,RE,Y,,Y,0,N,2101,046304,San Angelo,Glasscock,0,2021,1,24253,19,463,Construction underway or begins soon,NO ERROR,11PES,2,,0.0218136671108493
51,011006132,12,102,IH 45,WF,WIDEN FREEWAY,SOUTH OF WEST ROAD,SL 8,WIDEN ROAD - ADD LANES,,35.463,37.613,P,3501,,,N,,,1.987,N,,011006,Houston,Harris,1,2035,1,24421,19,110,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.0313846580731437
52,000803089,2,184,IH 20,MSC,"GRADING, PAVEMENT, STRIPING, & SIGN",450 FT WEST OF FM 5,550 FT EAST OF FM 5,"REHABILITATE EXISTING FR RDS; CONVERT TO ONE WAY OPERATION;","ADD TURNAROUNDS ON EAST & WEST SIDES; INSTALL SIGNALS",26.55,26.739,C,1708,2017,LA,Y,,Y,0.189,N,1708,000803,Fort Worth,Parker,0,2017,8,24212,19,8,Construction underway or begins soon,NO ERROR,1701,NA,,0.00315429350861273
53,141203038,13,241,FM 1301,NNF,NEW LOCATION NON-FREEWAY,US 59,0.09 MI E OF SH 60 IN WHARTON,HIGHWAY IMPROVEMENT,,1.913,1.913,C,2210,2023,,N,,,1.796,N,2210,141203,Yoakum,Wharton,0,2022,10,24274,19,1412,Construction underway or begins soon,MEASURE EXTENT OUT OF ROUTE MEASURE RANGE,LOCAL,NA,1,0
54,092102194,21,109,CS,WNF,WIDEN NON-FREEWAY,"LIBERTY BLVD, FROM US 83",MILE 3,WIDEN ROAD - ADD LANES,,0,1.75,C,2212,2023,,N,N,N,2.4,N,,092102,Pharr,Hidalgo,0,2022,12,24276,19,921,Construction begins within 4 years,ROUTE NOT FOUND,LOCAL,3,1,0
55,059803061,12,20,SH 288,WF,WIDEN FREEWAY,FM 1462,SH 35,WIDEN ROAD - ADD LANES,,18.101,31.47,D,3501,,,Y,,,0,N,,059803,Houston,Brazoria,0,2035,1,24421,19,598,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.195821006613094
57,035306063,18,57,SH 114,WF,WIDEN FREEWAY,SP 348,EAST OF ROCHELLE BLVD,CONSTRUCT NEW ROADWAY LANES,,0,4.68,P,4508,,,N,,,4.68,N,,035306,Dallas,Dallas,0,2045,8,24548,19,353,"Corridor Studies, construction in 10+ years",NO ERROR,2807,NA,,0.0739075885049073
58,225002014,18,61,SL 288,NLF,NEW LOCATION FREEWAY,US 380 WEST OF DENTON,IH 35W SOUTH OF DENTON,WIDEN ROAD - ADD LANES AND SHOULDERS,,3.5,9,D,2609,,,N,,,5.5,N,,225002,Dallas,Denton,0,2026,9,24321,19,2250,Construction begins in 5 to 10 years,MEASURE EXTENT OUT OF ROUTE MEASURE RANGE,2607,NA,1,0
60,002708146,12,80,US 90A,WNF,WIDEN NON-FREEWAY,FM 762,FM 359,WIDEN ROAD - ADD LANES,,18.734,20.541,D,3003,,,N,,,1.807,N,,002708,Houston,Fort Bend,0,2030,3,24363,19,27,Construction begins in 5 to 10 years,NO ERROR,DDA,NA,1,0.0288706713650155
62,091327062,13,235,CR,BR,BRIDGE REPLACEMENT,AT DRY CREEK   CR 134,(OLD GOLIAD RD)  STR # AA01-04-001,BRIDGE REPLACEMENT,,1.322,1.822,D,2609,2027,,N,N,N,0.05,N,,091327,Yoakum,Victoria,0,2026,9,24321,19,913,Construction begins in 5 to 10 years,ROUTE NOT FOUND,2706,NA,1,0
63,091036129,10,37,CR,BR,BRIDGE REPLACEMENT,"CR 2905 AT BOWLES CR, W OF ALTO","STR# AA2905101, BTWN SH 294 & SH 21",BRIDGE REPLACEMENT,,1.259,1.259,C,2003,2020,LA,N,,,0,N,2003,091036,Tyler,Cherokee,0,2020,3,24243,19,910,Construction underway or begins soon,ROUTE NOT FOUND,2006,NA,,0
64,025810044,9,161,SL 396,OV,OVERLAY,BOSQUE BLVD,US 77 (TRAFFIC CIRCLE),PREVENTIVE MAINTENANCE,,1.358,5.09,D,2703,2027,,N,,,3.783,N,,025810,Waco,McLennan,0,2027,3,24327,19,258,Construction begins in 5 to 10 years,NO ERROR,2701,NA,1,0.0632093587715827
65,004901091,9,161,SH 6,BMN,BRIDGE MAINTENANCE,@ TRIB OF SHAW CREEK,(STR #112),BRIDGE MAINTENANCE,,35.671,35.727,C,2412,2025,,Y,,,0.005,N,,004901,Waco,McLennan,0,2024,12,24300,19,49,Construction begins within 4 years,NO ERROR,2106,NA,1,0.000898124632376416
67,009201059,18,57,SH 310,INC,INTERCHANGE (NEW OR RECONSTRUCTED),PENNSYLVANIA AVENUE,NORTH OF AL LIPSCOMB WAY,INTERCHANGE IMPROVEMENT,,1.646,2.167,C,1912,2020,LA,N,,,0.521,N,1912,009201,Dallas,Dallas,0,2019,12,24240,19,92,Construction underway or begins soon,NO ERROR,2011,1,,0.00803110219823287
68,305002024,12,170,FM 2978,WNF,"GR, STRS, BASE AND PAVE",FM 1488,S OF DRY CREEK,WIDEN FROM 2 TO 4 LANES,,5.174,9.244,C,1602,2016,LA,N,,,4.07,N,1602,305002,Houston,Montgomery,0,2016,2,24194,19,3050,Construction underway or begins soon,NO ERROR,1601,NA,,0.0620515498688573
71,005008087,12,102,US 290,WF,WIDEN FREEWAY,EAST OF TELGE ROAD,WEST OF ELDRIDGE PKWY (SEGMENT 8),WIDEN ROAD - ADD LANES,,18.16,21.285,C,1304,2013,LA,N,,,3.125,N,1304,005008,Houston,Harris,0,2013,4,24160,19,50,Construction underway or begins soon,NO ERROR,1305C,NA,,0.0494060826168565
75,033804065,12,170,SH 105,WNF,WIDEN NON-FREEWAY,SL 336,FM 1484,WIDEN ROAD - ADD LANES,,26.2,30.727,C,2210,2023,LA,Y,,,4.545,N,2210,033804,Houston,Montgomery,0,2022,10,24274,19,338,Construction underway or begins soon,NO ERROR,02MU,1,1,0.0756082604626859
76,014606024,25,79,US 70,RER,REHABILITATION OF EXISTING ROAD,"SH 6, EAST",CROWELL ECL,REHABILITATE EXISTING ROADWAY,,0.014,0.753,C,2405,,,N,,,0.743,N,,014606,Childress,Foard,0,2024,5,24293,19,146,Construction begins within 4 years,NO ERROR,2411,NA,1,0.0128697614208577
78,039107027,2,120,FM 4,RER,REHABILITATION OF EXISTING ROAD,US 380,2.4 MI SOUTH OF US 380,REHABILITATE EXISTING ROADWAY,,1.01,3.387,D,2803,,,N,,Y,2.4,N,,039107,Fort Worth,Jack,0,2028,3,24339,19,391,Construction begins in 5 to 10 years,NO ERROR,DDA,NA,1,0.0347429234161001
79,090315100,3,49,VA,WF,WIDEN FREEWAY,ON IH 35 AT TEXAS/OKLAHOMA STATE LN,EXIT 1 IN OKLAHOMA,WIDEN ROAD - ADD LANES,,0,1,C,2404,2024,,Y,,,1,N,,090315,Wichita Falls,Cooke,0,2024,4,24292,19,903,Construction begins within 4 years,ROUTE NOT FOUND,2410,NA,1,0
83,020008049,20,229,US 69,WNF,WIDEN NON-FREEWAY,0.1 MI SOUTH OF BLACK CREEK,HARDIN COUNTY LINE,WIDEN ROAD - ADD LANES,,4.396,10.375,C,2309,2024,,Y,,Y,0,N,,020008,Beaumont,Tyler,0,2023,9,24285,19,200,Construction begins within 4 years,NO ERROR,12TTC,1,1,0.0872020962259314
84,073901039,20,36,IH 10,WF,WIDEN FREEWAY,"SH 73, EAST",JEFFERSON CO. LINE,CONSTRUCT NEW ROAD,,0,3.113,C,1609,2017,LA,Y,,,3.113,N,1609,073901,Beaumont,Chambers,0,2016,9,24201,19,739,Construction underway or begins soon,NO ERROR,1701,NA,,0.0487383875060249
85,091270097,12,102,VA,NNF,NEW LOCATION NON-FREEWAY,IN SHELDON LAKE STATE PARK,.,CONSTRUCT NEW ROAD,,,,D,2509,2026,,N,,,0.001,N,,091270,Houston,Harris,0,2025,9,24309,19,912,Construction begins within 4 years,INVALID LOCATION MEASURE,2610PR,NA,1,0
88,353801035,12,170,SH 242,WNF,WIDEN NON-FREEWAY,NEEDHAM DRIVE,FM 1314,WIDEN ROAD - ADD LANES,,6.654,9.836,C,1905,2019,LA,N,,,3.182,N,1905,353801,Houston,Montgomery,0,2019,5,24233,19,3538,Construction underway or begins soon,NO ERROR,1902M,NA,,0.0527643035316724
89,106901035,16,178,SH 357,SFT,IMPROVE TRAFFIC SIGNALS & INTERCONN,.2 MI W OF GREEN WOOD,.2 MI E OF RODD FIELD ROAD,IMPROVE TRAFFIC SIGNALS AND INTERCONNECT SIGNALS,,7,14.5,C,1902,2019,LA,N,,,7.5,N,1902,106901,Corpus Christi,Nueces,0,2019,2,24230,19,1069,Construction underway or begins soon,NO ERROR,1908,NA,,0.119217775262436
90,004404049,3,169,US 82,WNF,WIDEN NON-FREEWAY,0.5 MI EAST OF US 81,NEAR FM 1816,WIDEN ROAD - ADD LANES,,3.795,9.63,C,2107,2021,LA,Y,Y,Y,5.829,N,2107,004404,Wichita Falls,Montague,0,2021,7,24259,19,44,Construction underway or begins soon,NO ERROR,04CN,1,,0.100420770603443
91,091629014,16,149,CR,BR,BRIDGE REPLACEMENT,STR (AA00352001) CM PORTER @ LAGART,APPROX 0.3 MI N OF CR 174,BRIDGE REPLACEMENT,,0.077,0.077,C,2302,2023,,N,,,0,N,,091629,Corpus Christi,Live Oak,0,2023,2,24278,19,916,Construction begins within 4 years,ROUTE NOT FOUND,2306,NA,1,0
92,052005043,19,230,SH 155,BR,BRIDGE REPLACEMENT,GLENDIA DRIVE,SOUTH END OF BIG CYPRESS CREEK BRIDGE,BRIDGE REPLACEMENT,,0.287,0.681,C,2302,2023,,N,,Y,0.394,N,,052005,Atlanta,Upshur,0,2023,2,24278,19,520,Construction begins within 4 years,NO ERROR,2306,NA,1,0.00669818152366532
93,030402039,11,202,SH 87,RES,RESTORATION,SHELBY COUNTY LINE,0.2 MI N OF FM 276,HIGHWAY IMPROVEMENT,,0,8.553,P,3504,,,N,,Y,8.553,N,,030402,Lufkin,Sabine,0,2035,4,24424,19,304,"Corridor Studies, construction in 10+ years",NO ERROR,PLAN,NA,,0.136501226019795
94,090220110,2,249,CR,BR,BRIDGE REPLACEMENT,ACORN DRIVE OVER WAGGONER BRANCH,.,BRIDGE REPLACEMENT,,1.388,1.388,,2109,2022,LA,N,,,0,N,2109,090220,Fort Worth,Wise,0,2021,9,24261,19,902,Construction underway or begins soon,ROUTE NOT FOUND,2206,NA,,0
96,010410006,24,189,US 67,BWR,BRIDGE WIDENING OR REHABILITATION,PUERTO RICO ST,INTERNATIONAL DEMARCATION LINE,BRIDGE REPLACEMENT,,69.582,69.739,C,1708,2017,LA,Y,,Y,0.659,N,1708,010410,El Paso,Presidio,0,2017,8,24212,19,104,Construction underway or begins soon,NO ERROR,1711,NA,,0.00255466851120803
97,001308131,2,249,US 81,SFT,SAFETY IMPROVEMENT PROJECTS,AT RAMHORN HILL ROAD,.,INTERSECTION IMPROVEMENT,,18.536,19.736,D,2709,,,Y,,Y,1.2,N,,001308,Fort Worth,Wise,0,2027,9,24333,19,13,Construction begins in 5 to 10 years,NO ERROR,DDA,NA,1,0.0177540045949805
99,018802029,12,80,SH 36,WNF,WIDEN NON-FREEWAY,0.43 MI N OF FM 2218,0.284 MI S OF NEEDVILLE-FAIRCHILDS,WIDEN ROAD - ADD LANES,,5.815,13.369,C,1909,2020,LA,Y,,,0,N,1909,018802,Houston,Fort Bend,0,2019,9,24237,19,188,Construction underway or begins soon,NO ERROR,1902M,1,,0.112052307434336
100,092106290,21,31,CR,WNF,WIDEN NON-FREEWAY,"ON OLD ALICE ROAD, FROM SPORTS PARK BLVD",SH 100,WIDEN ROAD - ADD LANES,,0,1.911,D,2908,2029,,N,,,0,N,,092106,Pharr,Cameron,0,2029,8,24356,19,921,Construction begins in 5 to 10 years,ROUTE NOT FOUND,LOCAL,NA,1,0
101,065601040,9,110,FM 67,RES,RESTORATION,FM 3049,SH 81,REHABILITATE EXISTING ROADWAY,,3.274,17.41,C,2304,2023,,N,,Y,13.557,N,,065601,Waco,Hill,0,2023,4,24280,19,656,Construction begins within 4 years,PARTIAL MATCH FOR THE TO-MEASURE,2301,NA,1,0.223148677165872
102,091231293,12,20,CS,WNF,WIDEN NON-FREEWAY,"SMITH RANCH RD; HUGHES RANCH RD",N OF BROADWAY (FM 518),WIDEN ROAD - ADD LANES,,0.413,1.158,C,2210,2023,,N,,,0.745,N,,091231,Houston,Brazoria,0,2022,10,24274,19,912,Construction begins within 4 years,ROUTE NOT FOUND,2307,NA,1,0
103,035304068,18,57,SS 348,WF,WIDEN FREEWAY,SH 114,W OF LUNA RD (NEAR ELM FORK TRIN R),CONSTRUCT NEW ROAD,,15.66,17.336,P,4508,,,N,,,1.8,N,,035304,Dallas,Dallas,0,2045,8,24548,19,353,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.0280457574900533
104,237403074,18,57,IH 20,BWR,BRIDGE WIDENING OR REHABILITATION,AT BONNIE VIEW RD,IN CITY OF DALLAS,WIDEN BRIDGE,,17.998,18.51,C,2105,2021,LA,N,,,0.022,N,2105,237403,Dallas,Dallas,0,2021,5,24257,19,2374,Construction underway or begins soon,NO ERROR,2107,NA,,0.00874054970747708
