doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,document_3,authority_Name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_Name_4,country_alpha,country_mfn,currency_code,converted_amount_usd
526205-2021,Active,,France,Grandchamp-des-Fontaines,Sports facilities operation services,France-Grandchamp-des-Fontaines: Sports facilities operation services,526205-2021,15/10/2021,201,GRANDCHAMP-DES-FONTAINES,cté de Communes d'erdre et Gesvres,FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,E - Concession award procedure,H - Services concession,4 - European Union,1 - Submission for all lots,8 - Other,92610000 - Sports facilities operation services,FRG01,http://www.cceg.fr/,Concession contract Directive 2014/23/EU,19/11/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526203-2021,Active,,France,Aix-en-Provence,Child daycare services,France-Aix-en-Provence: Child daycare services,526203-2021,15/10/2021,201,AIX-EN-PROVENCE,commune d aix en provence (21130001700012),FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,E - Concession award procedure,H - Services concession,4 - European Union,1 - Submission for all lots,8 - Other,85312110 - Child daycare services,FRL04,http://www.aixenprovence.fr,Concession contract Directive 2014/23/EU,03/12/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526201-2021,Active,,France,Pyla-sur-Mer,"Hotel, restaurant and retail trade services","France-Pyla-sur-Mer: Hotel, restaurant and retail trade services",526201-2021,15/10/2021,201,PYLA-SUR-MER,synd. Mixte de la Grande Dune du Pilat,FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,E - Concession award procedure,H - Services concession,4 - European Union,1 - Submission for all lots,8 - Other,"55000000 - Hotel, restaurant and retail trade services",FRI12,http://ladunedupilat.com,Concession contract Directive 2014/23/EU,12/01/2022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526200-2021,Active,,France,Pyla-sur-Mer,"Hotel, restaurant and retail trade services","France-Pyla-sur-Mer: Hotel, restaurant and retail trade services",526200-2021,15/10/2021,201,PYLA-SUR-MER,synd. Mixte de la Grande Dune du Pilat,FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,E - Concession award procedure,H - Services concession,4 - European Union,1 - Submission for all lots,8 - Other,"55000000 - Hotel, restaurant and retail trade services",FRI12,http://ladunedupilat.com,Concession contract Directive 2014/23/EU,12/01/2022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526198-2021,Active,,France,Saint-Gratien,Car park management services,France-Saint-Gratien: Car park management services,526198-2021,15/10/2021,201,SAINT-GRATIEN,commune de Saint Gratien,FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,E - Concession award procedure,H - Services concession,4 - European Union,1 - Submission for all lots,8 - Other,98351000 - Car park management services,FR108,https://www.ville-saintgratien.fr/,Concession contract Directive 2014/23/EU,12/11/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526197-2021,Active,,France,Méry-sur-Oise,Advertising services,France-Méry-sur-Oise: Advertising services,526197-2021,15/10/2021,201,MÉRY-SUR-OISE,mery-sur-oise (21950394300017),FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,E - Concession award procedure,H - Services concession,4 - European Union,1 - Submission for all lots,8 - Other,79341000 - Advertising services,FR108,http://www.merysuroise.fr,Concession contract Directive 2014/23/EU,12/11/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526190-2021,Active,,France,Paris,Telecommunications services,France-Paris: Telecommunications services,526190-2021,15/10/2021,201,PARIS,sipperec (fr101),FR,FR,6 - Body governed by public law,-,12/10/2021,4 - Services,E - Concession award procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,8 - Other,45232300 - Construction and ancillary works for telephone and communication lines64200000 - Telecommunications services,FR105FR106FR107,https://www.sipperec.fr,Concession contract Directive 2014/23/EU,26/11/2021,376570-2021,23/07/2021,26/11/2021,H - Services concession,Sipperec (fr101),526190-2021,15/10/2021,26/11/2021,2 - Additional information,sipperec (fr101),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526187-2021,Active,,France,Toulouse,Education and training services,France-Toulouse: Education and training services,526187-2021,15/10/2021,201,TOULOUSE,dsna,FR,FR,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,9 - Not applicable,80531200 - Technical training services80000000 - Education and training services,FRJ23,http://www.marches-publics.gouv.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,119724-2020,11/03/2020,06/04/2020,3 - Contract notice,DSNA,34820-2021,22/01/2021,15/02/2021,3 - Contract notice,DSNA,526187-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526180-2021,Active,,France,La Plaine Saint-Denis,"Technical testing, analysis and consultancy services","France-La Plaine Saint-Denis: Technical testing, analysis and consultancy services",526180-2021,15/10/2021,201,LA PLAINE SAINT-DENIS,Société nationale SNCF (552 049 447 76279),FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,4 - Negotiated procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,"71600000 - Technical testing, analysis and consultancy services71241000 - Feasibility study, advisory service, analysis",FRFR10FRBFRCFRDFREFRFFRGFRHFRIFRJFRKFRL,http://www.sncf.com/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",18/10/2021,498151-2021,01/10/2021,18/10/2021,3 - Contract notice,Société nationale SNCF (552 049 447 76279),526180-2021,15/10/2021,18/10/2021,2 - Additional information,Société nationale SNCF (552 049 447 76279),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526157-2021,Active,,France,Toulouse,Electronic message and information services,France-Toulouse: Electronic message and information services,526157-2021,15/10/2021,201,TOULOUSE,dsna,FR,FR,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,64216000 - Electronic message and information services,FRFR1FRBFRCFRDFRFFRHFRIFRLFRM,http://www.marches-publics.gouv.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",29/10/2021,565782-2018,21/12/2018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526156-2021,Active,,France,Wasquehal,Architectural services for buildings,France-Wasquehal: Architectural services for buildings,526156-2021,15/10/2021,201,WASQUEHAL,siden-sian noreade eau (20001759800034),FR,FR,4 - Utilities entity,-,11/10/2021,4 - Services,2 - Restricted procedure,D - Design contest,4 - European Union,9 - Not applicable,8 - Other,"71222000 - Architectural services for outdoor areas71200000 - Architectural and related services71221000 - Architectural services for buildings71000000 - Architectural, construction, engineering and inspection services71240000 - Architectural, engineering and planning services",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526151-2021,Active,,France,Paris,Repair and maintenance services of machinery,France-Paris: Repair and maintenance services of machinery,526151-2021,15/10/2021,201,PARIS,EDF SA,FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,50530000 - Repair and maintenance services of machinery,FR,http://www.edf.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,255519-2015,21/07/2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526139-2021,Active,,France,Montpellier,Railway-track maintenance services,France-Montpellier: Railway-track maintenance services,526139-2021,15/10/2021,201,MONTPELLIER,tam - transports Agglo Montpellier (31487181500093),FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,50225000 - Railway-track maintenance services34941300 - Tramline,FRJ13,http://www.tam-voyages.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,272426-2021,31/05/2021,15/06/2021,3 - Contract notice,TAM — Transports Agglo Montpellier (31487181500093),526139-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526115-2021,Active,,France,Metz,Electrical services,France-Metz: Electrical services,526115-2021,15/10/2021,201,METZ,URM METZ,FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,71314100 - Electrical services,FRF33,http://www.urm-metz.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,287917-2021,08/06/2021,06/07/2021,3 - Contract notice,URM Metz,526115-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526108-2021,Active,,France,Montpellier,Repair and maintenance services of cars,France-Montpellier: Repair and maintenance services of cars,526108-2021,15/10/2021,201,MONTPELLIER,tam - transports Agglo Montpellier (31487181500093),FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,50112000 - Repair and maintenance services of cars,FRJ13,http://www.tam-voyages.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,298128-2021,14/06/2021,29/06/2021,3 - Contract notice,TAM — Transports Agglo Montpellier (31487181500093),526108-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526104-2021,Active,,France,Valence,Sewer cleaning services,France-Valence: Sewer cleaning services,526104-2021,15/10/2021,201,VALENCE,valence romans sud rhone-alpes (20006878100166),FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,90470000 - Sewer cleaning services90480000 - Sewerage management services,FRK23,http://www.valenceromansagglo.fr/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,245234-2021,14/05/2021,18/06/2021,3 - Contract notice,Valence Romans Sud Rhône-Alpes (20006878100166),526104-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526103-2021,Active,,France,Cannes,System maintenance services,France-Cannes: System maintenance services,526103-2021,15/10/2021,201,CANNES,c.a.p.l,FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,T - Negotiated procedure without a call for competition,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,50324100 - System maintenance services,FRL03,http://www.cannespaysdelerins.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526089-2021,Active,,France,Paris,Non-residential property renting or leasing services,France-Paris: Non-residential property renting or leasing services,526089-2021,15/10/2021,201,PARIS,SNCF Gares & Connexions (552049447),FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,70220000 - Non-residential property renting or leasing services,FRG01,https://www.garesetconnexions.sncf/fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526075-2021,Active,,France,Lyon,Toxic waste disposal services except radioactive waste and contaminated soil,France-Lyon: Toxic waste disposal services except radioactive waste and contaminated soil,526075-2021,15/10/2021,201,LYON,SNCF (808 332 670 0013),FR,FR,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,90523000 - Toxic waste disposal services except radioactive waste and contaminated soil,FR,http://www.sncf.com/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,134690-2021,17/03/2021,02/04/2021,3 - Contract notice,SNCF (808 332 670 0013),526075-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526074-2021,Active,,France,Paris,Advertising and marketing services,France-Paris: Advertising and marketing services,526074-2021,15/10/2021,201,PARIS,RATP,FR,FR,4 - Utilities entity,-,11/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,79342000 - Marketing services79340000 - Advertising and marketing services,FR,www.ratp.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,204308-2021,23/04/2021,12/05/2021,3 - Contract notice,RATP,526074-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526059-2021,Active,,France,Montévrain,Non-destructive testing services,France-Montévrain: Non-destructive testing services,526059-2021,15/10/2021,201,MONTÉVRAIN,EDF SA,FR,FR,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,71632200 - Non-destructive testing services,FRK,www.edf.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,324578-2021,28/06/2021,12/07/2021,3 - Contract notice,EDF SA,526059-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526018-2021,Active,,France,Le Bourget du Lac,Legal advisory and representation services,France-Le Bourget du Lac: Legal advisory and representation services,526018-2021,15/10/2021,201,LE BOURGET DU LAC,Tunnel Euralpin Lyon Turin SAS,FR  ;  IT,FR,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,79110000 - Legal advisory and representation services,ITC11,www.telt-sas.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,567790-2019,29/11/2019,15/01/2020,3 - Contract notice,Tunnel Euralpin Lyon Turin SAS,526018-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526017-2021,Active,,France,Saint-Paul,Sewerage management services,France-Saint-Paul: Sewerage management services,526017-2021,15/10/2021,201,SAINT-PAUL,régie comm d'eau et d'ass. La Créole,FR,FR,4 - Utilities entity,-,11/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,90513700 - Sludge transport services90480000 - Sewerage management services,FRY4,http://www.lacreole.re,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,443091-2021,01/09/2021,04/10/2021,3 - Contract notice,régie comm d'eau et d'ass. La Créole,526017-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526009-2021,Active,,France,Saint-Denis,"IT services: consulting, software development, Internet and support","France-Saint-Denis: IT services: consulting, software development, Internet and support",526009-2021,15/10/2021,201,SAINT-DENIS,société du Grand Paris (52504601700048),FR,FR,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,"71318000 - Advisory and consultative engineering services71316000 - Telecommunication consultancy services72316000 - Data analysis services72222000 - Information systems or technology strategic review and planning services72000000 - IT services: consulting, software development, Internet and support",FR10,http://www.societedugrandparis.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,275260-2020,12/06/2020,16/07/2020,3 - Contract notice,Société du Grand Paris (525 046 017 00048),526009-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525992-2021,Active,,France,Gauchy,Insurance and pension services,France-Gauchy: Insurance and pension services,525992-2021,15/10/2021,201,GAUCHY,r.t.a,FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,4 - Negotiated procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,66500000 - Insurance and pension services,FRE21,https://www.e-marchespublics.com/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",29/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525991-2021,Active,,France,Paris,Asbestos removal services,France-Paris: Asbestos removal services,525991-2021,15/10/2021,201,PARIS,syndicat des Eaux d'ile-de-france (25750001700021),FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,90650000 - Asbestos removal services,FR102FR103FR104FR105FR106FR107FR108,https://marches.maximilien.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",30/11/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525988-2021,Active,,France,Paris la Défense,Advertising and marketing services,France-Paris la Défense: Advertising and marketing services,525988-2021,15/10/2021,201,PARIS LA DÉFENSE,Enedis,FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,4 - Negotiated procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,2 - The most economic tender,79340000 - Advertising and marketing services,FR,www.enedis.fr,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",05/11/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525987-2021,Active,,France,Tremblay-en-France,Road transport services,France-Tremblay-en-France: Road transport services,525987-2021,15/10/2021,201,TREMBLAY-EN-FRANCE,AEROPORTS DE PARIS,FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,4 - Negotiated procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,60100000 - Road transport services60130000 - Special-purpose road passenger-transport services,FR10,http://www.parisaeroport.fr/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",28/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
525985-2021,Active,,France,Rouen,Engineering studies,France-Rouen: Engineering studies,525985-2021,15/10/2021,201,ROUEN,metropole rouen normandie (20002341400101),FR,FR,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,71335000 - Engineering studies,FRD22,http://www.metropole-rouen-normandie.fr/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",15/11/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
