doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,latitude,longitude,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,description,postal_code,email,amount,currency,og_notice_no,document_3,authority_Name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_Name_4,document_id_5,publication_date_5,deadline_5,country_alpha,country_mfn,currency_code,converted_amount_usd
526390-2021,Active,,United Kingdom,Doncaster,Community action programme,United Kingdom-Doncaster: Community action programme,526390-2021,15/10/2021,201,DONCASTER,Doncaster MBC,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,85322000 - Community action programme,UKE31,http://www.doncaster.gov.uk/,Public procurement Directive 2014/24/EU,nan,53.5227681,-1.1335312,78694-2020,17/02/2020,27/03/2020,3 - Contract notice,Doncaster MBC,91235-2020,24/02/2020,17/03/2020,2 - Additional information,Doncaster MBC,127359-2020,16/03/2020,27/03/2020,Supporting new and existing social enterprise as part of the inclusive growth strategy,DN1 3BU,Lewis.Lindley@doncaster.gov.uk,150000,GBP,GBP,2 - Additional information,Doncaster MBC,526390-2021,15/10/2021,nan,nan,nan,nan,nan,nan, GBR, 826,,1240.4896
526389-2021,Active,,United Kingdom,Exeter,Transport services (excl. Waste transport),United Kingdom-Exeter: Transport services (excl. Waste transport),526389-2021,15/10/2021,201,EXETER,Devon County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,60000000 - Transport services (excl. Waste transport),UKK4,http://www.devon.gov.uk,Public procurement Directive 2014/24/EU,nan,50.7255794,-3.5269497,418275-2015,27/11/2015,21/01/2016,Y - Dynamic purchasing system,Devon County Council,216785-2016,25/06/2016,01/04/2022,2 - Additional information,Devon County Council,249281-2016,19/07/2016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526388-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526388-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526387-2021,Active,,United Kingdom,Glasgow,Design consultancy services,United Kingdom-Glasgow: Design consultancy services,526387-2021,15/10/2021,201,GLASGOW,University of Glasgow,EN,UK,6 - Body governed by public law,-,11/10/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,71500000 - Construction-related services71541000 - Construction project management services79415200 - Design consultancy services,UKM82,http://www.gla.ac.uk/,Public procurement Directive 2014/24/EU,nan,55.8609825,-4.2488787,541870-2020,11/11/2020,10/12/2020,3 - Contract notice,University of Glasgow,526387-2021,15/10/2021,nan,nan,nan,nan,nan,nan,PURCH1852 Lead Advisor Framework Agreement,G12 8QQ,Josephine.Gallagher@glasgow.ac.uk,17200000,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,142242.8052
526386-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526386-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526385-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526385-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526384-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526384-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526383-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526383-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526382-2021,Active,,United Kingdom,Kirkintilloch,Traffic control services,United Kingdom-Kirkintilloch: Traffic control services,526382-2021,15/10/2021,201,KIRKINTILLOCH,East Dunbartonshire Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,63712700 - Traffic control services,UKM81,http://www.eastdunbarton.gov.uk,Public procurement Directive 2014/24/EU,nan,55.9383914,-4.1549049,615602-2020,18/12/2020,25/01/2021,3 - Contract notice,East Dunbartonshire Council,526382-2021,15/10/2021,nan,nan,nan,nan,nan,nan,"East Dunbartonshire Council requires a suitably experienced and qualified Contractor to provide Traffic Management Services to support its Capital Investment / Maintenance Programmes of work on an ad-hoc basis when internal resources are unable to do so. This service will include design and provision of signs, lighting, traffic lights, pedestrian lights, walkways, cones, plus barriers and fencing for Specialist Town Centre Events and any other works. Plus the installation, maintenance, adjustment/relocation and removal of equipment.",G66 1TJ,robert.gilmour@eastdunbarton.gov.uk,1000000,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,8269.9305
526380-2021,Active,,United Kingdom,Belfast,Passenger information system,United Kingdom-Belfast: Passenger information system,526380-2021,15/10/2021,201,BELFAST,Department for Infrastructure (NI),EN,UK,1 - Ministry or any other national or federal authority,-,12/10/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,48813000 - Passenger information system48813200 - Real-time passenger information system,UKN0,https://www.infrastructure-ni.gov.uk/,Public procurement Directive 2014/24/EU,nan,54.5964411,-5.9302761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526379-2021,Active,,United Kingdom,Pontypridd,Footwear with uppers of leather,United Kingdom-Pontypridd: Footwear with uppers of leather,526379-2021,15/10/2021,201,PONTYPRIDD,Leidos Supply Ltd,EN,UK,6 - Body governed by public law,-,12/10/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,18813000 - Footwear with uppers of leather,UKUKK1,www.leidos.com/uk,Public procurement Directive 2014/24/EU,nan,51.6001047,-3.3449362,563750-2019,28/11/2019,09/01/2020,3 - Contract notice,Leidos Supply,526379-2021,15/10/2021,nan,nan,nan,nan,nan,nan,Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the ‘Prime Contract’). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together ‘Team Leidos’). This requirement is subject to the Supply of Dress and Service Footwear and respective advertising action.,CF374PU,olivia.carroll@leidos.com,18000000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,148858.7496
526377-2021,Active,,United Kingdom,Cardiff,Electron microscopes,United Kingdom-Cardiff: Electron microscopes,526377-2021,15/10/2021,201,CARDIFF,Cardiff University,EN,UK,6 - Body governed by public law,-,11/10/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,38511000 - Electron microscopes,UKL22,http://www.cardiff.ac.uk/business/why-work-with-us/for-suppliers,Public procurement Directive 2014/24/EU,11/11/2021,51.4816546,-3.1791934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526376-2021,Active,,United Kingdom,Coventry,Construction work,United Kingdom-Coventry: Construction work,526376-2021,15/10/2021,201,COVENTRY,COV- 8524 President Kennedy School 6th Form Building,EN,UK,3 - Regional or local authority,-,11/10/2021,1 - Works,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,45000000 - Construction work,UKG33,www.csw-jets.co.uk,Public procurement Directive 2014/24/EU,nan,52.4081812,-1.510477,550899-2019,21/11/2019,23/12/2019,3 - Contract notice,COV- 8524 President Kennedy School 6th Form Building,526376-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526375-2021,Active,,United Kingdom,Musselburgh,Erection of fencing,United Kingdom-Musselburgh: Erection of fencing,526375-2021,15/10/2021,201,MUSSELBURGH,Archaeology Scotland,EN,UK,8 - Other,-,12/10/2021,1 - Works,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,45342000 - Erection of fencing,UKM6,www.archaeologyscotland.org.uk,Public procurement Directive 2014/24/EU,12/11/2021,55.9421202,-3.0538516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526374-2021,Active,,United Kingdom,Reading,Research and development services and related consultancy services,United Kingdom-Reading: Research and development services and related consultancy services,526374-2021,15/10/2021,201,READING,European Centre for Medium-Range Weather Forecasts (ECMWF),EN,UK,5 - European Institution/Agency or International Organisation,-,12/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,73000000 - Research and development services and related consultancy services,UK,https://www.ecmwf.int/,Public procurement Directive 2014/24/EU,23/11/2021,51.456659,-0.9696512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
520697-2021,Active,,United Kingdom,Wolverhampton,Education and training services,United Kingdom-Wolverhampton: Education and training services,520697-2021,13/10/2021,199,WOLVERHAMPTON,Wolverhampton City Council,EN,UK,3 - Regional or local authority,-,08/10/2021,4 - Services,1 - Open procedure,2 - Additional information,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,80000000 - Education and training services,UKG,http://www.wolverhampton.gov.uk,Public procurement Directive 2014/24/EU,09/11/2021,52.5847651,-2.127567,252567-2020,29/05/2020,09/11/2021,3 - Contract notice,Wolverhampton City Council,520697-2021,13/10/2021,09/11/2021,2 - Additional information,Wolverhampton City Council,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
520696-2021,Active,,United Kingdom,Birmingham,"Sales, marketing and business intelligence software development services","United Kingdom-Birmingham: Sales, marketing and business intelligence software development services",520696-2021,13/10/2021,199,BIRMINGHAM,West Midlands Growth Company Ltd,EN,UK,6 - Body governed by public law,-,08/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"79342000 - Marketing services72212480 - Sales, marketing and business intelligence software development services79413000 - Marketing management consultancy services",UKG31,www.wmgrowth.com,Public procurement Directive 2014/24/EU,nan,52.4796992,-1.9026911,586943-2020,04/12/2020,04/01/2021,3 - Contract notice,West Midlands Growth Company Ltd,520696-2021,13/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
