aug_id,original_id,tender_title,released_date,project_name,project_or_tender,bidding_price,description,region,region_coordinates,place_of_bid,place_of_bid_coordinates,place_of_bid_opening,place_of_bid_opening_coordinates,bid_opening,status,country_code,bidding_start_date,bidding_end_date,bidding_agency
477c5a75-6d73-4d90-aa49-eacb976dcb12,4197-2240XAESW002/19,Procurement of 4197-2240XAESW002/19 Silicon Industrial Base Phase II Project of Xi'an ESWIN(1),2023-05-04,Silicon Industrial Base Phase II Project of Xi'an ESWIN,P,$1650,Required field not presented in the source,"Shanxi Province, China","37.0, 112.0","CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates not available,"CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates not available,2023-05-25 10:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"China Electronics Commerce (Beijing) Co., Ltd"
545574e2-e984-417a-afa0-b9fb530df005,0679-234DFWHGG029,Procurement of 0679-234DFWHGG029 Static testing machine for laboratory modules(2),2023-05-04,Static testing machine for laboratory modules,P,$150,Required field not presented in the source,"Hubei Provence, China","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377",2023-05-25 14:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
2826addf-ac4d-490d-9894-d4c92b1d6d8e,0747-2340SCCZS024,Procurement of 0747-2340SCCZS024 Fine Chemicals and Raw Materials Project VRDS Unit Makeup Gas Compressors(2),2023-05-04,Fine Chemicals and Raw Materials Project VRDS Unit Makeup Gas Compressors,P,$150,Required field not presented in the source,"Liaoning Province, China","40.9975197, 122.9955469","Meeting Room 2312, 23rd Floor, PINGAN Fortune Center Block B, Beijing 100073, P.R. China.","39.906217, 116.3912757","Meeting Room 2312, 23rd Floor, PINGAN Fortune Center Block B, Beijing 100073, P.R. China.","39.906217, 116.3912757",2023-06-01 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-11,"SINOCHEM COMMERCE CO.,LTD"
d0a7fedf-bfb3-4a94-9f6a-3d2d83e53c57,0679-234DFWHGG032,Procurement of 0679-234DFWHGG032 PIN needle ultrasonic welding equipment(2),2023-05-04,PIN needle ultrasonic welding equipment,P,$150,Required field not presented in the source,Hubei province of China,Coordinates not available,"No. 46 Zhenhua Road, Wuhan Economic Development Zone Dongfeng International Co., Ltd 107 room","0.3298238, 32.5754483","No. 46 Zhenhua Road, Wuhan Economic Development Zone Dongfeng International Co., Ltd 107 room","0.3298238, 32.5754483",2023-05-26 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
1510f503-6fe8-447a-af65-d8e0dc62299b,1200-234GB2023003/02,Procurement of 1200-234GB2023003/02 Hainan Eye Hospital Clinical Examination Equipment Procurement Project(1),2023-05-04,Hainan Eye Hospital Clinical Examination Equipment Procurement Project,P,$80,Required field not presented in the source,"Hainan Province, China","19.2000001, 109.5999999","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988",2023-05-25 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Hainan government procurement Bidding co., LTD"
e0fb9e14-3e3a-471a-a7e7-155cc286d4f6,0679-234DFWHGG102,Procurement of 0679-234DFWHGG102 Modular dynamic testing machine for laboratories(1),2023-05-04,Modular dynamic testing machine for laboratories,P,$150,Required field not presented in the source,"Hubei Provence, China","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377",2023-05-25 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
8198d55a-e6b3-4bb6-b5c7-26ba295e044a,3501-234DFGZYX027,Procurement of 3501-234DFGZYX027 Vehicle collision laboratory-Phase 1 Equipment Investment-Collision Experiment False and its calibration system(2),2023-05-04,Vehicle collision laboratory-Phase 1 Equipment Investment-Collision Experiment False and its calibration system,P,$150,Required field not presented in the source,"Guangdong,Guangzhou","23.1301964, 113.2592945","Conference Room No. 2, 1st Floor, Procurement Headquarters, Dongfeng Nissan Passenger Vehicle Company, No. 12 Fengshen Avenue, Huadu District, Guangzhou","23.372679, 113.1208389","Conference Room No. 2, 1st Floor, Procurement Headquarters, Dongfeng Nissan Passenger Vehicle Company, No. 12 Fengshen Avenue, Huadu District, Guangzhou","23.372679, 113.1208389",2023-05-26 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-05,2023-05-11,Dongfeng Consulting Co. Ltd
aba59455-c98d-4c6a-a439-13c18cff98dd,4197-2240XAESW002/21,Procurement of 4197-2240XAESW002/21 Silicon Industrial Base Phase II Project of Xi'an ESWIN(1),2023-05-04,Silicon Industrial Base Phase II Project of Xi'an ESWIN,P,$500,Required field not presented in the source,"Shanxi Province, China","37.0, 112.0","CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates delay,"CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates delay,2023-05-25 10:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"China Electronics Commerce (Beijing) Co., Ltd"
91283575-c88a-43ec-9dcb-728ed0983ddf,4197-2240XAESW002/19,Procurement of 4197-2240XAESW002/19 Silicon Industrial Base Phase II Project of Xi'an ESWIN(1),2023-05-04,Silicon Industrial Base Phase II Project of Xi'an ESWIN,P,$1650,Required field not presented in the source,"Shanxi Province, China","37.0, 112.0","CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates delay,"CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates delay,2023-05-25 10:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"China Electronics Commerce (Beijing) Co., Ltd"
39fafc4a-af03-4539-8a4e-224512ad37ad,0679-234DFWHGG029,Procurement of 0679-234DFWHGG029 Static testing machine for laboratory modules(2),2023-05-04,Static testing machine for laboratory modules,P,$150,Required field not presented in the source,"Hubei Provence, China","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377",2023-05-25 14:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
3d836d97-fb0f-45e1-a9fa-0b70f84de47f,0747-2340SCCZS024,Procurement of 0747-2340SCCZS024 Fine Chemicals and Raw Materials Project VRDS Unit Makeup Gas Compressors(2),2023-05-04,Fine Chemicals and Raw Materials Project VRDS Unit Makeup Gas Compressors,P,$150,Required field not presented in the source,"Liaoning Province, China","40.9975197, 122.9955469","Meeting Room 2312, 23rd Floor, PINGAN Fortune Center Block B, Beijing 100073, P.R. China.","39.906217, 116.3912757","Meeting Room 2312, 23rd Floor, PINGAN Fortune Center Block B, Beijing 100073, P.R. China.","39.906217, 116.3912757",2023-06-01 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-11,"SINOCHEM COMMERCE CO.,LTD"
af65c77c-25df-40bd-b2e4-e85fce3b9b81,0679-234DFWHGG032,Procurement of 0679-234DFWHGG032 PIN needle ultrasonic welding equipment(2),2023-05-04,PIN needle ultrasonic welding equipment,P,$150,Required field not presented in the source,Hubei province of China,Coordinates delay,"No. 46 Zhenhua Road, Wuhan Economic Development Zone Dongfeng International Co., Ltd 107 room","0.3298238, 32.5754483","No. 46 Zhenhua Road, Wuhan Economic Development Zone Dongfeng International Co., Ltd 107 room","0.3298238, 32.5754483",2023-05-26 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
29d62180-a2ff-4c61-adf8-ba44aab82e28,1200-234GB2023003/02,Procurement of 1200-234GB2023003/02 Hainan Eye Hospital Clinical Examination Equipment Procurement Project(1),2023-05-04,Hainan Eye Hospital Clinical Examination Equipment Procurement Project,P,$80,Required field not presented in the source,"Hainan Province, China","19.2000001, 109.5999999","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988",2023-05-25 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Hainan government procurement Bidding co., LTD"
1868c277-ce68-4bca-ad5d-f50e3c1f0dcd,5151-234yang00001/01,Procurement of 5151-234yang00001/01 YANGYINGYANGYING(1),2023-05-04,YANGYINGYANGYING,P,Free,Required field not presented in the source,weretryhtjy,Coordinates delay,wytjmm,Coordinates delay,wdergthj,Coordinates delay,2023-05-24 23:59,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,testzbjg0314
95542b52-0989-457c-8d69-bafe57aa4435,4197-214VISIONOX3/92,Procurement of 4197-214VISIONOX3/92 G6 Flexible AMOLED Production Line Project(1),2023-05-04,G6 Flexible AMOLED Production Line Project,P,$250,Required field not presented in the source,"Anhui, P. R. China",Coordinates delay,"CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, P. R. China",Coordinates delay,"CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, P. R. China",Coordinates delay,2023-05-25 10:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"China Electronics Commerce (Beijing) Co., Ltd"
4cb97abe-6ef4-4950-8a4a-eb9983fff45c,1200-234GB2023003/01,Procurement of 1200-234GB2023003/01 Hainan Eye Hospital Clinical Examination Equipment Procurement Project(1),2023-05-04,Hainan Eye Hospital Clinical Examination Equipment Procurement Project,P,$80,Required field not presented in the source,"Hainan Province, China","19.2000001, 109.5999999","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988",2023-05-25 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Hainan government procurement Bidding co., LTD"
23620b7f-0f56-4747-ab7a-0eed67876674,0813-234GMHG23073,Procurement of 0813-234GMHG23073 Zhengzhou Nancao Sewage Treatment Plant Phase I Project Procurement of Sewage Sludge Treatment System Goods and Services Project(1),2023-05-04,Zhengzhou Nancao Sewage Treatment Plant Phase I Project Procurement of Sewage Sludge Treatment System Goods and Services Project,P,$290,Required field not presented in the source,"Henan, China",Coordinates delay,"East Conference Room, 3rd Floor, Building B, International Enterprise Center, No. 72 Nongyu Road, Jinshui District, Zhengzhou City, Henan Province",Coordinates delay,"East Conference Room, 3rd Floor, Building B, International Enterprise Center, No. 72 Nongyu Road, Jinshui District, Zhengzhou City, Henan Province",Coordinates delay,2023-05-26 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-05,2023-05-11,"Henan International Trade &amp; Tenders Co.,Ltd."
3d870dcc-819e-4cbf-ae06-d02d90bd9567,0679-234DFWHGG030,Procurement of 0679-234DFWHGG030 Sweep frequency testing equipment(2),2023-05-04,Sweep frequency testing equipment,P,$150,Required field not presented in the source,Hubei province of China,Coordinates delay,"No. 46 Zhenhua Road, Wuhan Economic Development Zone Dongfeng International Co., Ltd 108 room",Coordinates delay,"No. 46 Zhenhua Road, Wuhan Economic Development Zone Dongfeng International Co., Ltd 108 room",Coordinates delay,2023-05-26 14:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
a0b785b4-fe99-407a-8078-1d5a1feeaa98,0712-234042303014,Procurement of 0712-234042303014 Ningbo Project Hainan Project flue gas emission continuous monitoring system(1),2023-05-04,Ningbo Project Hainan Project flue gas emission continuous monitoring system,P,$40,Required field not presented in the source,hainan province,Coordinates delay,"21F, Tower A of IFC, No.268 MinAn East Road, Ningbo 315040, China.",Coordinates delay,"21F, Tower A of IFC, No.268 MinAn East Road, Ningbo 315040, China.",Coordinates delay,2023-05-18 09:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Sinopec International Co.,Ltd."
44e5a778-9a07-445d-acdf-8d28b26bb470,1440-234JZDWX0002/04,"Procurement of 1440-234JZDWX0002/04 The first batch of equipment procurement project for non-hydrogen-related laboratory equipment and hydrogen-related laboratory equipment of Tong-Hui Research Institute,hydrogen engine test stand(1)",2023-05-04,"The first batch of equipment procurement project for non-hydrogen-related laboratory equipment and hydrogen-related laboratory equipment of Tong-Hui Research Institute,hydrogen engine test stand",P,$180,Required field not presented in the source,"Huishan District, Wuxi City, Jiangsu Province, China",Coordinates delay,"Conference Room 5,2nd floor, Management Center of High-end Equipment Industrial Park, No.1 Chuanghui Road, Huishan District, Wuxi City",Coordinates delay,"Conference Room 5,2nd floor, Management Center of High-end Equipment Industrial Park, No.1 Chuanghui Road, Huishan District, Wuxi City",Coordinates delay,2023-05-26 13:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,Beijing Jianzhida Engineering Management Limited By Share Ltd
453fc7bd-0851-48d7-a1d8-e7fede96721d,1440-234JZDWX0002/05,Procurement of 1440-234JZDWX0002/05 The first batch of equipment procurement project for non-hydrogen-related laboratory equipment and hydrogen-related laboratory equipment of Tong-Hui Research Institute(1),2023-05-04,The first batch of equipment procurement project for non-hydrogen-related laboratory equipment and hydrogen-related laboratory equipment of Tong-Hui Research Institute,P,$180,Required field not presented in the source,"Huishan District, Wuxi City, Jiangsu Province, China",Coordinates delay,"Conference Room 5,2nd floor, Management Center of High-end Equipment Industrial Park, No.1 Chuanghui Road, Huishan District, Wuxi City",Coordinates delay,"Conference Room 5,2nd floor, Management Center of High-end Equipment Industrial Park, No.1 Chuanghui Road, Huishan District, Wuxi City",Coordinates delay,2023-05-26 13:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,Beijing Jianzhida Engineering Management Limited By Share Ltd
5e923f6b-aff0-48ba-97bc-e9f51c822b66,0712-234042303013,Procurement of 0712-234042303013 Ningbo Engineering North China Oil and gas on-line helium extraction engineering on-line analyzer(1),2023-05-04,Ningbo Engineering North China Oil and gas on-line helium extraction engineering on-line analyzer,P,$40,Required field not presented in the source,Shandong province,Coordinates delay,"21F, Tower A of IFC, No.268 MinAn East Road, Ningbo 315040, China.",Coordinates delay,"21F, Tower A of IFC, No.268 MinAn East Road, Ningbo 315040, China.",Coordinates delay,2023-05-25 09:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Sinopec International Co.,Ltd."
1bf2244d-d36f-4c78-b186-1c6e3f62187f,2465-234010100022,"Procurement of 2465-234010100022 ICB OF Imported core components of PYROLYSIS FURNACE FOR 400KTA VCM plant Under TIANJIN BOHUA CHEMICAL DEVELOPMENT CO., LTD. Chlor-Alkali Intergration Project Phase II(1)",2023-05-04,"ICB OF Imported core components of PYROLYSIS FURNACE FOR 400KTA VCM plant Under TIANJIN BOHUA CHEMICAL DEVELOPMENT CO., LTD. Chlor-Alkali Intergration Project Phase II",P,$120,Required field not presented in the source,"Tianjin,China",Coordinates delay,Online bid opening at https://www. chinabidding. com,Coordinates delay," Online bid opening at website of https://www. chinabidding.com  Detailed progress could be consulted with the web service hot line,or the Tendering Agent.",Coordinates delay,2023-05-25 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,Tianjin Bohai Chemical Industries Imp.&amp;Exp. Corp.
04c98ae7-8ddd-4e10-a04a-c663d59f0f1f,5140-234hnts20232,Procurement of 5140-234hnts20232 Old Town Printing Centre Project (Two-colour Offset Printing Press) (Second Tender)(1),2023-05-04,Old Town Printing Centre Project (Two-colour Offset Printing Press) (Second Tender),P,$72,Required field not presented in the source,"Old Town Development Zone of Chengmai County, Hainan Province",Coordinates delay,"Room 1602, Building 7, District 1, Nanyuan, Hainghaoting, Qiongshan District, Haikou, Hainan",Coordinates delay,"Room 1602, Building 7, District 1, Nanyuan, Hainghaoting, Qiongshan District, Haikou, Hainan",Coordinates delay,2023-05-25 09:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Hainan Tongshang Engineering Management Co., Ltd."
9d592f43-e7e5-4a0f-aa54-5f9325d01515,1200-234GB2023006,Procurement of 1200-234GB2023006 Baoting County Ankang Hospital Reconstruction and Expansion Project Upgrading and Renovation Project (Imported Medical Equipment)(1),2023-05-04,Baoting County Ankang Hospital Reconstruction and Expansion Project Upgrading and Renovation Project (Imported Medical Equipment),P,$80,Required field not presented in the source,"Hainan Province, China","19.2000001, 109.5999999","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988",2023-05-25 15:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Hainan government procurement Bidding co., LTD"
2e02ee12-2903-4a3e-9a96-7ad1b0aeae1b,3323-234JDN230412,Procurement of 3323-234JDN230412 one CNC Horizontal Machining Center + one Five-axis Vertical Machining Center + one Compound Machining System Procurement Project(2),2023-05-04,one CNC Horizontal Machining Center + one Five-axis Vertical Machining Center + one Compound Machining System Procurement Project,P,$70,Required field not presented in the source,Sichuan Province,Coordinates delay,"10/F No.163 Pingyun Rd. West of Huangpu Ave., Tianhe District, Guangzhou,P.R.C",Coordinates delay,"10/F No.163 Pingyun Rd. West of Huangpu Ave., Tianhe District, Guangzhou,P.R.C",Coordinates delay,2023-05-18 09:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-18,"Guangzhou GRG International Trading Co.,Ltd."
5ae1b1d9-2c0e-4947-9a38-7f08e3039210,2748-2340JSKF1806/02,Procurement of 2748-2340JSKF1806/02 Project for Purchasing Hemodialysis Machine (HD) and Hemodialysis Filtration (HDF) of the Development Zone District of The First People's Hospital of Lianyungang(1),2023-05-04,Project for Purchasing Hemodialysis Machine (HD) and Hemodialysis Filtration (HDF) of the Development Zone District of The First People's Hospital of Lianyungang,P,$120,Required field not presented in the source,Jiangsu,Coordinates delay,"Room 506, Building B3, Jiangsu Life Science and Technology Innovation Park, 9 Weidi Road, Qixia District, Nanjing, Jiangsu Province, China",Coordinates delay,"Room 506, Building B3, Jiangsu Life Science and Technology Innovation Park, 9 Weidi Road, Qixia District, Nanjing, Jiangsu Province, China",Coordinates delay,2023-05-25 10:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Jiangsu Science &amp; Technology Development Company Co., Ltd"
