$id,$type,id,vendorIdentifier,vendorName,contractId,contractName,projectEngineerManagerName,districtCode,districtDescription,countyCode,countyDescription,active,primeProjectId,federalAidProjectId,description,contractType,contractTypeDescription,minContractTypeDescription,projectTypeDescription,projectWorkTypeDescription,projectMixDescription,plannedProgramDescription,daysUsed,originalContractDays,holidays,totalTimeAdded,totalWeatherDays,tropicalWeatherAmount,weatherTypeOne,weatherTypeTwo,fundingType,categoryCode,categoryDescription,conventional,gisLink,mapUrl,workBeginDate,lettingLocation,hasEstimate,contractStatus,adjustedContractDays,currentContractDays,originalContractAmount,currentContractAmount,changeOrderAmount,estimatePaidToDate,percentChangeInDollar,percentChangeInTime,numberOfDaysFromFinalAcceptance,lettingDate,awardDate,executedDate,timeBeganDate,finalAcceptedDate,startDate,estimatedCompletion,residentEngineerName,residentOffice,projectAdministratorName,pendingAmount
11030945,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999215,F591641879,SEACOAST INCORPORATED,,E6L44,"Bolton, John",06,SIXTH,87,MIAMI-DADE,True,43652515201,N/A,SR826 SUNNY ISLES BLVD BRIDGE87170000,CC,CC-Const Contract,Construction Contracts,C,X6-Bridge Repair,BRIDGE-REPAIR/REHABILITATION,,342.0,600.0,21,29,8,0.0,0.0,8.0,State,G,$10M - $15M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2021-08-10T00:00:00Z,DIST,True,WORK BEGUN,29,629,10780329.18,10564636.64,-215692.54,6342365.01,-0.02,0.0,0,2020-11-19T00:00:00Z,2020-12-28T00:00:00Z,2021-01-13T00:00:00Z,2021-08-10T00:00:00Z,,2021-08-10T00:00:00Z,2023-05-07T00:00:00Z,,,,0.0
11030946,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999216,F650446255,"QUINN CONSTRUCTION, INC.",,E6K68,"Badri, Dru",06,SIXTH,87,MIAMI-DADE,True,43652615201,N/A,SR 934 NE 79 St. Bridge Repair Rehab87080000,CC,CC-Const Contract,Construction Contracts,C,X6-Bridge Repair,BRIDGE-REPAIR/REHABILITATION,,0.0,480.0,0,0,0,0.0,0.0,0.0,State,G,$10M - $15M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,,DIST,False,NTP ISSUED,0,480,14750000.0,14750000.0,0.0,0.0,0.0,0.0,0,2021-07-29T00:00:00Z,2021-09-13T00:00:00Z,2021-09-29T00:00:00Z,,,2021-09-29T00:00:00Z,2023-01-22T00:00:00Z,,,,0.0
11030947,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999217,F134122485,"FREYSSINET, INC.",,E6K61,"Sabbag, Tony",06,SIXTH,90,MONROE,True,43652315201,N/A,SR 5-OVERSEAS HI-WAY OVER CHANNEL 590050000,CC,CC-Const Contract,Construction Contracts,C,X6-Bridge Repair,BRIDGE-REPAIR/REHABILITATION,,496.0,900.0,28,100,72,0.0,0.0,72.0,State,F,$5M - $10M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2021-03-09T00:00:00Z,DIST,True,WORK BEGUN,100,1000,6267651.6,6267651.6,0.0,1060727.47,0.0,0.0,0,2020-08-27T00:00:00Z,2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,2021-03-09T00:00:00Z,,2021-03-09T00:00:00Z,2024-05-25T00:00:00Z,,,,0.0
11030948,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999218,F383993222,ARCHER WESTERN-DE MOYA JOINT VE,,E6J53,"Sequeira, Jacqueline",06,SIXTH,87,MIAMI-DADE,True,25168815201,3951501I,SR 836-I395   I-95-SR 836 MDX87060000,CDBF,CDBF-Const Design Build Finance,Design Build Contracts,C,X0-Interstate Construction (new),BRIDGE-REPLACE AND ADD LANES,,1379.0,1460.0,79,483,157,73511.57,0.0,157.0,Federal,H,Over $15M,False,True,https://data.fdot.gov/road/projects/#/ContractId=,2019-01-28T00:00:00Z,DIST,True,WORK BEGUN,483,1943,616139002.0,651452383.25,35313381.25,350586299.97,0.06,0.0,0,2017-04-24T00:00:00Z,2018-05-22T00:00:00Z,2018-07-12T00:00:00Z,2018-10-29T00:00:00Z,,2019-01-28T00:00:00Z,2023-03-03T00:00:00Z,,,,0.0
11030949,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999219,F042534615,MIDDLESEX CORPORATION (THE),,E5Z93,"Flipse, Ryan",05,FIFTH,75,ORANGE,True,44114615201,N/A,SR535/KISSIMMEE VINELAND RD (STA)75035000,CC,CC-Const Contract,Construction Contracts,C,X3-Resurfacing,RESURFACING,,504.0,400.0,25,68,19,0.0,0.0,19.0,State,F,$5M - $10M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2021-03-01T00:00:00Z,DIST,True,WORK BEGUN,68,468,9255195.0,9487814.74,232619.74,9366424.23,0.03,0.0,0,2020-09-01T00:00:00Z,2020-09-21T00:00:00Z,2020-10-08T00:00:00Z,2021-03-01T00:00:00Z,,2021-03-01T00:00:00Z,2022-05-10T00:00:00Z,,,,0.0
11030950,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999220,F591742990,"SOUTHLAND CONSTRUCTION, INC.",,E5Z33,"Flipse, Ryan",05,FIFTH,92,OSCEOLA,True,23971415201,N/A,SR 600 US 17/92 1900' W OF POINCIANA BLVD TO CR 53592010000 - SR 600 US 17/92 1900' W OF POINCIANA BLVD TO CR 5,CC,CC-Const Contract,Construction Contracts,C,X4-Widening & Resurfacing,ADD LANES & RECONSTRUCT,,1273.0,1000.0,72,264,79,30038.03,0.0,73.0,State,H,Over $15M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2019-02-05T00:00:00Z,DIST,True,WORK BEGUN,264,1264,23467500.98,24323312.83,855811.85,22659956.78,0.04,0.0,0,2018-10-02T00:00:00Z,2018-10-22T00:00:00Z,2018-11-05T00:00:00Z,2019-02-05T00:00:00Z,,2019-02-05T00:00:00Z,2021-11-16T00:00:00Z,,,,0.0
11030951,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999221,F060421150,LANE CONSTRUCTION CORPORATION (THE),,E5Z18,"Vallier, Rick",05,FIFTH,77,SEMINOLE,True,24020045201,D517015B,SR 429 (WEKIVA PKWY)77320000 - SR 429 (WEKIVA PKWY),CDB,CDB-Const Design Build,Design Build Contracts,C,X1-New Construction,NEW ROAD CONSTRUCTION,,1361.0,1400.0,101,313,41,23311.12,0.0,41.0,Federal,H,Over $15M,False,False,https://data.fdot.gov/road/projects/#/ContractId=,2018-10-26T00:00:00Z,DIST,True,NTP ISSUED,313,1713,253332000.0,255308434.55,1976434.55,204676707.55,0.01,0.0,0,2018-08-22T00:00:00Z,2018-09-14T00:00:00Z,2018-09-28T00:00:00Z,2018-10-26T00:00:00Z,,2018-10-26T00:00:00Z,2022-09-30T00:00:00Z,,,,0.0
11030952,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999222,F455312119,THE STOUT GROUP LLC,,E6L97,"Hitchman, Juan",06,SIXTH,87,MIAMI-DADE,True,44596315201,N/A,DISTRICTWIDE DRAINAGE PUSHBUTTONMidpoint,CPB,CPB-Const Push Button,Push Button Contracts,C,X8-Miscellaneous Construction,DRAINAGE IMPROVEMENTS,,366.0,730.0,0,0,0,0.0,0.0,0.0,State,D,$1M - $2M,True,False,https://data.fdot.gov/road/projects/#/ContractId=,,DIST,True,EXECUTED,0,730,1000000.0,1000000.0,0.0,251211.98,0.0,0.0,0,2020-05-28T00:00:00Z,2020-06-15T00:00:00Z,2020-06-24T00:00:00Z,2020-08-22T00:00:00Z,,2020-08-22T00:00:00Z,2022-09-26T00:00:00Z,,,,0.0
11030953,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999223,F590753039,"WEEKLEY ASPHALT PAVING, INC.",,E6N02,"Caicedo, Igor",06,SIXTH,99,DIST/ST-WIDE,True,42953655201,N/A,PUSHBUTTON - PEDESTRIAN SAFETY IMPROVEMENTMidpoint,CPB,CPB-Const Push Button,Push Button Contracts,C,X8-Miscellaneous Construction,PEDESTRIAN SAFETY IMPROVEMENT,,245.0,730.0,0,0,0,0.0,0.0,0.0,State,C,$500K - $1M,True,False,https://data.fdot.gov/road/projects/#/ContractId=,,DIST,True,EXECUTED,0,730,685487.0,685487.0,0.0,97788.68,0.0,0.0,0,2021-01-28T00:00:00Z,2021-03-01T00:00:00Z,2021-03-08T00:00:00Z,2021-06-04T00:00:00Z,,2021-06-04T00:00:00Z,2023-06-10T00:00:00Z,,,,0.0
11030954,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999224,F470530367,KIEWIT INFRASTRUCTURE SOUTH CO.,,E6N08,"Badri, Dru",06,SIXTH,87,MIAMI-DADE,True,44196015201,N/A,BRIDGEREPAIR/REHAB87061000,CC,CC-Const Contract,Construction Contracts,C,X6-Bridge Repair,BRIDGE-REPAIR/REHABILITATION,,0.0,450.0,0,0,0,0.0,0.0,0.0,State,E,$2M - $5M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-06-27T00:00:00Z,DIST,False,WORK BEGUN,0,450,2813265.0,2813265.0,0.0,0.0,0.0,0.0,0,2022-01-27T00:00:00Z,2022-02-22T00:00:00Z,2022-03-03T00:00:00Z,2022-06-27T00:00:00Z,,2022-06-27T00:00:00Z,2023-09-20T00:00:00Z,,,,0.0
11030955,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999225,F834649779,AGI DE MOYA JOINT VENTURE,,E6N17,"Espinal, Enmanuel",06,SIXTH,87,MIAMI-DADE,True,44716515201,N/A,SR 826/PALMETTO EXWY MANAGED LANES MODIFICATION87260000,CDB,CDB-Const Design Build,Design Build Contracts,C,X2-Reconstruction,ADD LANES & RECONSTRUCT,,203.0,900.0,4,4,0,0.0,0.0,0.0,State,H,Over $15M,False,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-03-20T00:00:00Z,DIST,True,WORK BEGUN,4,904,66054600.0,66033717.51,-20882.49,12969635.73,0.0,0.0,0,2021-09-13T00:00:00Z,2021-10-21T00:00:00Z,2021-11-05T00:00:00Z,2022-01-31T00:00:00Z,,2022-03-20T00:00:00Z,2024-10-10T00:00:00Z,,,,0.0
11030956,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999226,F261871966,AJAX PAVING INDUSTRIES OF FLORIDA LLC,,E7P03,"Matthews, Tyler",07,SEVENTH,08,HERNANDO,True,44006415201,N/A,SR 700 (US 98) - RESURFACINGUS 98 (Ponce De Leon Blvd) Repaving from N Landfill Road to,CC,CC-Const Contract,Construction Contracts,C,X3-Resurfacing,RESURFACING,,0.0,80.0,0,0,0,0.0,0.0,0.0,State,D,$1M - $2M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-08-08T00:00:00Z,DIST,False,WORK BEGUN,0,80,1909662.22,1909662.22,0.0,0.0,0.0,0.0,0,2022-04-13T00:00:00Z,2022-04-29T00:00:00Z,2022-05-09T00:00:00Z,2022-08-08T00:00:00Z,,2022-08-08T00:00:00Z,2022-10-27T00:00:00Z,,,,0.0
11030957,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999227,F273534317,"GOSALIA CONCRETE CONSTRUCTORS, INC.",,E7P02,"Maghrebi, Ghada",07,SEVENTH,10,HILLSBOROUGH,True,44146915201,N/A,HILLSBOROUGH COUNTY BRIDGE PRESERVATION REHABBridge Maintenance Hillsborough County Multiple Locations,CC,CC-Const Contract,Construction Contracts,C,X6-Bridge Repair,BRIDGE-REPAIR/REHABILITATION,,0.0,200.0,0,0,0,0.0,0.0,0.0,State,E,$2M - $5M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,,DIST,False,NTP ISSUED,0,200,2611346.45,2611346.45,0.0,0.0,0.0,0.0,0,2022-05-11T00:00:00Z,2022-06-06T00:00:00Z,2022-06-13T00:00:00Z,,,2022-06-13T00:00:00Z,2022-12-30T00:00:00Z,,,,0.0
11030958,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999228,F592361020,"M & J CONSTRUCTION COMPANY OF PINELLAS COUNTY, INC.",,E7O19,"Ebner, Josh",07,SEVENTH,10,HILLSBOROUGH,True,44383415201,N/A,BRIDGE SUBSTRUCTURE REPAIRSUBSTRUCTURE REPAIRS BRIDGE #100358 & #100359 OVER ALIFIA,CC,CC-Const Contract,Construction Contracts,C,X6-Bridge Repair,BRIDGE-REPAIR/REHABILITATION,,40.0,200.0,0,0,0,0.0,0.0,0.0,State,D,$1M - $2M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-07-13T00:00:00Z,DIST,True,WORK BEGUN,0,200,1155839.54,1155839.54,0.0,282977.39,0.0,0.0,0,2021-12-08T00:00:00Z,2022-01-07T00:00:00Z,2022-01-14T00:00:00Z,2022-07-13T00:00:00Z,,2022-07-13T00:00:00Z,2023-03-05T00:00:00Z,,,,0.0
11030959,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999229,F591683951,"C.W. ROBERTS CONTRACTING, INC.",,E7O11,"Matthews, Tyler",07,SEVENTH,02,CITRUS,True,44166515201,N/A,SR 44 - RESURFACINGSR 44 Resurfacing from US 19 to NE 10th Ave.,CC,CC-Const Contract,Construction Contracts,C,X3-Resurfacing,RESURFACING,,0.0,180.0,0,0,0,0.0,0.0,0.0,State,E,$2M - $5M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,,DIST,False,NTP ISSUED,0,180,3049631.29,3049631.29,0.0,0.0,0.0,0.0,0,2022-02-09T00:00:00Z,2022-03-04T00:00:00Z,2022-03-18T00:00:00Z,,,2022-03-18T00:00:00Z,2022-09-14T00:00:00Z,,,,0.0
11030960,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999230,F820821263,"AJ GENERAL CONSTRUCTION SERVICES, INC.",,E7O04,"Ostoski, Julie",07,SEVENTH,15,PINELLAS,True,43952615201,N/A,SR 699/GULF BLVD DRAINAGE IMPROVEMENTSFROM 36TH AVE TO 131ST AVE,CC,CC-Const Contract,Construction Contracts,C,Z-Other,DRAINAGE IMPROVEMENTS,,90.0,210.0,3,3,0,0.0,0.0,0.0,State,D,$1M - $2M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-04-19T00:00:00Z,DIST,True,WORK BEGUN,3,213,1944266.42,1944266.42,0.0,939926.31,0.0,0.0,0,2021-09-08T00:00:00Z,2021-10-01T00:00:00Z,2021-10-15T00:00:00Z,2022-04-19T00:00:00Z,,2022-04-19T00:00:00Z,2022-12-20T00:00:00Z,,,,0.0
11030961,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999231,F263552913,"SUPERIOR CONSTRUCTION COMPANY SOUTHEAST, LLC",,E7O03,"Ostoski, Julie",07,SEVENTH,15,PINELLAS,True,43050015201,N/A,SR 687 (4TH STREET) - BRIDGE REPLACEMENTFROM BIG ISLAND GAP TO I-275/SR 93,CC,CC-Const Contract,Construction Contracts,C,X5-Bridge Construction,BRIDGE REPLACEMENT,,189.0,690.0,4,12,8,0.0,0.0,8.0,State,F,$5M - $10M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-01-10T00:00:00Z,DIST,True,WORK BEGUN,12,702,8992000.0,8992000.0,0.0,2425033.52,0.0,0.0,0,2021-07-14T00:00:00Z,2021-07-30T00:00:00Z,2021-08-16T00:00:00Z,2022-01-10T00:00:00Z,,2022-01-10T00:00:00Z,2024-01-05T00:00:00Z,,,,0.0
11030962,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999232,F273534317,"GOSALIA CONCRETE CONSTRUCTORS, INC.",,E7O02,"Ebner, Josh",07,SEVENTH,10,HILLSBOROUGH,True,43724915201,N/A,US 92 - DRAINAGE IMPROVEMENTSFR NEPTUNE STREET TO HENDERSON BLVD,CC,CC-Const Contract,Construction Contracts,C,X8-Miscellaneous Construction,DRAINAGE IMPROVEMENTS,,1.0,322.0,0,0,0,0.0,0.0,0.0,State,E,$2M - $5M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,,DIST,True,NTP ISSUED,0,322,4833500.0,4833500.0,0.0,235000.0,0.0,0.0,0,2021-10-13T00:00:00Z,2021-10-29T00:00:00Z,2021-11-03T00:00:00Z,,,2021-11-03T00:00:00Z,2022-09-22T00:00:00Z,,,,0.0
11030963,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999233,F591742990,"SOUTHLAND CONSTRUCTION, INC.",,E7O01,"Babb, Cleo",07,SEVENTH,08,HERNANDO,True,44283515201,N/A,SR 50 ADD LANES AND RECONSTRUCTFROM US 301/SR 35 TO HERNANDO/SUMTER COUNTY LINE,CC,CC-Const Contract,Construction Contracts,C,X2-Reconstruction,ADD LANES & RECONSTRUCT,,242.0,1000.0,15,23,8,0.0,0.0,8.0,State,H,Over $15M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2021-11-18T00:00:00Z,DIST,True,WORK BEGUN,23,1023,41509000.0,41538804.14,29804.14,11035818.81,0.0,0.0,0,2021-07-14T00:00:00Z,2021-07-30T00:00:00Z,2021-08-03T00:00:00Z,2021-11-18T00:00:00Z,,2021-11-18T00:00:00Z,2024-09-18T00:00:00Z,,,,0.0
11030964,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999234,F581401468,PREFERRED MATERIALS INC.,,E7N95,"Ebner, Josh",07,SEVENTH,10,HILLSBOROUGH,True,44025115201,N/A,SR 60 BRANDON BLVDFROM N/S VALRICO RD TO TURKEY CREEK RD,CC,CC-Const Contract,Construction Contracts,C,X3-Resurfacing,RESURFACING,,127.0,240.0,4,16,12,0.0,0.0,12.0,State,F,$5M - $10M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-04-18T00:00:00Z,DIST,True,WORK BEGUN,16,256,6430299.0,6430299.0,0.0,3370466.55,0.0,0.0,0,2021-12-08T00:00:00Z,2022-01-07T00:00:00Z,2022-01-19T00:00:00Z,2022-04-17T00:00:00Z,,2022-04-18T00:00:00Z,2023-01-18T00:00:00Z,,,,0.0
