Tender,Company,Procurement,Notice,Location,Closing,Value,Date
RFQ Evaluation of the LEADER Local Action Group Programmes for Cornwall,CORNWALL DEVELOPMENT COMPANY LTD,  Opportunity,  Open,  South West,"  12 September 2022, 12pm","  £30,000",  22 August 2022
North Northamptonshire Council - Residential and Nursing Care Homes,North Northamptonshire Council,  Opportunity,  Open,  East Midlands,"  24 August 2022, 12pm","  £117,840,000","  14 July 2022, last edited 22 August 2022"
NCC976 Allerburn Labour Only Brickwork Retender,Advance Northumberland Limited,  Opportunity,  Open,  North East,"   1 September 2022, 12pm","  £224,812",  22 August 2022
Water Hygiene Services,Rushmoor Borough Council,  Opportunity,  Open,  England,"   2 September 2022,  2pm",  £0,"  28 July 2022, last edited 22 August 2022"
Joint Waste Strategy Consultation,Wirral Borough Council,  Opportunity,  Open,  England,"  23 September 2022, 12pm","  £125,000",  22 August 2022
SLS Autoclave Replacements,The University of Warwick,  Opportunity,  Open,  CV4 8UW,"  20 September 2022, 12pm","  £0 to £215,000",  22 August 2022
"Stations Alliance PC (Altrincham, Heaton Chapel & Trafford Park)",Northern Trains Ltd,  Opportunity,  Open,  YO1 6HZ,"  16 September 2022,  2pm",  £0,"   8 August 2022, last edited 22 August 2022"
HDC Capitol Theatre - Supply and Install of Dimmers and Lighting Equipment,Horsham District Council,  Opportunity,  Open,  RH12 1RL,"   3 October 2022, 12pm",  £0,"  22 August 2022, last edited 22 August 2022"
Invitation to create a health tech application linking mental health and counselling services with the NHS,INSPIRED NEIGHBOURHOODS C.I.C.,  Opportunity,  Open,  BD10 9LD,"   2 September 2022,  5pm","  £100,000","  22 August 2022, last edited 22 August 2022"
Consultancy Services for Party Wall Matters & Professional Advice,London Borough of Hillingdon,  Opportunity,  Open,  London,"  14 September 2022, 12pm","  £70,000",  22 August 2022
Conflict Management and Lone Working Training,capitalEsourcing,  Opportunity,  Open,  W8 7NX,"   4 October 2022,  8am","  £20,000",  22 August 2022
National Framework Agreement for the Provision of Natural Gas,Countess Of Chester Hospital,  Opportunity,  Open,  United Kingdom,"  20 September 2022, 12pm","  £100,000,000","  28 July 2022, last edited 22 August 2022"
Tender for Supply of Construction Material and Equipment,"Chemonics International, Inc.",  Opportunity,  Open,"  Europe, Rest of the World","  26 August 2022,  9pm","  £50,000","  12 August 2022, last edited 22 August 2022"
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),London Borough of Haringey - Housing Services and Building Safety - Playle,  Opportunity,  Open,  United Kingdom,"   9 September 2022, 12pm","  £20,000 to £30,000","  11 August 2022, last edited 22 August 2022"
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),London Borough of Haringey - Housing Services and Building Safety - Playle,  Opportunity,  Open,  United Kingdom,"   2 September 2022, 12pm","  £70,000 to £100,000","  11 August 2022, last edited 22 August 2022"
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),London Borough of Haringey - Housing Services and Building Safety - Playle,  Opportunity,  Open,  United Kingdom,"   2 September 2022, 12pm","  £42,000 to £55,000","  11 August 2022, last edited 22 August 2022"
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),London Borough of Haringey - Housing Services and Building Safety - Playle,  Opportunity,  Open,  United Kingdom,"   2 September 2022, 12pm","  £40,000 to £60,000","  11 August 2022, last edited 22 August 2022"
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),London Borough of Haringey - Housing Services and Building Safety - Playle,  Opportunity,  Open,  United Kingdom,"   2 September 2022, 12pm","  £15,000 to £100,000","  17 August 2022, last edited 22 August 2022"
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),Homes for Haringey,  Opportunity,  Open,  United Kingdom,"   2 September 2022, 12pm","  £30,000 to £60,000","  15 August 2022, last edited 22 August 2022"
DUD - Fire Auditing and Consultancy,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"  21 September 2022, 12pm","  £50,000 to £200,000",  22 August 2022
Provision of Holiday Activity and Food Programme,Blackpool Council,  Opportunity,  Open,  fy1 3ah,"  30 September 2022, 12pm",  £0,  22 August 2022
Vimeo subscription,Health Education England,  Opportunity,  Open,  LS1 4PL,"   2 September 2022, 12pm","  £17,283.47",  22 August 2022
GB-London: GEN_22_78 - Parliamentary Monitoring Services,National Audit Office,  Opportunity,  Open,  London,"  12 September 2022, 12pm","  £50,000 to £100,000",  22 August 2022
Invitation to Tender for Footpath Renovation works,Rossendale Borough Council,  Opportunity,  Open,  ol13 0bb,"  12 September 2022, 12pm","  £10,000",  22 August 2022
C8299 Sue Hedley Nursery/Hebburn EE Centre  Building Upgrades,South Tyneside Council,  Opportunity,  Open,  North East,"  16 September 2022, 12pm","  £800,000 to £900,000",  22 August 2022
GB-Shrewsbury: RQCV 019 - Insolvency Support Services,Shropshire Council,  Opportunity,  Open,  West Midlands,"   8 September 2022, 12pm","  £25,000 to £50,000",  22 August 2022
3470.EFM.SW.22 University Arms External Envelope,UNIVERSITY OF SHEFFIELD,  Opportunity,  Open,  Yorkshire and the Humber,"   5 September 2022, 12pm","  £290,000",  22 August 2022
Service and Maintenance of Roller Shutter Doors,Swindon Borough Council,  Opportunity,  Open,  England,"  26 September 2022,  3pm","  £135,000",  22 August 2022
Family Food programme - Market engagement event,Doncaster Council,  Opportunity,  Open,  DN1 3BU,"  31 August 2022, 12pm",  £0 to £1,  22 August 2022
NTU/22/2267/MP,NOTTINGHAM TRENT UNIVERSITY,  Opportunity,  Open,  DE15 5BH,"   2 September 2022, 12pm","  £600,000",  22 August 2022
"KMCHG-012 Affordable Housing Build Scheme, Sixth Avenue, Liversedge",Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  10 October 2022,  1pm","  £1,400,000 to £1,400,001",  22 August 2022
Invitation to tender for provision of  Legal Services,Falmouth Exeter Plus,  Opportunity,  Open,  South West,"  14 September 2022, 12pm","  £30,000 to £100,000",  22 August 2022
GB-Friday Bridge: Sewerage Treatment Works Replacement Scheme 2022/2023,Fenland District Council,  Opportunity,  Open,  East of England,"  29 September 2022, 12pm","  £50,000 to £100,000","  22 August 2022, last edited 22 August 2022"
NTCA Child Poverty Prevention Project - Family Learning,North Tyneside Council,  Opportunity,  Open,  England,"   2 September 2022, 12pm","  £157,500",  22 August 2022
Tree and woodland management works,Church Crookham Parish Council,  Opportunity,  Open,  GU52,"  14 September 2022, 11:59pm","  £250,000 to £350,000","  17 August 2022, last edited 22 August 2022"
CA10994 - Tender 47/2022 - Development of ITT Specifications for a range of AONB projects,"Newry, Mourne and Down District Council (NMD)",  Opportunity,  Open,  BT35 8DJ,"   6 September 2022, 12pm","  £15,000",  22 August 2022
"NCC1005 Allerburn Drylining, Mechanical & Labour Only Joinery Subcontractors",Advance Northumberland Limited,  Opportunity,  Open,  North East,"  19 September 2022, 11:59pm",  £0,  22 August 2022
NTCA Child Poverty Prevention Programme pillar 1 - Afterschool clubs,North Tyneside Council,  Opportunity,  Open,  England,"   2 September 2022, 12pm","  £157,500",  22 August 2022
The City of Liverpool College - T Levels Equipment - Construction,The City of Liverpool College,  Opportunity,  Open,  L13 0BQ,"   5 September 2022, 12pm","  £0 to £110,000",  22 August 2022
E Learning Software (Bespoke Career Software),University Of Bedfordshire,  Opportunity,  Open,  LU1 3JU,"  31 August 2022, 12pm",  £0,"  19 July 2022, last edited 22 August 2022"
(PIN) Individual Placement and Support Training & Workforce Initiatives,Health Education England,  Opportunity,  Open,  LS1 4PL,"   1 September 2022, 12pm","  £495,000",  22 August 2022
"C-012258 Supply of Furniture, White Goods, Domestic Equipment and Household Furnishings",Your Homes Newcastle Ltd,  Early engagement,  Open,  North East,   5 September 2022,Publication date 22 August 2022,None
GB-London: Identifying and promoting green growth opportunities,Local Government Association,  Opportunity,  Open,  London,"  19 September 2022,  5pm","  £10,000 to £25,000",  22 August 2022
Arboricultural Services Framework,Chelmsford City Council,  Opportunity,  Open,  East of England,"  21 September 2022, 12pm","  £500,000",  22 August 2022
Cambridge City Council - Crematorium Car Park and Café Construction,Cambridge City Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm","  £650,000",  22 August 2022
Kings Lynn Maintenance Compound,Highways England,  Future opportunity,  Open,  East of England,Approach to market date 22 August 2022,"  £3,250,000","  22 August 2022, last edited 22 August 2022"
TC684 - Framework Agreement - Sensory Equipment,Manchester City Council,  Opportunity,  Open,  England,"  22 September 2022, 11am","  £440,000",  22 August 2022
Energy Helpline,Milton Keynes Council,  Early engagement,  Open,  MK9 3EJ,   2 September 2022,Publication date 22 August 2022,None
Viability of developing a screening tool to assess non-standard bioaccumulation potential of chemical substances in aquatic and terrestrial wildlife,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,  Opportunity,  Open,  United Kingdom,"  16 September 2022,  5pm","  £20,000",  22 August 2022
GB-Worthing: Fraser Court - Roof Covering,Adur District Council,  Opportunity,  Open,  South East,"  16 September 2022,  2pm","  £100,000 to £500,000",  22 August 2022
Mediation and Assessment Service for Housing,SOUTHAMPTON CITY COUNCIL,  Opportunity,  Open,  South East,"  22 September 2022, 12pm","  £50,000","  22 August 2022, last edited 22 August 2022"
Provision of overlaying/resurfacing/reconstruction of levels of car park areas/patching works at three locations in West Suffolk,West Suffolk Council,  Opportunity,  Open,  IP33 3YU,"  14 October 2022, 12pm",  £0,  22 August 2022
Provision of Ventnor Harbour Management,Isle of Wight Council,  Opportunity,  Open,  South East,"  27 September 2022,  2pm","  £485,775",  22 August 2022
Repointing Programme,Beyond Housing,  Opportunity,  Open,  YO12 7BH,"  12 September 2022, 12pm",  £0,"  22 August 2022, last edited 22 August 2022"
Outcome Indicator Framework Wildlife Indicator Development,Defra Network eTendering Portal,  Opportunity,  Open,  Any region,"  12 September 2022, 12pm",  £0,"   8 August 2022, last edited 22 August 2022"
Procurement of 2 x Cryocoolers for a Cryo-mechanical Test Rig,United Kingdom Atomic Energy Authority,  Opportunity,  Open,  Any region,"   7 September 2022, 12pm","  £75,000 to £85,000",  22 August 2022
Purchase of Power Tools for the Conservation of HMS Victory,THE NATIONAL MUSEUM OF THE ROYAL NAVY,  Opportunity,  Open,  PO1 3NH,"  31 August 2022, 12pm","  £100,000","  26 July 2022, last edited 22 August 2022"
"UKRI-2099 Doors Maintenance, Reactive Works and Remedial Works",UK Research and Innovation,  Opportunity,  Open,  South East,"  29 September 2022,  3pm","  £466,000",  22 August 2022
"North East LEP Film, Audio and Video Production framework",North Tyneside Council,  Opportunity,  Open,  England,"   2 September 2022, 12pm","  £100,000","  19 August 2022, last edited 22 August 2022"
"NWB - Parking, Welcome Street Atherstone",North Warwickshire Borough Council (NWB),  Opportunity,  Open,  CV9 1DE,"   9 September 2022, 12pm",  £0,  22 August 2022
Community Engagement Commission,Tewkesbury Borough Council,  Opportunity,  Open,  GL20 5TT,"  19 September 2022,  9am","  £40,000 to £60,000",  22 August 2022
SYMCA Fire risk assessment 3 year Contract,South Yorkshire Mayoral Combined Authority Group,  Opportunity,  Open,  England,"  22 August 2022, 11:59pm","  £25,000","   1 July 2022, last edited 22 August 2022"
Bickershaw Phase 4 Slow the Flow and Environmental Works,Wigan Council,  Opportunity,  Open,  North West,"  16 September 2022,  5pm","  £140,000",  22 August 2022
Lift refurbishment in Felixstowe,Flagship Housing Group,  Opportunity,  Open,  East of England,"  27 September 2022,  2pm","  £71,000",  22 August 2022
Prior Information Notice -  Timetabling and Scheduling,The University of Manchester,  Opportunity,  Open,  M13 9PL,"  31 August 2022, 12pm",  £0,"   4 August 2022, last edited 22 August 2022"
Radford House Principal Designer,Ramsgate Town Council,  Opportunity,  Open,  CT11 9AT,"   5 September 2022, 12pm","  £1 to £100,000","  18 August 2022, last edited 22 August 2022"
GB-Middlesbrough: ERDF - NZIIC Universal Tester with Environmental Chamber,Teesside University,  Opportunity,  Open,  North East,"  12 September 2022,  5pm","  £50,000 to £100,000",  22 August 2022
Principal Contractor - Principal contractor - Heritage (20% VAT),"Royal Botanical Gardens, Kew",  Opportunity,  Open,  United Kingdom,"   5 September 2022,  5pm","  £30,000",  22 August 2022
COV - Woodlands Redevelopment - Main Contractor,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  21 September 2022,  2pm","  £0 to £15,900,000",  22 August 2022
Supply of Medical Equipment for the State Emergency Services Ukraine,"Chemonics International, Inc.",  Opportunity,  Open,"  Europe, Rest of the World","   5 September 2022, 10pm","  £1 to £40,000",  22 August 2022
E-Procurement Software (PIN),THE NATIONAL MUSEUM OF THE ROYAL NAVY,  Early engagement,  Open,  PO1 3NH,  30 September 2022,"Publication date 25 July 2022, last edited 22 August 2022",None
Feasibility Study for a Healthcare Social Innovation Incubator in Basildon,Basildon Borough Council,  Opportunity,  Open,  East of England,"   9 September 2022, 12pm","  £40,000 to £49,999","  11 August 2022, last edited 22 August 2022"
RFI - British Library AGV/AMR Solution,British Library,  Opportunity,  Open,  Any region,"  12 September 2022, 12am","  £340,000",  22 August 2022
RFP NO. MMB/04/08/2022 TO SOURCE FOR THE RE-PACKING AND DISTRIBUTION OF THE 2022/23 EXPANDED PILOT MATERIALS.,MOTT MACDONALD LIMITED,  Opportunity,  Open,  Rest of the World,"  31 August 2022,  6am","  £18,000 to £30,000","   4 August 2022, last edited 22 August 2022"
Catering and Refrigeration Maintenance,LIFECYCLE MANAGEMENT GROUP LIMITED,  Opportunity,  Open,  London,"  21 September 2022,  2pm",  £0,  22 August 2022
Impartial Support Advice and Information on Disability Service for Children and Young People,London Borough of Ealing,  Early engagement,  Open,  England,  22 November 2022,Publication date 22 August 2022,None
"Essential Skills Training - Equality, Diversity, and Inclusivity Category (EDI)",London Borough of Merton,  Opportunity,  Open,  England,"  20 September 2022, 12pm",  £0,  22 August 2022
Private Markets Risk System ITN,LONDON LGPS CIV LIMITED,  Opportunity,  Open,  SE10NZ,"  13 October 2022,  5pm","  £20,000","  17 August 2022, last edited 22 August 2022"
Skipwith Close & 21st Avenue Footpath Reconstruction,Hull City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  21 September 2022, 12pm","  £60,000 to £65,000",  22 August 2022
Chillingham Road Primary School - Lift Installation/Alteration Works,Your Homes Newcastle Ltd,  Opportunity,  Open,  North East,"   5 September 2022, 12pm","  £100,000 to £200,000",  22 August 2022
Performing Arts Qualification Tender,Nottingham College,  Opportunity,  Open,  NG9 4AH,"  16 September 2022, 12:04pm",  £0,"  19 August 2022, last edited 21 August 2022"
GB-London: T1302 - Guidance on limits of freight train trailing length as governed by tractive effort,RSSB,  Opportunity,  Open,  London,"   2 September 2022,  2pm","  £100,000 to £500,000","   3 August 2022, last edited 21 August 2022"
Early Years Foundation Stage (EYFS) Engagement Partner,Department for Education,  Early engagement,  Open,  Any region,  30 August 2022,"Publication date 15 August 2022, last edited 19 August 2022",None
Targeted Mental Health and Emotional Wellbeing Service for vulnerable Children and Young People within priority groups who have identified emotional health and well-being needs,London Borough of Brent,  Opportunity,  Open,  HA9 0FJ,"   6 September 2022, 11am","  £1,749,568","  22 July 2022, last edited 19 August 2022"
GB-London: National Portrait Gallery Public Relations Agency Tender,National Portrait Gallery,  Opportunity,  Open,  London,"  12 September 2022, 12pm","  £25,000 to £50,000","   3 August 2022, last edited 19 August 2022"
"Abri Heating, Ventilation And Air Conditioning (HVAC) Services",Abri,  Opportunity,  Open,  SO50 6AD,"  19 September 2022, 12pm","  £0 to £1,600,000","  19 August 2022, last edited 19 August 2022"
WP3854 - Pathway 1 - Responsive Model,Walsall Council e-Tendering,  Opportunity,  Open,  WS1 1TP,"  30 August 2022,  5pm","  £200,000 to £400,000",  19 August 2022
Estates and Financial Management Commercial Agent,Joint Procurement Service for Surrey and Sussex Police,  Opportunity,  Open,  South East,"  19 September 2022, 12pm","  £250,000 to £3,000,000",  19 August 2022
PROCUREMENT OF FLEET TYRES,Braintree District Council,  Opportunity,  Open,  East of England,"  28 August 2022, 12pm","  £500,000","  29 July 2022, last edited 19 August 2022"
LC/009 - OPEN - Low Carbon Methodology,SparkFund,  Opportunity,  Open,  Yorkshire and the Humber,"   9 September 2022, 12pm","  £0 to £3,800",  19 August 2022
P273 - GRP Composition RTM Injection Machine,SparkFund,  Opportunity,  Open,  Yorkshire and the Humber,"   9 September 2022, 12pm","  £0 to £20,000",  19 August 2022
P274 - Vehicle Weighing System,SparkFund,  Opportunity,  Open,  Yorkshire and the Humber,"   9 September 2022, 12pm","  £0 to £3,500",  19 August 2022
Provision and Installation of Goods Lift at Fleet Air Arm Museum's Cobham Hall,NMRN Operations,  Opportunity,  Open,  South West,"  30 September 2022, 12pm",  £0,  19 August 2022
P272 - Fingerprint Algorithm Operating Platform Development,SparkFund,  Opportunity,  Open,  Yorkshire and the Humber,"   9 September 2022, 12pm","  £0 to £55,000",  19 August 2022
Early Years Covid Recovery Childminder Mentor Programme,Department for Education,  Future opportunity,  Open,  Any region,Approach to market date 14 September 2022,  £0,"  19 August 2022, last edited 19 August 2022"
Framework for Adaptations Works for Residents of Southend 2022,Southend-on-Sea Borough Council,  Opportunity,  Open,  England,"  20 September 2022, 12pm","  £5,600,000",  19 August 2022
Balearic Shearwater Monitoring Project,JNCC SUPPORT CO,  Opportunity,  Open,  South West,"   2 September 2022,  4pm","  £17,000",  19 August 2022
NWL0130 Provision of Community Paediatrics Services in Harrow,NHS North West London,  Early engagement,  Open,  NW1 5JD,  19 September 2022,Publication date 19 August 2022,None
NWL0129 Provision of Adult ADHD Assessment and Treatment Services in North West London,NHS North West London,  Early engagement,  Open,  NW1 5JD,  19 September 2022,Publication date 19 August 2022,None
NWL0128 Provision of Community Ophthalmology Services in Harrow,NHS North West London,  Early engagement,  Open,  NW1 5JD,  19 September 2022,Publication date 19 August 2022,None
NWL0127 Provision of Community ENT Services in Harrow,NHS North West London,  Early engagement,  Open,  NW1 5JD,  19 September 2022,Publication date 19 August 2022,None
NWL0126 Provision of Community Gastroenterology Services in Harrow,NHS North West London,  Early engagement,  Open,  HA5 3EE,  19 September 2022,"Publication date 19 August 2022, last edited 19 August 2022",None
"NWL0125 Provision of MSK Community Services (including Community MSK Orthopaedics, Community MSK Rheumatology, Community MSK Physiotherapy (both Direct Access - GP Referrals and MSK Pathway), Community MSK Spinal Triage) in Harrow",NHS North West London,  Early engagement,  Open,  NW1 5JD,  19 September 2022,Publication date 19 August 2022,None
NWL0124 Provision of Community Neurology (Headache) Service in Harrow,NHS North West London,  Early engagement,  Open,  NW1 5JD,  19 September 2022,Publication date 19 August 2022,None
Office for Product Safety and Standards (OPSS): Testing of up to 100 battery chargers to verify compliance with applicable safety regulations,"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  Any region,"   2 September 2022, 11:59pm","  £80,000",  19 August 2022
Council Staff Travel Solution,Torbay Council,  Opportunity,  Open,  TQ1 3DR,"  21 September 2022, 12pm","  £127,000 to £350,000",  19 August 2022
AGEMCSU Resource and Project Management Tool,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  East Midlands,"  19 September 2022,  5pm","  £0 to £1,000,000",  19 August 2022
CNPP Independent Medical Adviser Services,CTM Portal for the NDA Shared Services Alliance,  Opportunity,  Open,  Any region,"  23 September 2022, 11am","  £10,000 to £50,000",  19 August 2022
Housing and Residential Developments Schemes - Pipeline 2,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  19 October 2022, 12pm",  £0,  19 August 2022
Provision and Installation of Goods Lift at Fleet Air Arm Museum's Cobham Hall,THE NATIONAL MUSEUM OF THE ROYAL NAVY,  Opportunity,  Open,  BA22 8HT,"  30 September 2022, 12pm","  £25,000 to £50,000",  19 August 2022
Request of Quotation Professional Consultant Services for Changing Futures Programme Initiation,Cambridgeshire County Council,  Opportunity,  Open,  England,"  23 September 2022, 12pm","  £30,000",  19 August 2022
DHSC: GO: ASC International Recruitment Support Market Engagement,DHSC,  Early engagement,  Open,  SW1H 0EU,   2 September 2022,Publication date 19 August 2022,None
The Provision of IT and General Internal Audit Services,Huntingdonshire District Council,  Opportunity,  Open,  PE29 3TN,"  16 September 2022, 12pm","  £75,000 to £85,000",  19 August 2022
INVITATION TO TENDER FOR THE SUPPLY OF EURO HEAVYWEIGHT AND LIGHTWEIGH PALLETS,West Midlands Fire and Rescue Authority,  Opportunity,  Open,  West Midlands,"  19 September 2022, 12pm","  £0 to £131,000",  19 August 2022
EOI for the National Clinical Audit and Patient Outcomes Programme (NCAPOP),NHS England,  Early engagement,  Open,  LS2 7UE,  31 August 2022,"Publication date  5 August 2022, last edited 19 August 2022",None
HGV & CPC Training Provider,London Borough of Hounslow,  Opportunity,  Open,  England,"  19 September 2022,  1pm","  £95,000",  19 August 2022
CA10991 - WHC - Water safety services,West Herts College,  Opportunity,  Open,  WD1 3EZ,"  16 September 2022, 12pm",  £0,  19 August 2022
Affordable Warmth Service,London Borough of Brent,  Opportunity,  Open,  United Kingdom,"  19 September 2022, 12pm","  £120,000",  19 August 2022
Affordable Warmth Service,London Borough of Brent,  Opportunity,  Open,  United Kingdom,"  12 September 2022, 12pm","  £120,000",  19 August 2022
Therapeutic Older People's Mental Health Centres,Somerset County Council,  Opportunity,  Open,  South West,"   5 September 2022, 12pm","  £4,000,000",  19 August 2022
Opportunity Notice,Ministry of Defence,  Opportunity,  Open,  PO2 8BY,"  20 September 2022, 10am","  £150,000",  19 August 2022
Office for Product Safety and Standards (OPSS): Testing of up to 100 hair curlers/straighteners to verify compliance with applicable safety regulations,"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  Any region,"   2 September 2022, 11:59pm","  £50,000","  19 August 2022, last edited 19 August 2022"
Purchasing of Electric Vehicles,Tunbridge Wells Borough Council,  Opportunity,  Open,  South East,"  16 September 2022, 12pm",  £0,  19 August 2022
Waste Management Framework,UNIVERSITY OF SOUTHAMPTON,  Opportunity,  Open,"  South East, South West","  30 September 2022,  2pm","  £17,000,000",  19 August 2022
Legionella Control,Essex County Council,  Opportunity,  Open,  East of England,"  23 August 2022, 12pm",  £0,"  27 July 2022, last edited 19 August 2022"
Air Conditioning - Leisure - Tendring District Council,Essex County Council,  Opportunity,  Open,  East of England,"  23 August 2022, 12pm",  £0,"  27 July 2022, last edited 19 August 2022"
Pool Plant Compliance,Essex County Council,  Opportunity,  Open,  East of England,"  23 August 2022, 12pm",  £0,"  27 July 2022, last edited 19 August 2022"
22_08_08 Drug Tariff Solution RFI,NHS Business Services Authority,  Early engagement,  Open,  NE15 8NY,  12 September 2022,Publication date 19 August 2022,None
RA321868 - Standard Length Gown,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"  26 August 2022,  5:30pm",  £0,  19 August 2022
DFAP/0024/056 - Supply and Delivery of F-35 blended with SAF - October 2022 (TRANSPARENCY ONLY),MINISTRY OF DEFENCE,  Opportunity,  Open,  United Kingdom,"  24 August 2022,  9am","  £50,000",  19 August 2022
NUN - Bridge to Living - Transforming Nuneaton,Nuneaton & Bedworth BC (NUN),  Opportunity,  Open,  CV11 5AA,"  23 September 2022, 12pm","  £0 to £7,000,000",  19 August 2022
DFAP/0024/057 - Supply & Delivery of F-35 to Cyprus- October 22 (Transparency ONLY),MINISTRY OF DEFENCE,  Opportunity,  Open,  United Kingdom,"  24 August 2022, 10am","  £9,000,000",  19 August 2022
PAPI 1046.2 - Laser Cutter/Engraver Project,University of York,  Opportunity,  Open,  YO10 5GE,"  30 August 2022,  5pm","  £28,000",  19 August 2022
Civic Centre Glazed Atrium Roof Remedial Works,London Borough of Merton,  Opportunity,  Open,  England,"  23 September 2022, 12pm",  £0,  19 August 2022
Remove of silt from Church End Pond to site in Haddenham,Haddenham Parish Council,  Early engagement,  Open,  HP17 8AT,  31 August 2022,Publication date 19 August 2022,None
Shaft & Silo Decommissioning Project,Dounreay Site Restoration Ltd,  Future opportunity,  Open,  KW14 7TZ,Approach to market date  6 September 2022,"  £65,000,000 to £90,000,000",  19 August 2022
Market Consultation for Provision of External Advertising Space,Breckland District Council,  Early engagement,  Open,  East of England,   7 October 2022,Publication date 19 August 2022,None
General Construction Multi Trade - GCMT - Capital projects (20% VAT),London Borough of Bromley,  Opportunity,  Open,  United Kingdom,"   5 September 2022, 12pm","  £15,000 to £25,000",  19 August 2022
Artistic Leader for the Arts by the Sea Festival,Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  South West,"  26 September 2022,  2pm","  £135,000",  19 August 2022
Electrical Vehicle Charging Points,West Yorkshire Fire & Rescue,  Opportunity,  Open,  BD11 2DY,"  29 September 2022, 12pm",  £0,"  11 August 2022, last edited 19 August 2022"
Lift Modernisation at Poole,University Hospitals Dorset NHS Foundation Trust,  Opportunity,  Open,  South West,"  19 September 2022,  2pm","  £344,000",  19 August 2022
The Provision of a CRM and MDM Solution,Buckinghamshire Council,  Opportunity,  Open,  England,"  19 September 2022,  3pm","  £0 to £2,920,000",  19 August 2022
TWBC Electric Vehicle Charging Points (EVCP) Provision,Tunbridge Wells Borough Council,  Opportunity,  Open,  England,"  12 September 2022, 12pm",  £0,  19 August 2022
River Severn & Quarry - canoe and craft hire concession,Shrewsbury Town Council,  Opportunity,  Open,  West Midlands,"  25 November 2022,  1pm","  £6,000",  19 August 2022
Uttlesford New Community Masterplanning,Uttlesford District Council,  Opportunity,  Open,  East of England,"  26 August 2022,  6pm","  £55,000","   5 August 2022, last edited 19 August 2022"
Engineers Gallery Videographer,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"   9 September 2022,  5pm","  £13,000 to £20,000",  19 August 2022
Design Services for CPI Coxon Building expansion to existing pharmaceutical laboratories,CENTRE FOR PROCESS INNOVATION LIMITED,  Opportunity,  Open,  North East,"   5 September 2022, 12pm","  £60,000",  19 August 2022
